"searchterms","exclusionterms","searched_in_column","searchmethod"
"[X]Disturbance of activity and attention","Family history","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"[X]Hyperkinetic conduct disorder",,,
"[X]Hyperkinetic disorder associated with conduct disorder",,,
"[X]Hyperkinetic disorder, unspecified",,,
"[X]Hyperkinetic disorders",,,
"[X]Hyperkinetic reaction of childhood or adolescence NOS",,,
"[X]Hyperkinetic syndrome NOS",,,
"[X]Other hyperkinetic disorders",,,
"ADD - Attention deficit disorder",,,
"ADD - Attention deficit disorder without hyperactivity",,,
"ADHD - Attention deficit disorder with hyperactivity",,,
"Attention deficit disorder",,,
"Attention deficit disorder without hyperactivity",,,
"Attention deficit hyperactivity disorder",,,
"Attention deficit hyperactivity disorder, predominantly inattentive type",,,
"Attention deficit hyperkinetic disorder",,,
"Attention deficit with hyperactivity",,,
"Attention deficit without hyperactivity",,,
"Child attention deficit disorder",,,
"Child attention deficit disorder NOS",,,
"Childhood hyperkinetic syndrome",,,
"DAMP - Deficits in attention motor control and perception",,,
"Deficits in attention motor control and perception",,,
"HA - Hyperactivity",,,
"Hyperactive behavior",,,
"Hyperactive behaviour",,,
"Hyperkinesis with developmental delay",,,
"Hyperkinetic conduct disorder",,,
"Hyperkinetic disorder",,,
"Hyperkinetic syndrome NOS",,,
"Other hyperkinetic manifestation",,,
"Overactive child syndrome",,,
"ADHD",,,
