MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
17390014,10000,J611,J611.00,Acute alcoholic hepatitis,9953008,17390014,,32
83834016,50000,J610,J610.00,Alcoholic fatty liver,50325005,83834016,,32
303399018,100000,J613,J613.00,Alcoholic liver damage,41309000,68906017,,32
353587018,20000,J617,J617.00,Alcoholic hepatitis,235875008,353587018,,32
353594015,2000,J6120,J612000,Alcoholic fibrosis and sclerosis of liver,235880004,353594015,,32
353595019,4000,J6130,J613000,Alcoholic hepatic failure,235881000,353595019,,32
451124014,1000,J6170,J617000,Chronic alcoholic hepatitis,307757001,451124014,,32
453265010,2000,G8523,G852300,Oesophageal varices in alcoholic cirrhosis of the liver,309783001,453265010,,32
2579818016,10,J612-2,J612.12,Laennec's cirrhosis,419728003,2576980018,,32
476611000006116,100000,J612,J612.00,Alcoholic cirrhosis of liver,420054005,2920441014,,32
886501000006115,2000,J613-99,J613.99,Alcoholic liver damage NOS,589511000000102,886501000006115,,32
2658601000006116,40,^ESCTAC265860,,Acute alcoholic liver disease,9953008,17389017,,32
3165681000006118,200,^ESCTAL316568,,Alcoholic liver disease,41309000,68909012,,32
3165691000006115,10,^ESCTAL316569,,ALD - Alcoholic liver disease,41309000,492959019,,32
3315041000006111,300,^ESCTAL331504,,Alcoholic steatosis,50325005,2306821000000116,,32
3315061000006110,8,^ESCTAL331506,,Alcoholic fatty liver disease,50325005,3027285017,,32
6947461000006115,10000,^ESCTAL694746,,Alcoholic cirrhosis,420054005,2576981019,,32
6947471000006110,70,^ESCTAL694747,,Alcoholic liver cirrhosis,420054005,2912539019,,32
7700651000006119,4,^ESCTCH770065,,Chronic alcoholic liver disease,713181003,3288362011,,31
8458711000006115,4,^ESCTAS845871,,Ascites due to alcoholic cirrhosis,1082601000119104,3082322015,,31
