"searchterms","exclusionterms","searched_in_column","searchmethod"
"[X]Other allergic rhinitis","FH:","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Allergic rhinitis","No past history of",,
"Allergic rhinitis caused by pollens","Family history of",,
"Allergic rhinitis due to allergen","Adverse reaction to",,
"Allergic rhinitis due to other allergens","non-allergic rhinitis",,
"Allergic rhinitis due to pollen","No known animal allergy",,
"Allergic rhinitis due to pollens",,,
"Allergic rhinitis NOS",,,
"Allergic rhinosinusitis",,,
"Allergy to animal",,,
"Allergy to animal dander",,,
"Allergy to animal protein",,,
"Allergy to cat dander",,,
"Allergy to dog dander",,,
"Allergy to dust mite protein",,,
"Allergy to feather",,,
"Allergy to house dust",,,
"Allergy to house dust mite",,,
"Animal allergy",,,
"Animal dander allergy",,,
"AR - Allergic rhinitis",,,
"Atopic rhinitis",,,
"Cat allergy",,,
"Dander allergy",,,
"Dog allergy",,,
"Feather allergy",,,
"Hay fever",,,
"Hay fever - pollens",,,
"Hay fever with asthma",,,
"Hayfever",,,
"House dust allergy",,,
"House dust mite allergy",,,
"Perennial allergic rhinitis",,,
"Pollen asthma",,,
"Pollinosis",,,
"Seasonal allergic rhinitis",,,
"House dust mite rhinitis",,,
