MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
50260017,1000000,J530,J530.00,Anal fissure,30037006,50260017,,32
303207013,30000,J53,J53..00,Anal fissure and fistula,197150008,303207013,,32
303208015,40000,J5300,J530000,Acute anal fissure,197151007,303208015,,32
303209011,40000,J5301,J530100,Chronic anal fissure,197152000,303209011,,32
303224019,5000,J53z,J53z.00,Anal fissure and fistula NOS,197150008,303207013,,32
1486014018,300,77393-99,7739399,Anal fissurectomy,392027008,864161000006119,,32
1493842011,10000,77393,7739300,Excision of anal fissure,392027008,1493842011,,32
107941000006119,600,J530-1,J530.11,Tear of anus - non-traumatic,30037006,50260017,,32
484291000006111,600,J544,J544.00,Anorectal fissure abscess,197164008,303236013,,32
696811000006111,200,L343-1,L343.11,Mucosal tear of anus or rectum,399031001,1778499013,,32
886401000006116,80,J53-99,J53..99,Anal fissure/fistula,197150008,886401000006116,,32
2983541000006117,100,^ESCTFI298354,,Fissure in ano,30037006,1226797014,,32
5659621000006116,4,^ESCTTE565962,,Tear of anus,282077009,420272014,,32
6527751000006119,500,^ESCTAN652775,,Anal fissurectomy,392027008,1486014018,,32
