MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
36509015,800,77297,7729700,Closure of rectal fistula,21756005,36509015,,32
133921018,9000,J5313,J531300,Rectal fistula,80736008,133921018,,32
144098014,6000,77386-1,7738611,Excision of anal fistula,86888002,144098014,,32
151491019,100,J57y5,J57y500,Ileorectal fistula,91448003,151491019,,32
270168015,8000,77380,7738000,Laying open of low anal fistula,174373007,270168015,,32
270171011,1000,77381,7738100,Laying open of high anal fistula,174374001,270171011,,32
270172016,30000,77382,7738200,Laying open of anal fistula,235392008,352840013,,32
270174015,400,77384,7738400,Fistulography of anal fistula,174377008,270174015,,32
303207013,30000,J53,J53..00,Anal fissure and fistula,197150008,303207013,,32
303224019,5000,J53z,J53z.00,Anal fissure and fistula NOS,197150008,303207013,,32
313998011,200,PB59,PB59.00,Congenital fistula of anus,253774006,377856011,,32
410941016,20000,7738-1,7738.11,Anal fistula operation,275018007,2642517012,,32
1495493010,10000,77386,7738600,Excision of fistula in ano,86888002,1495493010,,32
2164128018,20000,J531,J531.00,Fistula in ano,72779005,2164129014,,32
56291000006119,8,77254-1,7725411,York - Mason repair of rectal fistula,21756005,36506010,,32
122671000006112,600,J5310,J531000,Submucosal anal fistula,197155003,303218013,,32
221081000000118,10000,J5312,J531200,Anorectal fistula,72779005,120895014,,32
378181000000116,5,771S0,771S000,Imaging guided percutaneous occlusion of colorectal fistula,427158008,2676351016,,32
383461000000119,3,771S1,771S100,Imaging guided transluminal occlusion of colorectal fistula,426344007,2674327011,,32
743071000000111,500,77389,7738900,Repair of anal fistula using plug,442289003,1651761000000110,,32
760731000006115,3000,J531z,J531z00,Fistula-in-ano NOS,72779005,2164129014,,32
769681000006117,200,J57y7,J57y700,Intestinal fistula NOS excluding ano-rectal fistula,38851006,65171014,,32
770961000006118,400,J5311,J531100,Inter-muscular anal fistula,197155003,303216012,,32
772481000006117,5000,77383,7738300,Insertion of seton into high anal fistula and partial laying open of track,449392001,2901929010,,32
863921000006114,7,77297-98,7729798,Extern.closure -rectal fistula,21756005,863921000006114,,32
863931000006112,10,77297-99,7729799,Intern.closure -rectal fistula,21756005,863931000006112,,32
864101000006115,1000,77382-99,7738299,Anal fistula excision,532541000000102,864101000006115,,32
886401000006116,80,J53-99,J53..99,Anal fissure/fistula,197150008,886401000006116,,32
886411000006118,2000,J531-99,J531.99,Anal fistula,72779005,886411000006118,,32
886431000006112,2000,J541-99,J541.99,Ischiorectal abscess/fistula,286977005,886431000006112,,32
988111000006115,3,77386-99,7738699,Anal fistula excision,86888002,988111000006115,,32
1550461000006113,40,7B375,7B37500,Repair of prostatorectal fistula,235387006,352822014,,32
2846191000006114,100,^ESCTRE284619,,Repair of rectal fistula,21756005,36506010,,32
3443761000006111,70,^ESCTPE344376,,Perianal fistula,58103005,96565014,,31
3443771000006116,1,^ESCTFI344377,,Fistula of perianal skin,58103005,2164071013,,31
3683391000006114,3,^ESCTFI368339,,Fistula-in-ano,72779005,2164128018,,32
3719531000006113,1,^ESCTRE371953,,Repair of anorectal fistula,75015007,124590019,,31
3746401000006117,10,^ESCTRE374640,,Repair of anal fistula,76634004,127256019,,31
3746411000006119,6,^ESCTCL374641,,Closure of anal fistula,76634004,127257011,,31
3794011000006111,4,^ESCTIN379401,,Incision of anal fistula,79567008,132000013,,31
3794021000006115,20,^ESCTAN379402,,Anal fistulotomy,79567008,132001012,,31
3912621000006111,200,^ESCTAN391262,,Anal fistulectomy,86888002,144095012,,32
4661531000006115,1,^ESCTLA466153,,Laying open of low fistula in ano,174373007,270169011,,32
4786401000006111,500,^ESCTIN478640,,Intersphincteric fistula,197155003,303216012,,32
4786411000006114,8,^ESCTSU478641,,Superficial anal fistula,197155003,303217015,,32
5079641000006118,20,^ESCTLA507964,,Laying open of fistula in ano,235392008,352839011,,32
5085581000006118,2,^ESCTSU508558,,Suprasphincteric anal fistula,235793000,353462011,,31
5109261000006116,1,^ESCTPE510926,,Perirectal fistulectomy,237588004,356058015,,31
5440491000006112,20,^ESCTDI544049,,Direct anal fistula,261409005,389163010,,31
5445911000006115,8,^ESCTHI544591,,High anal fistula,261827001,389706014,,31
5721291000006114,10,^ESCTIS572129,,Ischiorectal abscess/fistula,286977005,426477011,,32
5899311000006116,1,^ESCTEN589931,,Enteroanal fistula,301829006,443312012,,31
5971381000006110,1,^ESCTCR597138,,Creation of rectal mucous fistula,307668009,451010012,,31
6213181000006119,40,^ESCTTR621318,,Transsphincteric anal fistula,360428006,476214013,,31
7262321000006110,10,^ESCTCL726232,,Closure of anal fistula using plug,442289003,2819312013,,32
7369221000006117,10,^ESCTIN736922,,Insertion of seton into high anal fistula,449391008,2901175018,,31
7785491000006116,1,^ESCTMA778549,,Magnetic resonance imaging of perianal fistula with contrast,719348000,3316053018,,31
7959171000006110,3,^ESCTPE795917,,Perianal fistula due to Crohn's disease,733533008,3499621019,,31
12059941000006114,20,^ESCT1205994,,Anal fistula seton,767710003,3674027015,,31
12624541000006114,2,^ESCT1262454,,VAAFT - Video-assisted anal fistula treatment,1109511000000109,2776381000000119,,31
13660231000006113,2000,^ESCT1366023,,Anal fistula,786878009,3772791016,,32
