MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
17872015,1000,7723-3,7723.13,Rectopexy,10259007,17872015,,32
90017013,2000,7720-1,7720.11,Rectosigmoidectomy,54164009,90017013,,32
96069012,200000,J571,J571.00,Rectal prolapse,57773001,96069012,,32
119059013,5000,J5710,J571000,Partial rectal prolapse,71663002,119059013,,32
178599011,30,J571-2,J571.12,Proctoptosis,57773001,96069012,,32
251900019,5000,7723-2,7723.12,Rectopexy for prolapse,10259007,17871010,,32
269961019,70,77232,7723200,Posterior fixation of rectum,235377007,352806013,,32
269972012,400,7723y,7723y00,Other specified fixation of rectum for prolapse,10259007,17871010,,32
269973019,500,7723z,7723z00,Fixation of rectum for prolapse NOS,10259007,17871010,,32
269974013,400,7724,7724.00,Other abdominal operations for rectal prolapse,12092003,20838014,,32
269983015,90,7724z,7724z00,Other abdominal operation for rectal prolapse NOS,12092003,20838014,,32
270001010,80,77260,7726000,Rectosigmoidectomy and peranal anastomosis,174278001,270001010,,32
270014011,900,77264,7726400,Reduction of prolapse of rectum,450353006,2915729019,,32
270022016,2000,7727,7727.00,Perineal operations for rectal prolapse,174286001,270022016,,32
270025019,100,77272,7727200,Insertion of supralevator sling,174289008,270025019,,32
270026018,20,77273,7727300,Removal of encircling suture from around perianal sphincter,174290004,270026018,,32
270027010,2000,77274,7727400,Excision rectal mucosal prolapse,387860002,1481930012,,32
270028017,2000,77275,7727500,Perineal repair of rectal prolapse,786341000000101,1758461000000116,,32
270029013,200,7727y,7727y00,Other specified perineal operation for rectal prolapse,174286001,270022016,,32
270030015,300,7727z,7727z00,Perineal operation for rectal prolapse NOS,174286001,270022016,,32
303299016,1000,J5711,J571100,Complete rectal prolapse,197213004,303299016,,32
303301011,5000,J571z,J571z00,Rectal prolapse NOS,57773001,96069012,,32
352784018,50,7724y-2,7724y12,Dunphy repair for rectal prolapse,235360007,352784018,,32
352805012,200,77230,7723000,Anterior fixation of rectum,235376003,352805012,,32
361551016,5000,J5712,J571200,Anal prolapse,111363006,361551016,,32
394202010,200,7720,7720.00,Partial excision of rectum and sigmoid colon for prolapse,265411006,394202010,,32
394203017,500,77200,7720000,Rectosigmoidectomy and rectopexy,265412004,394203017,,32
394214019,100,77231,7723100,Posterior fixation of rectum using prosthetic material,265417005,394214019,,32
394215018,10,77233,7723300,Fixation of rectum using fascia lata,265418000,394215018,,32
394218016,70,77240,7724000,Abdominal repair of levator ani muscles,265421003,394218016,,32
410933016,20,77231-1,7723111,Ripstein fixation of rectum using teflon mesh,275011001,410933016,,32
40001000006115,400,7724y,7724y00,Other abdominal operation for rectal prolapse OS,12092003,20838014,,32
105711000006110,200,77270-1,7727011,Thiersch wiring for prolapse of rectum,174287005,270023014,,32
164041000006114,5,77233-1,7723311,Ripstein fixation of rectum using fascia lata,265418000,394215018,,32
164641000006118,20,77240-2,7724012,Roscoe repair for rectal prolapse,265421003,394218016,,32
188931000006114,7000,77200-1,7720011,Rectopexy,10259007,17872015,,32
188991000006113,4000,77201,7720100,"Rectosigmoidectomy, closure of rectal stump and exteriorisation of bowel",16564004,477831016,,32
201211000006116,300,J571-1,J571.11,Procidentia - anus and/or rectum,57773001,96069012,,32
201301000006110,50,7723-1,7723.11,Proctopexy for prolapse of rectum,10259007,17871010,,32
201311000006113,500,77234,7723400,Proctopexy for prolapse of rectum,10259007,17871010,,32
234991000006110,100,77271,7727100,Perianal plication of levator ani muscles and anal sphincters,174288000,270024015,,32
245671000006119,30,7720z,7720z00,Partial excision of rectum & sigmoid colon for prolapse NOS,265411006,394202010,,32
245691000006118,10,7720y,7720y00,Partial excision of rectum and sigmoid colon for prolapse OS,265411006,394202010,,32
493951000000118,7000,J579,J579.00,Rectal mucosa prolapse,286041000000106,493951000000118,,32
612681000006117,50,77263-1,7726311,Delorme mucosal proctectomy and endoanal anastomosis,75894009,126067019,,32
612701000006119,6000,7724y-1,7724y11,Delorme's operation on rectum,75894009,1233932013,,32
648001000006114,20,77234-1,7723411,Erickman repair of prolapse of rectum,10259007,17872015,,32
717681000006113,300,77284,7728400,Manual reduction of rectal prolapse,44089008,73528010,,32
761311000006118,3000,7723,7723.00,Proctopexy,10259007,17871010,,32
772261000006114,80,77235,7723500,Insertion of sponge for rectal prolapse,265420002,394217014,,32
772471000006115,20,77235-1,7723511,Insertion of Wells sponge for rectal prolapse,265420002,394217014,,32
773211000006117,70,77270,7727000,Insertion of encircling suture around anal sphincter,174287005,270023014,,32
806541000006119,30,77240-1,7724011,Graham repair for rectal prolapse,265421003,394218016,,32
933031000006111,100,7723-99,7723.99,Rectal prolapse repair,10259007,933031000006111,,32
1936961000006113,40,EMISNQVI31,,Visible rectal prolapse,1936961000006109,1936961000006113,,27
1937071000006119,90,EMISNQHO126,,H/O: rectal prolapse,1937071000006103,1937071000006119,,32
2663181000006116,10,^ESCTRE266318,,Rectopexy for prolapse,10259007,251900019,,32
2692551000006112,300,^ESCTRE269255,,Repair of rectal prolapse,12092003,20838014,,32
3210121000006116,20,^ESCTMA321012,,Manual reduction of prolapsed rectum,44089008,73528010,,32
3438731000006114,10,^ESCTRE343873,,Rectal mucosa prolapse,57773001,96071012,,32
3665641000006113,70,^ESCTIN366564,,Incomplete rectal prolapse,71663002,119058017,,32
3734191000006113,400,^ESCTDE373419,,"Delorme operation, proctopexy",75894009,126067019,,32
5079331000006118,20,^ESCTME507933,,Mesh rectopexy,235378002,352808014,,31
5079351000006113,2,^ESCTRE507935,,Rectopexy using sutures,235379005,352810011,,31
5486041000006118,2,^ESCTSP548604,,Sponge rectopexy,265420002,394217014,,32
5740841000006110,1,^ESCTAN574084,,Anterior resection of rectal prolapse,289060008,428853015,,31
6454611000006111,2,^ESCTRE645461,,Rectal prolapse care,386406005,1480560016,,31
12735421000006113,9,^ESCT1273542,,Laparoscopic ventral mesh rectopexy,148591000000103,1822971000000119,,31
14075081000006110,1,^ESCT1407508,,Ripstein fixation of rectum using Teflon mesh,275011001,3854320011,,32
