"searchterms","exclusionterms","searched_in_column","searchmethod"
"Abdominal repair of levator ani muscles",,"Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Anal prolapse",,,
"Complete rectal prolapse",,,
"Delorme mucosal proctectomy and endoanal anastomosis",,,
"Delorme operation, proctopexy",,,
"Delorme's operation on rectum",,,
"Erickman repair of prolapse of rectum",,,
"Excision rectal mucosal prolapse",,,
"Fixation of rectum for prolapse NOS",,,
"Graham repair for rectal prolapse",,,
"Incomplete rectal prolapse",,,
"Insertion of encircling suture around anal sphincter",,,
"Insertion of sponge for rectal prolapse",,,
"Insertion of Wells sponge for rectal prolapse",,,
"Manual reduction of prolapsed rectum",,,
"Manual reduction of rectal prolapse",,,
"Other abdominal operation for rectal prolapse NOS",,,
"Other abdominal operation for rectal prolapse OS",,,
"Other abdominal operations for rectal prolapse",,,
"Other specified fixation of rectum for prolapse",,,
"Other specified perineal operation for rectal prolapse",,,
"Partial excision of rectum & sigmoid colon for prolapse NOS",,,
"Partial excision of rectum and sigmoid colon for prolapse",,,
"Partial excision of rectum and sigmoid colon for prolapse OS",,,
"Partial rectal prolapse",,,
"Perineal operation for rectal prolapse NOS",,,
"Perineal operations for rectal prolapse",,,
"Perineal repair of rectal prolapse",,,
"Procidentia - anus and/or rectum",,,
"Proctopexy",,,
"Proctopexy for prolapse of rectum",,,
"Proctoptosis",,,
"Rectal mucosa prolapse",,,
"Rectal prolapse",,,
"Rectal prolapse NOS",,,
"Rectal prolapse repair",,,
"Rectopexy",,,
"Rectopexy for prolapse",,,
"Reduction of prolapse of rectum",,,
"Repair of rectal prolapse",,,
"Roscoe repair for rectal prolapse",,,
"Sponge rectopexy",,,
"Thiersch wiring for prolapse of rectum",,,
"Rectosigmoidectomy",,,
"Posterior fixation of rectum",,,
"Insertion of supralevator sling",,,
"Removal of encircling suture from around perianal sphincter",,,
"Anterior fixation of rectum",,,
"Posterior fixation of rectum using prosthetic material",,,
"Fixation of rectum using fascia lata",,,
"Ripstein fixation of rectum using teflon mesh",,,
"Ripstein fixation of rectum using fascia lata",,,
"Perianal plication of levator ani muscles and anal sphincters",,,
