MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
130538010,10000,E20z-1,E20z.11,Nervous breakdown,111475002,1219652011,,32
251630012,200000,1466,1466.00,H/O: anxiety state,161470009,251630012,,32
253620013,90000,2258,2258.00,O/E - anxious,162723006,253620013,,27
294953016,200000,E2000,E200000,Anxiety state unspecified,198288003,304838011,,32
294960010,300000,E2004,E200400,Chronic anxiety,191708009,294960010,,32
294961014,100000,E2005,E200500,Recurrent anxiety,191709001,294961014,,32
294963012,1000000,E200z,E200z00,Anxiety state,198288003,304838011,,32
294992011,100000,E2021,E202100,Agoraphobia with panic attacks,191722009,294992011,,32
294993018,10000,E2022,E202200,Agoraphobia without history of panic disorder,61569007,102288011,,32
295474019,5000,E280,E280.00,Acute panic state due to acute stress reaction,192037000,295474019,,32
296224013,30000,Eu40,Eu40.00,[X]Phobic anxiety disorders,386810004,1491809016,,32
296236019,700,Eu40y,Eu40y00,[X]Other phobic anxiety disorders,386810004,1491809016,,32
296237011,4000,Eu40z,Eu40z00,"[X]Phobic anxiety disorder, unspecified",386810004,1480929014,,32
296238018,40000,Eu41,Eu41.00,[X]Other anxiety disorders,197480006,303689015,,32
296239014,30000,Eu410,Eu41000,[X]Panic disorder [episodic paroxysmal anxiety],371631005,1210253015,,32
296245018,3000,Eu413,Eu41300,[X]Other mixed anxiety disorders,231504006,346979010,,32
296249012,100000,Eu41z,Eu41z00,"[X]Anxiety disorder, unspecified",197480006,303689015,,32
296722013,2000,Eu930,Eu93000,Separation anxiety disorder of childhood,11806006,20376014,,32
304838011,200000,E200-99,E200.99,Anxiety state,198288003,882361000006113,,32
339044013,1000000,E2001-1,E200111,Panic attack,225624000,339044013,,32
342665019,10000,8G94,8G94.00,Anxiety management training,228560001,342665019,,32
401881014,1000,Eu41y,Eu41y00,[X]Other specified anxiety disorders,197480006,303689015,,32
405078012,6000,13WB-1,13WB.11,Anxious mother,270472006,405078012,,17
408988011,50000,388J,388J.00,Hospital anxiety and depression scale,401320004,1780507012,,3
441512015,6000,E2920,E292000,Separation anxiety disorder,11806006,441512015,,32
481154010,500000,E2002,E200200,Generalised anxiety disorder,21897009,481154010,,32
1210253015,400000,E2001,E200100,Panic disorder,371631005,1210253015,,32
1230451012,9000,E2924,E292400,Adjustment reaction with anxious mood,47372000,1230451012,,32
1488717011,100000,1B1V,1B1V.00,C/O - panic attack,395017009,1488717011,,27
1780506015,500000,388N,388N.00,HAD scale: anxiety score,401319005,1780506015,,3
2536376012,800000,1B13,1B13.00,Anxiousness,48694002,2536376012,,27
2549138014,4000,388b,388b.00,Depression anxiety stress scales anxiety score,416619008,2549138014,,3
2549296017,3000,388a,388a.00,Depression anxiety stress scales stress score,416767005,2549296017,,3
2549495015,40000,388Z,388Z.00,Depression anxiety stress scales depression score,416954004,2549495015,,3
2549895012,4000,225J,225J.00,O/E - panic attack,417676004,2549895012,,27
2882975016,700,38GQ,38GQ.00,Short health anxiety inventory,447278000,2882975016,,32
223641000000116,60000,E202-2,E202.12,Phobic anxiety disorder,386810004,1491809016,,32
300681000000118,5000,8HHp,8HHp.00,Referral for guided self-help for anxiety,199101000000102,300681000000118,,40
362881000006114,3000,Eu400-1,Eu40011,[X]Agoraphobia without history of panic disorder,70691001,117416017,,32
363641000006114,700,Eu41y-1,Eu41y11,[X]Anxiety hysteria,197480006,303689015,,32
363651000006111,20000,Eu411-1,Eu41111,Anxiety neurosis,207363009,317740010,,32
363661000006113,600000,Eu41z-1,Eu41z11,[X]Anxiety NOS,197480006,303689015,,32
363671000006118,30000,Eu411-2,Eu41112,[X]Anxiety reaction,197480006,303689015,,32
363681000006115,80000,Eu411-3,Eu41113,[X]Anxiety state,198288003,304838011,,32
363691000006117,6000,Eu606,Eu60600,Anxious personality disorder,231528008,347013012,,32
370861000006110,80,Eu93y-2,Eu93y12,[X]Childhood overanxious disorder,13438001,22967015,,32
378291000006117,400,Eu515-1,Eu51511,[X]Dream anxiety disorder,419145002,2576558010,,32
388071000006116,100000,Eu411,Eu41100,[X]Generalized anxiety disorder,21897009,481154010,,32
398351000006110,30000,Eu412-1,Eu41211,[X]Mild anxiety depression,231504006,346979010,,32
398561000006117,400000,Eu412,Eu41200,[X]Mixed anxiety and depressive disorder,231504006,346979010,,32
403931000006116,1000,Eu054,Eu05400,Organic anxiety disorder,17496003,29572018,,32
418031000006113,30000,Eu410-1,Eu41011,[X]Panic attack,371631005,1210253015,,32
418051000006118,20000,Eu400-2,Eu40012,[X]Panic disorder with agoraphobia,191722009,294992011,,32
418061000006116,7000,Eu410-2,Eu41012,[X]Panic state,371631005,1210253015,,32
419841000006116,20000,Eu341-4,Eu34114,[X]Persistant anxiety depression,231504006,346979010,,32
420641000006116,700,Eu931,Eu93100,[X]Phobic anxiety disorder of childhood,192611004,296723015,,32
427051000006113,9000,Eu932,Eu93200,Childhood social anxiety disorder,64165008,1232536012,,32
488201000006114,7000000,E200,E200.00,Anxiety disorder,197480006,303689015,,32
488211000006112,10000000,E2003,E200300,Mixed anxiety and depressive disorder,231504006,346979010,,32
488251000006113,600000,1B13-1,1B13.11,Anxiousness - symptom,48694002,2536376012,,27
504351000006118,1000,EMISHGT020,,Beck anxiety inventory,504351000006102,504351000006118,,3
516601000000113,70000,1B13-2,1B13.12,Anxious,48694002,516601000000113,,27
550361000006119,200,E2D00,E2D0000,Childhood and adolescent overanxiousness disturbance,13438001,22967015,,32
566931000000114,600000,388w,388w.00,Generalised anxiety disorder 7 item score,445455005,2872229011,,3
626101000006114,400,E2D0z,E2D0z00,Disturbance anxiety and fearfulness childhood/adolescent NOS,192108001,295582017,,32
626121000006116,2000,E2D0,E2D0.00,Disturbance of anxiety and fearfulness in childhood and adolescence,192108001,295582017,,32
647711000006111,1000,EMISHGT024,,EPNDS question 4 - anxiety,647711000006107,647711000006111,,3
853241000006119,30,EGTON122,,Phobic anxiety,853241000006103,853241000006119,,32
908651000006112,4000,HNG0523,,[RFC] High parental anxiety,908651000006108,908651000006112,,12
909691000006113,800,HNGNQRF14,,[RFC] Anxiety management,909691000006109,909691000006113,,12
972931000006117,1,TRIQQZZ49,,** The treatment of anxiety disorders,972931000006101,972931000006117,,37
982251000006112,1,EMISNQDE4,,Depression anxiety stress scales stress score,982251000006108,982251000006112,,3
1626511000006116,600,EMISNQGE26,,Generalised anxiety disorder (GAD-7) score,1626511000006100,1626511000006116,,3
1752451000006111,20000,38Du1,38Du100,IAPT (Improving Access to Psychological Therapies Programme) phobia scale - Certain situations because of a fear of having a panic attack or other distressing symptoms score,1091671000000106,2734361000000118,,3
1803241000006112,3,EMISNQPO43,,POST trial - anxiety screen question 1,1803241000006108,1803241000006112,,37
1803271000006116,2,EMISNQPO46,,POST trial - anxiety screen question 2,1803271000006100,1803271000006116,,37
1806261000006117,1,JHCPS5,,Psycho-education - anxiety,1806261000006101,1806261000006117,,32
1808511000006119,7,JHCRE17,,Recurrent panic attacks,1808511000006103,1808511000006119,,27
1808521000006110,200,EMISNQPA155,,Panic disorder without agoraphobia,56576003,94086016,,32
1818111000006112,1,1B13-100,,Feeling anxious,1818111000006108,1818111000006112,,27
1839741000006111,100000,EMISNQGA11,,"GAD-7 score - feeling nervous, anxious or on edge",1839741000006107,1839741000006111,,3
1861181000006114,700,EMISNQBR37,,Breathlessness causing anxiety,1861181000006105,1861181000006114,,27
1882561000006118,6,EMISNQGA18,,GAD-2 (generalised anxiety disorder 2) scale score,1882561000006102,1882561000006118,,3
1901341000006113,40000,38QN,38QN.00,GAD-2 (generalised anxiety disorder 2) scale score,836571000000106,2172211000000113,,32
1956381000006115,9000,EMISNQGA24,,GAD-7 total score (anxiety severity grading),1956381000006104,1956381000006115,,3
1956431000006111,1,EMISNQKE196,,Keele ENHANCE trial - anxiety/depression,1956431000006107,1956431000006111,,37
1956441000006118,2,EMISNQKE197,,Keele ENHANCE trial - anxiety/depression advice,1956441000006102,1956441000006118,,37
1956461000006119,2,EMISNQKE198,,Keele ENHANCE trial-anxiety/deprs verbal advc-increasng activity,1956461000006103,1956461000006119,,37
1956471000006114,3,EMISNQKE199,,Keele ENHANCE trial-anxiety/depresn verbal advice-healthy eating,1956471000006105,1956471000006114,,37
1956481000006112,2,EMISNQKE200,,Keele ENHANCE trial - anxiety/depression verbal advice - alcohol,1956481000006108,1956481000006112,,37
1956491000006110,2,EMISNQKE201,,Keele ENHANCE trial-anxiety/depresn verbal advice-managing mood,1956491000006106,1956491000006110,,37
1956501000006119,1,EMISNQKE202,,Keele ENHANCE trial-anxiety/depression verbal advice-sleep habit,1956501000006103,1956501000006119,,37
1956521000006112,2,EMISNQKE204,,Keele ENHANCE trial-anxiety/depresn written advc-healthy eating,1956521000006108,1956521000006112,,37
1956531000006110,1,EMISNQKE205,,Keele ENHANCE trial- anxiety/depression written advice - alcohol,1956531000006106,1956531000006110,,37
1956541000006117,3,EMISNQKE206,,Keele ENHANCE trial-anxiety/depresn written advice-managing mood,1956541000006101,1956541000006117,,37
1956551000006115,1,EMISNQKE207,,Keele ENHANCE trial-anxiety/depresn written advice-sleep habit,1956551000006104,1956551000006115,,37
1956561000006118,3,EMISNQKE208,,Keele ENHANCE trial - anxiety/depression - no f/up appt needed,1956561000006102,1956561000006118,,37
1956571000006113,1,EMISNQKE209,,Keele ENHANCE trial- anxiety/depression- f/up nurse appt advised,1956571000006109,1956571000006113,,37
1956581000006111,1,EMISNQKE210,,Keele ENHANCE trial- anxiety/depression - f/up nurse appt booked,1956581000006107,1956581000006111,,37
1956591000006114,1,EMISNQKE211,,Keele ENHANCE trial - anxiety/depression - f/up GP appt advised,1956591000006105,1956591000006114,,37
1956601000006118,1,EMISNQKE212,,Keele ENHANCE trial - anxiety/depression - f/up GP appt booked,1956601000006102,1956601000006118,,37
1956621000006111,2,EMISNQKE213,,Keele ENHANCE trial-anxiety/depression- immediate advice from GP,1956621000006107,1956621000006111,,37
1956631000006114,1,EMISNQKE214,,Keele ENHANCE trial-anxiety/dep-signpost to slimming club,1956631000006105,1956631000006114,,37
1956641000006116,400,EMISNQKE215,,Keele ENHANCE trial- anxiety/dep - refer to IAPT programme,1956641000006100,1956641000006116,,37
1956651000006119,1,EMISNQKE216,,Keele ENHANCE trial-anxiety/dep-refer for exercse on prescrption,1956651000006103,1956651000006119,,37
1956821000006110,1,EMISNQKE218,,Keele ENHANCE trial-anxiety/dep-signpost to other support group,1956821000006106,1956821000006110,,37
1956831000006113,1,EMISNQKE219,,Keele ENHANCE trial-anxiety/dep-signpost to online resources,1956831000006109,1956831000006113,,37
1976491000006113,3000,EMISICD10|F4322,,Mixed anxiety and depressive reaction,1976491000006109,1976491000006113,,32
1995071000006115,200,EMISNQHO158,,HoNOS (Health of the Nation Outcome Scales) for working age adults rating scale 8b - anxiety,1995071000006104,1995071000006115,,32
2017961000006113,80,EMISNQKE301,,Keele INCLUDE study - anxiety/depression,2017961000006109,2017961000006113,,37
2019001000006116,2000,EMISNQKE306,,Keele STarT MSK score - anxious or low mood because of pain,2019001000006100,2019001000006116,,37
2139351000000110,20000,38GJ0,38GJ000,EuroQol five dimension five level anxiety depression score,821611000000108,2139351000000110,,32
2287071000000115,400,173f,173f.00,Anxiety about breathlessness,702535006,3004280013,,27
2335571000000115,20000,8CAZ0,8CAZ000,Patient given advice about management of anxiety,908541000000103,2335571000000115,,32
2391581000000111,30,8IH53,8IH5300,Referral for guided self-help for anxiety declined,933461000000100,2391581000000111,,32
2404011000000118,8000,8IH8,8IH8.00,GAD-7 (Generalized Anxiety Disorder 7) scale declined,715508000,3302874013,,32
2518361000000115,20,8IE51,8IE5100,Hospital Anxiety and Depression Scale declined,988671000000106,2518361000000115,,32
2587471000006114,3,^ESCTPA258747,,Panic disorder with agoraphobia AND severe panic attacks,5509004,10194011,,31
2618241000000117,700,2126J,,Anxiety resolved,1037391000000102,2618241000000117,,27
2618361000000113,800,8T23,,Referral for psychological management of anxiety,1037451000000103,2618361000000113,,32
2618401000000116,300,8IH57,,Referral for psychological management of anxiety declined,1037471000000107,2618401000000116,,32
2630621000006112,1,^ESCTPA263062,,Panic disorder with agoraphobia AND moderate panic attacks,8185002,14504015,,31
2652351000000117,200,ESCTSI18,,Signposting to Anxiety UK,1053831000000101,2652351000000117,,32
2682511000006110,2,^ESCTAN268251,,"Anticipatory anxiety, mild",11458009,19825011,,31
2712981000006115,6,^ESCTOV271298,,Overanxious disorder of childhood,13438001,22967015,,32
2848291000006116,200,^ESCTGE284829,,Generalized anxiety disorder,21897009,36731013,,32
2848301000006115,20,^ESCTGA284830,,GAD - Generalized anxiety disorder,21897009,481155011,,32
2848311000006117,800,^ESCTGA284831,,GAD - Generalised anxiety disorder,21897009,481156012,,32
2907991000006110,70,^ESCTSO290799,,Social anxiety disorder,25501002,42761017,,32
3070671000006111,1,^ESCTAN307067,,Anticipatory anxiety,35429005,59111011,,31
3073541000006113,3,^ESCTPA307354,,Panic disorder with agoraphobia,35607004,59408015,,31
3090721000006114,3,^ESCTAN309072,,"Anticipatory anxiety, moderate",36646009,61145016,,31
3142901000006117,2,^ESCTCA314290,,Cannabis-induced anxiety disorder,39951001,66550017,,31
3265811000006112,100,^ESCTAD326581,,Adjustment disorder with anxious mood,47372000,78975018,,32
3265831000006118,30,^ESCTAD326583,,Adjustment disorder with anxiety,47372000,3013688013,,32
3287741000006111,200000,^ESCTAN328774,,Anxiety,48694002,81133019,,27
3287761000006110,500,^ESCTFE328776,,Feeling anxious,48694002,2536377015,,27
3287771000006115,1,^ESCTAN328777,,Anxiety reaction,48694002,2536378013,,27
3375111000006115,2,^ESCTPA337511,,Panic disorder without agoraphobia with panic attacks in partial remission,53956006,89686017,,31
3497371000006119,30,^ESCTMO349737,,Moderate anxiety,61387006,101992012,,31
3558031000006116,1,^ESCTPA355803,,Panic disorder without agoraphobia with moderate panic attacks,65064003,108134017,,31
3630001000006116,4,^ESCTAN363000,,Anxiety hyperventilation,69479009,115427019,,31
3654681000006114,20,^ESCTMI365468,,Mild anxiety,70997004,117924019,,31
