MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
11785019,200,J222,J222.00,Relapsing appendicitis,6503008,11785019,,32
16054017,2000,J220,J220.00,Subacute appendicitis,9124008,16054017,,32
44895012,60,A05y0,A05y000,Amoebic appendicitis,26826005,44895012,,32
84731010,6000,J20z1,J20z100,Acute gangrenous appendicitis,50846009,84731010,,32
98049012,1000,J221,J221.00,Chronic appendicitis,58997001,98049012,,32
103411019,3000,J201-1,J201.11,Abscess of appendix,62224002,103411019,,32
111955018,500,J223,J223.00,Recurrent appendicitis,67365005,111955018,,32
119720012,1000,J202,J202.00,Acute appendicitis without peritonitis,72048003,119720012,,32
127944014,1000,7C097,7C09700,Excision of appendix of testis,77066003,127944014,,32
141235016,100000,J20,J20..00,Acute appendicitis,85189001,141235016,,32
251727010,20000,14C2,14C2.00,H/O: appendicitis,161532008,251727010,,32
269573010,70000,7700,7700.00,Emergency excision of appendix,174036004,269573010,,32
269574016,300000,7700-1,7700.11,Emergency appendicectomy,174036004,269574016,,32
269576019,5000,77001,7700100,Emergency appendectomy,174036004,269574016,,32
269578018,100000,77003,7700300,Emergency appendicectomy NEC,174036004,269574016,,32
269580012,20000,77004,7700400,Endoscopic emergency appendicectomy,174041007,269580012,,32
269581011,200,7700y,7700y00,Other specified emergency excision of appendix,174036004,269573010,,32
269582016,10000,7700z,7700z00,Emergency excision of appendix NOS,174036004,269573010,,32
269586018,5000,77010,7701000,Interval appendicectomy,174045003,269586018,,32
269587010,1000,77011,7701100,Prophylactic appendicectomy NEC,80146002,132967011,,32
269588017,1000,77013,7701300,Planned delayed appendicectomy NEC,80146002,132967011,,32
269589013,20000,77014,7701400,Laparoscopic appendicectomy,6025007,1207798017,,32
269590016,300,7701y,7701y00,Other specified other excision of appendix,80146002,132967011,,32
269597018,100,77021,7702100,Drainage of appendix,307582003,450880012,,32
302683013,9000,J200,J200.00,Acute appendicitis with peritonitis,196781001,302683013,,32
302689012,20000,J20z,J20z.00,Acute appendicitis NOS,85189001,141235016,,32
302690015,40000,J21,J21..00,Appendicitis,74400008,123558018,,32
302691016,5000,J22,J22..00,Other appendicitis,74400008,123558018,,32
302692011,1000,J22z,J22z.00,Other appendicitis NOS,74400008,123558018,,32
303753017,3000,Jyu20,Jyu2000,[X]Other appendicitis,74400008,123558018,,32
394166019,200000,7701,7701.00,Excision of appendix,80146002,132972019,,32
394167011,90000,7701z,7701z00,Other excision of appendix NOS,80146002,132972019,,32
396348018,3000,J201,J201.00,Acute appendicitis with appendix abscess,266439004,396348018,,32
445492014,1000000,7701z-1,7701z11,Appendicectomy,80146002,132973012,,32
483992016,300,J203,J203.00,Acute appendicitis with generalised peritonitis,28845006,483992016,,32
