"searchterms","exclusionterms","searched_in_column","searchmethod"
"[X]Atypical childhood psychosis","Family history","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"[X]Autistic psychopathy","Checklist for autism",,
"[X]Childhood autism","autism assessment",,
"[X]Disintegrative psychosis","Screening",,
"[X]Infantile autism",,,
"[X]Infantile psychosis",,,
"[X]Kanner's syndrome",,,
"[X]Mental retardation with autistic features",,,
"[X]Other childhood disintegrative disorder",,,
"[X]Other pervasive developmental disorders",,,
"[X]Overactive disorder assoc mental retard/stereotype movts",,,
"[X]Pervasive developmental disorder, unspecified",,,
"[X]Schizoid disorder of childhood",,,
"[X]Symbiotic psychosis",,,
"Active infantile autism",,,
"Asperger disorder",,,
"Asperger's disorder",,,
"Asperger's syndrome",,,
"Aspergers disorder",,,
"Atypical autism",,,
"Atypical autistic syndrome",,,
"Autism",,,
"Autism disorder",,,
"Autism spectrum disorder",,,
"Autism, childhood onset",,,
"Autistic disorder",,,
"Autistic disorder of childhood onset",,,
"Autistic spectrum disorder",,,
"Childhood autism",,,
"Infantile autism",,,
"Infantile autism NOS",,,
"Kanner's syndrome",,,
"Pervasive developmental disorder",,,
"Residual infantile autism",,,
"Suspected autism",,,
"autistic",,,
