MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
302387019,10000,J1025,J102500,Barrett's ulcer of oesophagus,196609006,302387019,,32
444916014,400000,J1016-1,J101611,Barrett's oesophagus,302914006,444916014,,32
1743031000006119,100000,J10y6,J10y600,Barrett's oesophagus,302914006,444916014,,32
4784291000006111,4,^ESCTBA478429,,Barrett's ulcer,196609006,302390013,,32
4784301000006112,1,^ESCTBA478430,,Barrett ulcer of esophagus,196609006,2837844015,,32
5082591000006112,100,^ESCTBA508259,,Barrett's oesophagus with oesophagitis,235597001,353155010,,31
5912981000006111,2,^ESCTCO591298,,Columnar-lined esophagus,302914006,444917017,,32
5913001000006110,7,^ESCTBA591300,,Barrett's syndrome,302914006,444919019,,32
5913011000006113,20,^ESCTBA591301,,Barrett's esophagus,302914006,444920013,,32
5913021000006117,3,^ESCTCO591302,,Columnar-lined oesophagus,302914006,444921012,,32
5913031000006119,1,^ESCTGA591303,,Gastric metaplasia of oesophagus,302914006,444922017,,32
5913051000006114,20,^ESCTBO591305,,BO - Barrett's oesophagus,302914006,444924016,,32
5913111000006112,200,^ESCTBA591311,,Barrett esophagus,302914006,2838302015,,32
5913121000006116,200,^ESCTBA591312,,Barretts esophagus,302914006,2920948013,,32
8459051000006114,4,^ESCTBA845905,,Barretts oesophagus with dysplasia,1082751000119109,3082315011,,31
8459101000006114,3,^ESCTBA845910,,Barretts oesophagus with high grade dysplasia,1082761000119106,3082318013,,31
8459111000006112,2,^ESCTBA845911,,Barretts esophagus with high grade dysplasia,1082761000119106,3082317015,,31
8459161000006110,2,^ESCTBA845916,,Barretts esophagus with low grade dysplasia,1082771000119100,3082311019,,31
