MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
155089014,300,B3401,B340100,Malignant neoplasm of areola of female breast,93680004,155089014,,32
155090017,50,B3501,B350100,Malignant neoplasm of areola of male breast,93681000,155090017,,32
155364013,9000,B35,B35..00,Malignant neoplasm of male breast,372095001,1210673015,,32
155417012,500,B3400,B340000,Malignant neoplasm of nipple of female breast,93924008,155417012,,32
155418019,30,B3500,B350000,Malignant neoplasm of nipple of male breast,93925009,155418019,,32
174576019,10000,B8300,B830000,Lobular carcinoma in situ of breast,109888004,174576019,,32
174577011,20000,B8301,B830100,Intraductal carcinoma in situ of breast,109889007,174577011,,32
289137018,10000,B340,B340.00,Malignant neoplasm of nipple and areola of female breast,188147009,289137018,,32
289140018,200,B340z,B340z00,Malignant neoplasm of nipple or areola of female breast NOS,188147009,289137018,,32
289141019,3000,B341,B341.00,Malignant neoplasm of central part of female breast,188151006,289141019,,32
289142014,6000,B342,B342.00,Malignant neoplasm of upper-inner quadrant of female breast,188152004,289142014,,32
289143016,3000,B343,B343.00,Malignant neoplasm of lower-inner quadrant of female breast,188153009,289143016,,32
289144010,30000,B344,B344.00,Malignant neoplasm of upper-outer quadrant of female breast,188154003,289144010,,32
289145011,6000,B345,B345.00,Malignant neoplasm of lower-outer quadrant of female breast,188155002,289145011,,32
289146012,2000,B346,B346.00,Malignant neoplasm of axillary tail of female breast,188156001,289146012,,32
289147015,100,B347,B347.00,"Malignant neoplasm, overlapping lesion of breast",188157005,289147015,,32
289148013,1000,B34y,B34y.00,Malignant neoplasm of other site of female breast,372064008,1210642019,,32
289149017,10,B34y0,B34y000,Malignant neoplasm of ectopic site of female breast,188159008,289149017,,32
289150017,400,B34yz,B34yz00,Malignant neoplasm of other site of female breast NOS,372064008,1210642019,,32
289151018,100000,B34z,B34z.00,Malignant neoplasm of female breast NOS,372064008,1210642019,,32
289153015,80,B350,B350.00,Malignant neoplasm of nipple and areola of male breast,188163001,289153015,,32
289156011,100,B350z,B350z00,Malignant neoplasm of nipple or areola of male breast NOS,188163001,289153015,,32
289157019,90,B35z,B35z.00,Malignant neoplasm of other site of male breast,372095001,1210673015,,32
289158012,4,B35z0,B35z000,Malignant neoplasm of ectopic site of male breast,188168005,289158012,,32
289159016,900,B35zz,B35zz00,Malignant neoplasm of male breast NOS,372095001,1210673015,,32
291536017,70,BB93,BB93.00,[M]Comedocarcinoma NOS,722237009,3331293018,,32
291539012,2000,BB9E0,BB9E000,[M]Intraductal carcinoma and lobular carcinoma in situ,18680006,31495018,,32
291540014,2000,BB9F,BB9F.00,Lobular carcinoma,89740008,148778015,,32
292137017,40000,Byu6,Byu6.00,Malignant tumour of breast,254837009,379664012,,32
459378019,3000,B36,B36..00,Local recurrence of malignant tumour of breast,314955001,459378019,,32
460263019,6000,ZV103,ZV10300,History of malignant neoplasm of breast,429087003,2693667019,,32
511250010,3000,B58y0,B58y000,Secondary malignant neoplasm of breast,94297009,511250010,,32
