"searchterms","exclusionterms","searched_in_column","searchmethod"
"(?=.*paget)(?=.*breast)","screen","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"(?=.*paget)(?=.*mammar)","Suspected",,
"(?=.*paget)(?=.*nipple)","FH",,
"Comedocarcinoma","family history",,
"duct and lobular carcinoma","risk",,
"Inflammatory carcinoma","bone",,
"Intraductal papillary adenocarcinoma","Extramammary",,
"breast carcinoma","Bile",,
"Breast cancer","guideline",,
"Ca breast","no history of",,
"Ca female breast","nurse",,
"Carcinoma breast",,,
"Duct adenocarcinoma",,,
"Duct carcinoma",,,
"Duct cell carcinoma",,,
"Ductal carcinoma",,,
"Female breast cancer",,,
"Infiltrating duct adenocarcinoma",,,
"Infiltrating duct and lobular carcinoma",,,
"Infiltrating duct carcinoma",,,
"Infiltrating ductular carcinoma",,,
"Infiltrating lobular carcinoma",,,
"Intraductal and lobular carcinoma",,,
"Intraductal papillary adenocarcinoma with invasion",,,
"Juvenile carcinoma of the breast",,,
"Lobular adenocarcinoma",,,
"Lobular and ductal carcinoma",,,
"Lobular carcinoma",,,
"Local recurrence of malignant tumor of breast",,,
"Local recurrence of malignant tumour of breast",,,
"Malignant cystosarcoma phyllodes",,,
"Malignant neoplasm of areola of female breast",,,
"Malignant neoplasm of areola of male breast",,,
"Malignant neoplasm of axillary tail of female breast",,,
"Malignant neoplasm of breast",,,
"Malignant neoplasm of central part of female breast",,,
"Malignant neoplasm of ectopic site of female breast",,,
"Malignant neoplasm of ectopic site of male breast",,,
"Malignant neoplasm of female breast",,,
"Malignant neoplasm of female breast NOS",,,
"Malignant neoplasm of lower-inner quadrant of female breast",,,
"Malignant neoplasm of lower-outer quadrant of female breast",,,
"Malignant neoplasm of male breast",,,
"Malignant neoplasm of male breast NOS",,,
"Malignant neoplasm of nipple and areola of female breast",,,
"Malignant neoplasm of nipple and areola of male breast",,,
"Malignant neoplasm of nipple of female breast",,,
"Malignant neoplasm of nipple of male breast",,,
"Malignant neoplasm of nipple or areola of female breast NOS",,,
"Malignant neoplasm of nipple or areola of male breast NOS",,,
"Malignant neoplasm of other site of female breast",,,
"Malignant neoplasm of other site of female breast NOS",,,
"Malignant neoplasm of other site of male breast",,,
"Malignant neoplasm of upper-inner quadrant of female breast",,,
"Malignant neoplasm of upper-outer quadrant of female breast",,,
"Malignant neoplasm, overlapping lesion of breast",,,
"Malignant tumor of breast",,,
"Malignant tumour of breast",,,
"Mammary Paget's disease",,,
"Paget's disease and infiltrating duct carcinoma of breast",,,
"Paget's disease and intraductal carcinoma of breast",,,
"Paget's disease of breast",,,
"Paget's disease, mammary",,,
"Primary malignant neoplasm of areola of female breast",,,
"Primary malignant neoplasm of areola of male breast",,,
"Primary malignant neoplasm of nipple of female breast",,,
"Intraductal papillary carcinoma",,,
"Metastatic malignant neoplasm to female breast",,,
"Secondary malignant deposit to breast",,,
"Metastasis to breast",,,
"Metastatic malignant neoplasm to male breast",,,
