MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
155175018,3000,B516,B516.00,Malignant neoplasm of cerebellum,449420002,2899889012,,32
155425014,100,B5201,B520100,Malignant neoplasm of optic nerve,363498002,482783015,,32
155879014,20000,B5830,B583000,Secondary malignant neoplasm of brain,94225005,155879014,,32
175996013,2000,BBb-99,BBb..99,Glioma,115240006,175996013,,32
289337012,80,B5100,B510000,Malignant neoplasm of basal ganglia,188281006,289337012,,32
289338019,200,B5101,B510100,Malignant neoplasm of cerebral cortex,188282004,289338019,,32
289341011,5,B5103,B510300,Malignant neoplasm of globus pallidus,188285002,289341011,,32
289343014,700,B5104,B510400,Malignant neoplasm of hypothalamus,188286001,289343014,,32
289345019,200,B5105,B510500,Malignant neoplasm of thalamus,188287005,289345019,,32
289346018,900,B510z,B510z00,Malignant neoplasm of cerebrum NOS,188280007,289336015,,32
289349013,300,B512z,B512z00,Malignant neoplasm of temporal lobe NOS,363468009,482731010,,32
289354016,20,B515z,B515z00,Malignant neoplasm of cerebral ventricle NOS,363471001,482734019,,32
289355015,40,B5170,B517000,Malignant neoplasm of cerebral peduncle,188295009,289355015,,32
289357011,20,B5172,B517200,Malignant neoplasm of midbrain,188297001,289357011,,32
289358018,80,B5173,B517300,Malignant neoplasm of pons,188298006,289358018,,32
289360016,200,B51y,B51y.00,Malignant neoplasm of other parts of brain,428061005,2692069010,,32
289361017,70,B51y0,B51y000,Malignant neoplasm of corpus callosum,188301005,289361017,,32
289364013,80,B51yz,B51yz00,Malignant neoplasm of other part of brain NOS,428061005,2692069010,,32
289365014,8000,B51z,B51z.00,Malignant neoplasm of brain NOS,428061005,2692069010,,32
289369015,30,B5200,B520000,Malignant neoplasm of olfactory bulb,188308004,289369015,,32
289374011,8,B520z,B520z00,Malignant neoplasm of cranial nerves NOS,188307009,289367018,,32
289375012,2,B5210,B521000,Malignant neoplasm of cerebral dura mater,188312005,289375012,,32
289376013,1,B5211,B521100,Malignant neoplasm of cerebral arachnoid mater,188313000,289376013,,32
289378014,3,B5212,B521200,Malignant neoplasm of cerebral pia mater,188315007,289378014,,32
289379018,20,B521z,B521z00,Malignant neoplasm of cerebral meninges NOS,363474009,482737014,,32
289383018,20,B523z,B523z00,Malignant neoplasm of spinal meninges NOS,363497007,482781018,,32
289396017,80,B52y,B52y.00,Malignant neoplasm of other specified part of nervous system,372063002,1210641014,,32
289397014,200,B52z,B52z.00,Malignant neoplasm of nervous system,372063002,1210641014,,32
289546019,3000,B583,B583.00,Secondary malignant neoplasm of brain and spinal cord,188462001,289546019,,32
289549014,70,B583z,B583z00,Secondary malignant neoplasm of brain or spinal cord NOS,188462001,289546019,,32
290621015,70000,B7F20,B7F2000,Cerebral meningioma,189164002,290621015,,32
290627016,4000,B7F40,B7F4000,Spinal meningioma,189167009,290627016,,32
291579015,200,BBD,BBD..00,[M]Paragangliomas and glomus tumours,115222007,175978016,,32
291581018,2000,BBD0,BBD0.00,Paraganglioma,803009,2405017,,32
291587019,100,BBDz,BBDz.00,[M]Paraganglioma or glomus tumour NOS,115222007,175978016,,32
291825018,6000,BBb7,BBb7.00,Ependymoma - category,443354006,2838585015,,32
291828016,5,BBbH,BBbH.00,[M]Spongioblastoma NOS,63634009,105759017,,32
291835012,8000,BBbQ,BBbQ.00,Oligodendroglioma - category,443565000,2840882012,,32
291836013,4000,BBbT,BBbT.00,Medulloblastoma,83217000,138016017,,32
291837016,60,BBbW,BBbW.00,Cerebellar sarcoma,17302008,29245013,,32
291864015,200,BBd1,BBd1.00,Meningiomatosis,40935003,68275012,,32
291867010,200,BBd8,BBd8.00,[M]Haemangiopericytic meningioma,36060005,60174016,,32
291869013,7000,BBdz,BBdz.00,[M]Meningioma NOS,19453003,32764010,,32
291957016,6,BBm0,BBm0.00,[M]Microglioma,21964009,36846011,,32
292152012,100,ByuA2,ByuA200,Malignant tumour of meninges,363497007,482781018,,32
403757015,30000,BBbL,BBbL.00,Glioblastoma,63634009,105759017,,32
482730011,3000,B511,B511.00,Malignant neoplasm of frontal lobe,363467004,482730011,,32
482731010,2000,B512,B512.00,Malignant neoplasm of temporal lobe,363468009,482731010,,32
482732015,2000,B513,B513.00,Malignant neoplasm of parietal lobe,363469001,482732015,,32
482733013,500,B514,B514.00,Malignant neoplasm of occipital lobe,363470000,482733013,,32
482734019,40,B515,B515.00,Malignant neoplasm of cerebral ventricles,363471001,482734019,,32
482737014,300,B521,B521.00,Malignant neoplasm of cerebral meninges,363474009,482737014,,32
482740014,20,B523,B523.00,Malignant neoplasm of spinal meninges,363476006,482740014,,32
482741013,100,B525,B525.00,Malignant neoplasm of cauda equina,363477002,482741013,,32
1216595017,1000,BBba,BBba.00,[M]Primitive neuroectodermal tumour,39781001,1216596016,,32
1221241014,200,BBb4,BBb4.00,[M]Subependymal giant cell astrocytoma,1586004,1221241014,,32
1227581011,500,ZV10y-2,ZV10y12,[V]Personal history of malignant neoplasm of brain,266987004,397818015,,32
1229453012,20000,BBbB,BBbB.00,[M]Astrocytoma NOS,38713004,1229453012,,32
1230234015,500,BBb3-3,BBb3.13,[M]Subependymoma,4553004,1230234015,,32
