"searchterms","exclusionterms","searched_in_column","searchmethod"
"Astroblastoma","family history","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Astrocytoma","FH:",,
"Astroganglioma","Benign",,
"medulloblastoma",,,
"Ependymoblastoma",,,
"Gemistocytoma",,,
"glioblastoma",,,
"Glioma",,,
"Leptomeningeal sarcoma",,,
"Medullomyoblastoma",,,
"Meningeal sarcomatosis",,,
"Meningioma",,,
"Meningothelial sarcoma",,,
"Neurilemmoma",,,
"Oligodendroblastoma",,,
"xanthoastrocytoma",,,
"neuroectodermal tumour",,,
"Schwannoma",,,
"Spongioblastoma",,,
"Ca cerebrum",,,
"Cancer of the brain",,,
"Cerebellar sarcoma",,,
"Cerebral tumour - malignant",,,
"medulloblastoma",,,
"Ependymoma",,,
"Gliomatosis cerebri",,,
"Gliosarcoma",,,
"Malig neop of other and unspecified parts of nervous system",,,
"Malig neopl, overlap lesion brain & other part of CNS",,,
"Malignant glioma",,,
"Malignant neoplasm of acoustic nerve",,,
"Malignant neoplasm of basal ganglia",,,
"Malignant neoplasm of brain",,,
"Malignant neoplasm of cauda equina",,,
"Malignant neoplasm of central nervous system",,,
"Malignant neoplasm of cerebellum",,,
"Malignant neoplasm of cerebr",,,
"Malignant neoplasm of corpus callosum",,,
"Malignant neoplasm of cranial nerves",,,
"Malignant neoplasm of cranial nerves NOS",,,
"Malignant neoplasm of frontal lobe",,,
"Malignant neoplasm of globus pallidus",,,
"Malignant neoplasm of hypothalamus",,,
"Malignant neoplasm of meninges, unspecified",,,
"Malignant neoplasm of midbrain",,,
"Malignant neoplasm of nervous system",,,
"Malignant neoplasm of occipital lobe",,,
"Malignant neoplasm of olfactory bulb",,,
"Malignant neoplasm of optic nerve",,,
"Malignant neoplasm of other part of brain NOS",,,
"Malignant neoplasm of other parts of brain",,,
"Malignant neoplasm of other specified part of nervous system",,,
"Malignant neoplasm of parietal lobe",,,
"Malignant neoplasm of pons",,,
"Malignant neoplasm of spinal cord",,,
"Malignant neoplasm of spinal meninges",,,
"Malignant neoplasm of spinal meninges NOS",,,
"Malignant neoplasm of temporal lobe",,,
"Malignant neoplasm of temporal lobe NOS",,,
"Malignant neoplasm of thalamus",,,
"Malignant tumor of spinal cord",,,
"Malignant tumour of cranial nerve",,,
"Malignant tumour of hypothalamus",,,
"Malignant tumour of meninges",,,
"Malignant tumour of optic nerve",,,
"Malignant tumour of spinal cord",,,
"Medulloblastoma",,,
"Medullomyoblastoma",,,
"Meningeal sarcomatosis",,,
"Mixed oligoastrocytoma",,,
"Neurilemoma",,,
"Oligodendroblastoma",,,
"Oligodendroglioma",,,
"Pilocytic astrocytoma",,,
"Pleomorphic xanthoastrocytoma",,,
"Primitive neuroectodermal tumour",,,
