"searchterms","exclusionterms","searched_in_column","searchmethod"
"(?=.*cancer)(?=.*lung)","screen","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"(?=.*malignant)(?=.*lung)","Suspected",,
"(?=.*malignant)(?=.*bronch)","FH",,
"(?=.*malignant)(?=.*alveol)","family history",,
"Alveolar adenocarcinoma","risk",,
"Alveolar cell carcinoma",,,
"Bronchiolar carcinoma",,,
"Bronchiolo-alveolar adenocarcinoma",,,
"Cylindroid adenocarcinoma",,,
"Cylindroid bronchial adenoma",,,
"Pneumoblastoma",,,
"Pulmonary blastoma",,,
"Small cell carcinoma",,,
"Adenoid cystic carcinoma",,,
"Alveolar adenocarcinoma",,,
"Bronchiolo-alveolar adenocarcinoma",,,
"CA - Lung cancer",,,
"Ca lower lobe bronchus/lung",,,
"Ca middle lobe bronchus/lung",,,
"Ca trachea/bronchus/lung",,,
"Ca trachea/bronchus/lung NOS",,,
"Ca upper lobe bronchus/lung",,,
"Carcinoid bronchial adenoma",,,
"Carcinosarcoma, embryonal",,,
"small cell-adenocarcinoma",,,
"Embryonal carcinosarcoma,",,,
"Lung cancer",,,
"Malignant neoplasm of bronchus or lung",,,
"Malignant neoplasm of carina of bronchus",,,
"Malignant neoplasm of hilus of lung",,,
"Malignant neoplasm of lower lobe bronchus",,,
"Malignant neoplasm of lower lobe of lung",,,
"Malignant neoplasm of lower lobe, bronchus or lung",,,
"Malignant neoplasm of lower lobe, bronchus or lung NOS",,,
"Malignant neoplasm of lower respiratory tract",,,
"Malignant neoplasm of main bronchus",,,
"Malignant neoplasm of main bronchus NOS",,,
"Malignant neoplasm of middle lobe bronchus",,,
"Malignant neoplasm of middle lobe of lung",,,
"Malignant neoplasm of middle lobe, bronchus or lung",,,
"Malignant neoplasm of middle lobe, bronchus or lung NOS",,,
"Malignant neoplasm of other sites of bronchus or lung",,,
"Malignant neoplasm of overlapping lesion of bronchus and lung",,,
"Malignant neoplasm of upper lobe bronchus",,,
"Malignant neoplasm of upper lobe of lung",,,
"Malignant neoplasm of upper lobe, bronchus or lung",,,
"Malignant neoplasm of upper lobe, bronchus or lung NOS",,,
"Malignant tumor of lung",,,
"Malignant tumour of lung",,,
"Non-small cell carcinoma",,,
"Oat cell carcinoma",,,
"Pancoast's syndrome",,,
"Primary malignant neoplasm of hilus of lung",,,
"Primary malignant neoplasm of lung",,,
"Small cell carcinoma, intermediate cell",,,
"Small cell-large cell carcinoma",,,
