"searchterms","exclusionterms","searched_in_column","searchmethod"
"(?=.*cancer)(?=.*pancrea)","screen","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"(?=.*carcinom)(?=.*pancrea)","Suspected",,
"(?=.*metasta)(?=.* ancrea)","FH",,
"(?=.*malign)(?=.*pancrea)","family history",,
"(?=.*ca )(?=.*pancrea)","in situ",,
"Alpha-cell tumour","test",,
"Beta-cell tumour","Benign",,
"Islet cell carcinoma","risk",,
"Mixed islet cell and exocrine adenocarcinoma",,,
"gastrinoma",,,
"glucagonoma",,,
"insulinoma",,,
"Malignant beta cell tumour",,,
"Neoplasm of pancreas",,,
"Tumor of pancreas",,,
"Tumour of pancreas",,,
"Malignant neoplasm of Islets of Langerhans",,,
