MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
124598014,3000,F1370,F137000,Athetoid cerebral palsy,75019001,124598014,,32
206411014,20000,F2B,F2B..00,Cerebral palsy,128188000,206411014,,32
297233015,300,F23y,F23y.00,Other congenital cerebral palsy,128188000,206411014,,32
297234014,800,F23y0,F23y000,Ataxic infantile cerebral palsy,278512001,2995485017,,32
297238012,2000,F23yz,F23yz00,Other infantile cerebral palsy NOS,128188000,206411014,,32
297239016,10000,F23z,F23z.00,Congenital cerebral palsy NOS,128188000,2995060017,,32
299393011,2000,Fyu9,Fyu9.00,[X]Cerebral palsy and other paralytic syndromes,408371000000100,897791000000110,,32
299394017,400,Fyu90,Fyu9000,[X]Other infantile cerebral palsy,128188000,206411014,,32
345771011,10000,F23-2,F23..12,Infantile cerebral palsy,128188000,2995381013,,32
345773014,10000,F23y2,F23y200,Spastic cerebral palsy,230773005,345773014,,32
345780011,1000,F23y3,F23y300,Dyskinetic cerebral palsy,230780007,345780011,,32
411453017,100000,F23,F23..00,Congenital cerebral palsy,128188000,2995060017,,32
411454011,2000,F23-1,F23..11,Congenital spastic cerebral palsy,230773005,2995835018,,32
451123015,2000,G669,G669.00,"Cerebral palsy, not congenital or infantile, acute",307756005,451123015,,32
2475877015,900,F23y4,F23y400,Ataxic diplegic cerebral palsy,58193001,96715019,,32
3509879014,1,^ESCT1170883,,Neuromuscular scoliosis due to cerebral palsy,330471000119101,3509879014,,31
497021000006113,2000,F137-1,F137.11,Athetoid cerebral palsy,75019001,124598014,,32
542541000006112,20,F23-4,F23..14,Cerebral atonia,128188000,206411014,,32
543071000006115,10000,F2301,F230100,Cerebral palsy with spastic diplegia,230773005,345773014,,32
761411000006111,10,F23y1,F23y100,Flaccid infantile cerebral palsy,192958009,297235010,,32
907241000006111,3000,HNG0180,,[RFC] Cerebral palsy,907241000006107,907241000006111,,12
907411000006113,400,HNG0197,,[RFC] Cerebral palsy,907411000006109,907411000006113,,12
1776511000006112,6,EMISNQRE209,,Reason for referral: Cerebral Palsy,1776511000006108,1776511000006112,,40
1815931000006114,800,F2301-1,F230111,Spastic diplegic cerebral palsy,58193001,2168501000000119,,32
1815951000006119,2000,F2B0,F2B0.00,Spastic quadriplegic cerebral palsy,48721008,3010116017,,32
1815971000006112,500,F2By,F2By.00,Other cerebral palsy,128188000,206411014,,32
