MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
11316014,3000,J6610,J661000,Acute cholangitis,6215006,11316014,,32
17750014,1000,J6612,J661200,Recurrent cholangitis,10184002,17750014,,32
45033010,5000,J6614,J661400,Ascending cholangitis,26918003,45033010,,32
116009017,40,J6613,J661300,Suppurative cholangitis,69850007,116009017,,32
119489014,400,J6611,J661100,Chronic cholangitis,71912000,119489014,,32
136680010,40000,J661,J661.00,Cholangitis,82403002,136680010,,32
303471011,200,J6201,J620100,Liver abscess due to cholangitis,197327006,303471011,,32
303568018,1000,J646,J646.00,Calculus of bile duct with cholangitis,197402000,303568018,,32
303611010,7,J6615,J661500,Cholangitis lenta,197438007,303611010,,32
303612015,1,J6616,J661600,Obliterative cholangitis,197439004,303612015,,32
303614019,20000,J6617,J661700,Primary sclerosing cholangitis,197441003,303614019,,32
303616017,200,J6618,J661800,Secondary sclerosing cholangitis,197442005,303616017,,32
303617014,3000,J6619,J661900,Sclerosing cholangitis,235917005,353654013,,32
303618016,200,J661y,J661y00,Other cholangitis,82403002,136680010,,32
303619012,600,J661z,J661z00,Cholangitis NOS,82403002,136680010,,32
3515305014,1,^ESCT1165905,,Cirrhosis of liver with primary sclerosing cholangitis,735733008,3515305014,,31
2773901000006111,4,^ESCTPR277390,,Primary cholangitis,17266006,29189018,,31
3010811000006111,300,^ESCTPR301081,,Primary biliary cholangitis,31712002,3322805017,,32
3205531000006115,1,^ESCTBA320553,,Bacterial cholangitis,43823002,73078016,,31
3667791000006119,1,^ESCTST366779,,Stenosing cholangitis,71801004,119282019,,31
4787861000006113,20,^ESCTPS478786,,PSC - Primary sclerosing cholangitis,197441003,303615018,,32
6715901000006117,7,^ESCTIN671590,,Infective cholangitis,405590003,2157383013,,31
7837301000006117,4,^ESCTCA783730,,Calculus of gallbladder without cholecystitis or cholangitis,722869007,3333804019,,31
7837311000006119,10,^ESCTGA783731,,Gallbladder calculus without cholecystitis or cholangitis,722869007,3333820012,,31
7837321000006110,2,^ESCTIG783732,,IgG4-related sclerosing cholangitis,722870008,3333806017,,31
8461891000006117,5,^ESCTAC846189,,Acute cholangitis due to bile duct calculus,1084831000119100,3082358010,,31
