MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
303686010,300,J6900,J690000,Congenital coeliac disease,197478000,303686010,,32
303687018,2000,J6901,J690100,Acquired coeliac disease,197479008,303687018,,32
303690012,10000,J690z,J690z00,Coeliac disease NOS,396331005,1772803017,,32
1772803017,600000,J690,J690.00,Coeliac disease,396331005,1772803017,,32
1785538011,4000,J690-3,J690.13,Gluten enteropathy,396331005,1785538011,,32
221181000000119,30,J690-2,J690.12,Gee - Herter disease,45259000,75457010,,32
914631000006113,20000,J690-8,J690.18,Gluten intolerance,441831003,1800751000000117,,15
1651841000000119,2000,9mB,9mB..00,Coeliac disease monitoring invitation,750871000000108,1651841000000119,,37
1651881000000110,20,9mB0,9mB0.00,Coeliac disease monitoring telephone invitation,750891000000107,1651881000000110,,37
1651921000000116,200,8IAp,8IAp.00,Coeliac disease annual review declined,750911000000105,1651921000000116,,32
1655141000000110,3000,9mB1,9mB1.00,Coeliac disease monitoring invitation first letter,752301000000106,1655141000000110,,37
1655181000000119,500,9mB2,9mB2.00,Coeliac disease monitoring invitation second letter,752321000000102,1655181000000119,,37
1655221000000112,200,9mB3,9mB3.00,Coeliac disease monitoring invitation third letter,752341000000109,1655221000000112,,37
1689381000000112,4000,6648,6648.00,Coeliac disease monitoring,703970007,3011518017,,1
1689421000000115,7000,66480,6648000,Coeliac disease annual review,473213008,2956273012,,1
1745841000006119,100,EMISNQCO76,,Coeliac disease monitoring administration,1745841000006103,1745841000006119,,37
1745851000006117,1000,EMISNQCO77,,Coeliac disease monitoring 1st letter,1745851000006101,1745851000006117,,37
1745861000006115,300,EMISNQCO78,,Coeliac disease monitoring 2nd letter,1745861000006104,1745861000006115,,37
1745871000006110,200,EMISNQCO79,,Coeliac disease monitoring 3rd letter,1745871000006106,1745871000006110,,37
1745881000006113,30,EMISNQCO80,,Coeliac disease monitoring phone invite,1745881000006109,1745881000006113,,37
1745891000006111,3,EMISNQCO81,,Coeliac disease annual review declined,1745891000006107,1745891000006111,,32
1747701000006119,50,EMISNQCO84,,Coeliac disease monitoring,1747701000006103,1747701000006119,,1
1747711000006116,200,EMISNQCO85,,Coeliac disease annual review,1747711000006100,1747711000006116,,1
3230021000006111,3,^ESCTGE323002,,Gee-Herter disease,45259000,75457010,,32
3502581000006118,7,^ESCTTR350258,,Transient gluten intolerance,61712006,499097015,,15
3992891000006113,40,^ESCTAD399289,,Adult form of coeliac disease,91867008,509751016,,31
5741741000006110,40,^ESCTCO574174,,Coeliac disease diet education,289134009,2575913016,,31
6567671000006110,4,^ESCTCE656767,,Celiac disease,396331005,1774089018,,32
6567681000006113,3,^ESCTCD656768,,CD - Coeliac disease,396331005,1783556014,,32
6567721000006118,5,^ESCTCO656772,,Coeliac syndrome,396331005,1783560012,,32
6567821000006113,7,^ESCTGL656782,,Gluten-sensitive enteropathy,396331005,1785542014,,32
