"searchterms","exclusionterms","searched_in_column","searchmethod"
"[X]Ischaemic heart diseases","FH:","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"[X]Other forms of acute ischaemic heart disease","Family history",,
"[X]Other forms of chronic ischaemic heart disease","Screening",,
"Aborted myocardial infarction","excluded",,
"Arteriosclerotic heart disease",,,
"Asymptomatic coronary heart disease",,,
"Asymptomatic ischaemia",,,
"Atherosclerosis of coronary artery",,,
"Atherosclerotic heart disease",,,
"CAD - Coronary artery disease",,,
"CHD - Coronary heart disease",,,
"Chronic coronary insufficiency",,,
"Chronic ischaemic heart disease",,,
"Chronic ischemic heart disease",,,
"Chronic myocardial ischaemia",,,
"Coronary arteriosclerosis",,,
"Coronary artery disease",,,
"Coronary atherosclerosis",,,
"Coronary heart disease",,,
"Coronary heart disease annual review",,,
"Coronary heart disease medication review",,,
"Coronary heart disease review",,,
"Coronary thrombosis not resulting in myocardial infarction",,,
"Emergency hospital admission for ischaemic heart disease",,,
"Generalised ischaemic myocardial dysfunction",,,
"IHD - Ischaemic heart disease",,,
"IHD - Ischemic heart disease",,,
"Ischaemic cardiomyopathy",,,
"Ischaemic heart disease",,,
"Ischaemic heart disease NOS",,,
"Ischemic cardiomyopathy",,,
"Ischemic heart disease",,,
"MI - Myocardial infarction aborted",,,
"Myocardial infarction aborted",,,
"Other acute and subacute ischaemic heart disease",,,
"Other acute and subacute ischaemic heart disease NOS",,,
"Other chronic ischaemic heart disease NOS",,,
"Other specified chronic ischaemic heart disease",,,
"Other specified chronic ischaemic heart disease NOS",,,
"Other specified ischaemic heart disease",,,
"Silent myocardial ischaemia",,,
"Subendocardial ischaemia",,,
"Transient myocardial ischaemia",,,
