MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
56765016,800000,J40-1,J40..11,Crohn's disease,34000006,56765016,,32
56770011,100,J40-2,J40..12,Granulomatous enteritis,34000006,56765016,,32
302322010,400,J08z9,J08z900,Orofacial Crohn's disease,196578009,302322010,,32
302939018,1000,J4003,J400300,Crohn's disease of the ileum unspecified,38106008,64705019,,32
302940016,5000,J4004,J400400,Crohn's disease of ileum,38106008,64705019,,32
302941017,8000,J400z,J400z00,Crohn's disease of small intestine,56689002,94270018,,32
303761010,800,Jyu40,Jyu4000,[X]Other Crohn's disease,34000006,56765016,,32
309744019,3000,N0311,N031100,Arthropathy in Crohn's disease,201728006,309744019,,32
309833017,100,N0453,N045300,Juvenile arthritis in Crohn's disease,201805000,309833017,,32
396357012,6000,J401z,J401z00,Crohn's disease of large bowel,7620006,13585013,,32
1222351011,4000,J40z-1,J40z.11,Crohn's disease NOS,34000006,56765016,,32
2532950019,2000,J4012,J401200,Exacerbation of Crohn's disease of large intestine,414153008,2532950019,,32
2532958014,3000,J4005,J400500,Exacerbation of Crohn's disease of small intestine,414154002,2532958014,,32
179501000006113,200000,J40,J40..00,Crohn's regional enteritis,34000006,485713019,,32
601031000006119,40000,J401z-1,J401z11,CC - Crohn's colitis,50440006,1230866018,,32
601091000006115,20000,J4002,J400200,Crohn's disease of terminal ileum,196977009,302938014,,32
886291000006112,20000,J40-99,J40..99,Regional enteritis - Crohn,34000006,886291000006112,,32
906051000006118,500,HNG0087,,[RFC] Crohns disease,906051000006102,906051000006118,,12
2559781000006115,50,^ESCTCR255978,,Crohn's disease of rectum,3815005,7437014,,32
2559801000006116,10,^ESCTCR255980,,Crohn's proctitis,3815005,488237016,,32
2621151000006116,1,^ESCTCR262115,,Crohn disease of large bowel,7620006,2837911010,,32
2621161000006119,1,^ESCTCR262116,,"Crohns disease, large intestine",7620006,2920514018,,32
3047391000006119,4,^ESCTCD304739,,CD - Crohn's disease,34000006,485711017,,32
3047411000006119,100,^ESCTCR304741,,Crohn disease,34000006,2841833019,,32
3047421000006110,200,^ESCTCR304742,,Crohns disease,34000006,2920557011,,32
3113541000006111,100,^ESCTCR311354,,Crohn's ileitis,38106008,1229386012,,32
3113551000006113,2,^ESCTCR311355,,Crohn disease of ileum,38106008,2837986010,,32
3316751000006117,400,^ESCTCR331675,,Crohn's disease of colon,50440006,84032014,,32
3316771000006110,1,^ESCTGR331677,,Granulomatous colitis,50440006,84034010,,32
3316811000006110,3,^ESCTCR331681,,"Crohns disease, colon",50440006,2921054017,,32
3414681000006119,3,^ESCTCR341468,,Crohn's disease of duodenum,56287005,93608013,,32
3420891000006119,5,^ESCTCR342089,,"Crohns disease, small intestine",56689002,2920652011,,32
4784091000006115,60,^ESCTCR478409,,Crohn's disease of oral soft tissues,196578009,3491734012,,32
4784111000006112,4,^ESCTOR478411,,Oral Crohn's disease,196578009,3491732011,,32
4785581000006112,20,^ESCTCR478558,,Crohn disease of terminal ileum,196977009,2838767013,,32
4808981000006112,3,^ESCTAR480898,,Arthropathy in Crohn disease,201728006,2839855014,,32
4809351000006111,2,^ESCTJU480935,,Juvenile arthritis in Crohn disease,201805000,2838741015,,32
5085621000006118,20,^ESCTPE508562,,Perianal Crohn's disease,235796008,353466014,,31
5085631000006115,1,^ESCTPE508563,,Perianal Crohn disease,235796008,2840186012,,31
5548921000006113,9,^ESCTCR554892,,Crohn's disease activity index,273364009,408725019,,31
6582841000006118,1,^ESCTGA658284,,Gastrointestinal Crohn's disease,397172008,1776860019,,31
6664401000006118,1,^ESCTVU666440,,Vulval Crohn's disease,402375009,1787563010,,31
6664411000006115,1,^ESCTCR666441,,Crohn disease of vulva,402375009,2841972019,,31
6853111000006114,2,^ESCTEX685311,,Exacerbation of Crohn disease of large intestine,414153008,2838315012,,32
6853131000006115,3,^ESCTEX685313,,Exacerbation of Crohn disease of small intestine,414154002,2842247013,,32
7060771000006117,1,^ESCTCR706077,,Crohn disease in remission,426549001,2839816013,,31
7959171000006110,3,^ESCTPE795917,,Perianal fistula due to Crohn's disease,733533008,3499621019,,31
7988831000006117,1,^ESCTAR798883,,Arthritis co-occurrent and due to Crohn's disease,8161000119106,3330450010,,31
7988841000006110,2,^ESCTCR798884,,Crohn's disease with arthritis,8161000119106,3330451014,,31
8035641000006112,3,^ESCTHI803564,,History of Crohns disease,112561000119108,3040276012,,31
