"searchterms","exclusionterms","searched_in_column","searchmethod"
"Wart","Warthin","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Verruca","Stewart",,
,"Schwartz",,
,"Bannwarth",,
,"Wartenberg",,
,"perianal",,
,"Perineal",,
,"anal",,
,"vulval",,
,"Venereal",,
,"Penile",,
,"Cervical",,
,"screen",,
,"Adverse reaction",,
