medcodeid,term,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,dementia
123479016,reye's syndrome,F11y0,F11y000,74351001,123479016,1
1235534016,binswanger's encephalopathy,F21y2-1,F21y211,90099008,1235534016,1
12702281000006111,degenerative brain disorder,^ESCT1270228,,52522001,198391016,1
12724061000006112,cerebral degeneration other disease nos,^ESCT1272406,,603691000000101,1336441000000118,1
12725821000006112,cerebral degeneration nos,^ESCT1272582,,668731000000103,1467391000000115,1
148381000006115,senile/presenile dementia,E00-2,E00..12,52448006,87274019,1
149347010,binswanger's disease,F21y2,F21y200,90099008,149347010,1
1823871000006112,dementia confirmed,EMISNQDE35,,1823871000006108,1823871000006112,1
1834091000006117,dementia care plan,EMISNQDE37,,1834091000006101,1834091000006117,1
1916981000006111,dementia medication review,EMISNQDE54,,1916981000006107,1916981000006111,1
1949611000006114,dementia post diagnostic support (scotland),EMISNQDE66,,1949611000006105,1949611000006114,1
1949621000006118,dementia stage at diagnosis,EMISNQDE67,,1949621000006102,1949621000006118,1
1949631000006115,dementia stage at diagnosis - early (mild),EMISNQDE68,,1949631000006104,1949631000006115,1
1949641000006113,dementia stage at diagnosis - mid (moderate),EMISNQDE69,,1949641000006109,1949641000006113,1
1949651000006110,dementia stage at diagnosis - late (severe),EMISNQDE70,,1949651000006106,1949651000006110,1
1949661000006112,dementia stage at diagnosis - undetermined,EMISNQDE71,,1949661000006108,1949661000006112,1
1949671000006117,dementia stage at diagnosis - not known,EMISNQDE72,,1949671000006101,1949671000006117,1
1949681000006119,person centred dementia support plan (scotland),EMISNQPE63,,1949681000006103,1949681000006119,1
1949691000006116,dementia support plan (scot) in place at 12 months,EMISNQDE73,,1949691000006100,1949691000006116,1
1949701000006116,dementia support plan (scot) partly in place at 12 months,EMISNQDE74,,1949701000006100,1949701000006116,1
1949711000006118,dementia support plan (scot) absent at 12 months,EMISNQDE75,,1949711000006102,1949711000006118,1
