medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	dementia
1971401000006111	"dementia in alzheimer's disease with early onset, without additional symptoms"	EMISICD10|F0000		1971401000006107	1971401000006111	1
1971541000006114	"dementia in alzheimer's disease with early onset, other symptoms, predominantly delusional"	EMISICD10|F0001		1971541000006105	1971541000006114	1
1971771000006112	"dementia in alzheimer's disease with early onset, other symptoms, predominantly hallucinatory"	EMISICD10|F0002		1971771000006108	1971771000006112	1
1972131000006115	"dementia in alzheimer's disease with early onset, other symptoms, predominantly depressive"	EMISICD10|F0003		1972131000006104	1972131000006115	1
1972141000006113	"dementia in alzheimer's disease with early onset, other mixed symptoms"	EMISICD10|F0004		1972141000006109	1972141000006113	1
1972171000006117	"dementia in alzheimer's disease with late onset, without additional symptoms"	EMISICD10|F0010		1972171000006101	1972171000006117	1
1972181000006119	"dementia in alzheimer's disease with late onset, other symptoms, predominantly delusional"	EMISICD10|F0011		1972181000006103	1972181000006119	1
1972191000006116	"dementia in alzheimer's disease with late onset, other symptoms, predominantly hallucinatory"	EMISICD10|F0012		1972191000006100	1972191000006116	1
1972201000006118	"dementia in alzheimer's disease with late onset, other symptoms, predominantly depressive"	EMISICD10|F0013		1972201000006102	1972201000006118	1
1972211000006115	"dementia in alzheimer's disease with late onset, other mixed symptoms"	EMISICD10|F0014		1972211000006104	1972211000006115	1
1972231000006114	"dementia in alzheimer's dis, atypical or mixed type, without additional symptoms"	EMISICD10|F0020		1972231000006105	1972231000006114	1
1972251000006119	"dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly delusional"	EMISICD10|F0021		1972251000006103	1972251000006119	1
1972291000006113	"dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly hallucinatory"	EMISICD10|F0022		1972291000006109	1972291000006113	1
1972311000006112	"dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive"	EMISICD10|F0023		1972311000006108	1972311000006112	1
1972341000006111	"dementia in alzheimer's dis, atypical or mixed type, other mixed symptoms"	EMISICD10|F0024		1972341000006107	1972341000006111	1
1972371000006115	"dementia in alzheimer's disease, unspecified, without additional symptoms"	EMISICD10|F0090		1972371000006104	1972371000006115	1
1972401000006117	"dementia in alzheimer's disease, unspecified, other symptoms, predominantly delusional"	EMISICD10|F0091		1972401000006101	1972401000006117	1
1972421000006110	"dementia in alzheimer's disease, unspecified, other symptoms, predominantly hallucinatory"	EMISICD10|F0092		1972421000006106	1972421000006110	1
1972451000006118	"dementia in alzheimer's disease, unspecified, other symptoms, predominantly depressive"	EMISICD10|F0093		1972451000006102	1972451000006118	1
1972471000006111	"dementia in alzheimer's disease, unspecified, other mixed symptoms"	EMISICD10|F0094		1972471000006107	1972471000006111	1
2931231000006118	ad - alzheimer's disease	^ESCTAD293123		26929004	1225144019	1
2931241000006111	alzheimer disease	^ESCTAL293124		26929004	2839267017	1
2931251000006113	alzheimer dementia	^ESCTAL293125		26929004	3424952012	1
295668011	[x]dementia in alzheimer's disease	Eu00	Eu00.00	26929004	45046017	1
