MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
10089014,80000,AB000-1,AB00011,Tinea capitis,5441008,10089014,,32
11001016,400000,AB04-2,AB04.12,Tinea pedis,6020002,11001016,,32
11003018,700000,AB04-1,AB04.11,Athlete's foot,6020002,11003018,,32
59377011,900,AB12,AB12.00,Tinea blanca,35586003,59377011,,32
78997016,500000,AB0-2,AB0..12,Ringworm,47382004,78997016,,32
93876010,50000,AB10-2,AB10.12,Tinea versicolor,56454009,93876010,,32
93877018,40,AB10-1,AB10.11,Tinea flava,56454009,93877018,,32
140668010,300000,AB05-2,AB05.12,Tinea corporis,84849002,140668010,,32
261490015,30000,4JL90,4JL9000,Nail clippings fungus positive,168374009,261490015,,47
286345018,800,AB11,AB11.00,Tinea nigra,186289000,286345018,,32
287486017,600,AB00z,AB00z00,Dermatophytosis of scalp or beard NOS,266148000,395418014,,32
287498010,10000,AB031,AB03100,Dermatophytosis of the perianal area,186991000,287498010,,32
287499019,5000,AB03z,AB03z00,Dermatophytosis of groin and perianal area NOS,47382004,78990019,,32
287512010,3000,AB0y,AB0y.00,Other specified dermatophytosis,47382004,78990019,,32
287514011,30000,AB0z,AB0z.00,Dermatophytosis NOS,47382004,78990019,,32
287515012,10000,AB1,AB1..00,Dermatophytosis other and unspecified,47382004,78990019,,32
288211016,2000,AyuE0,AyuE000,[X]Other dermatophytoses,3218000,6425015,,32
288212011,4000,AyuE1,AyuE100,"[X]Dermatophytosis, unspecified",47382004,78990019,,32
357372014,1000,AB0y1,,Tinea incognito,238435009,357372014,,32
360527019,100,AB0y0,AB0y000,Tinea imbricata,240699006,360527019,,32
395418014,20000,AB00,AB00.00,Dermatophytosis of scalp or beard,266148000,395418014,,32
395422016,200000,AB05,AB05.00,Dermatophytosis of the body,266151007,395422016,,32
395423014,300,AB06,AB06.00,Deep seated dermatophytosis,266152000,395423014,,32
395424015,600,AB06-1,AB06.11,Granuloma trichophyticum,266152000,395424015,,32
1230667012,10000,AB02,AB02.00,Dermatophytosis of hand,48971001,1230667012,,32
1231331018,80000,AB000,AB00000,Dermatophytosis of scalp,5441008,1231331018,,32
1231332013,40,AB000-99,AB00099,Tinea of scalp,5441008,1231332013,,32
1778497010,400000,AB03-2,AB03.12,Tinea cruris,399029005,1778497010,,32
1786817018,3000,AB001,AB00100,Dermatophytosis of beard,399329002,1786817018,,32
2533089015,300000,AB01-1,AB01.11,Onychomycosis,414941008,2533089015,,32
2536410013,300000,AB04,AB04.00,Dermatophytosis of foot,6020002,2536410013,,32
2536717010,70000,AB01-2,AB01.12,Tinea unguium,402134005,2536717010,,32
2536718017,400000,AB01,AB01.00,Dermatophytosis of nail,402134005,2536718017,,32
102631000006116,6000,AB02-1,AB02.11,Tinea manuum,48971001,81584013,,32
614531000006110,500000,AB0,AB0..00,Dermatophytosis,47382004,78990019,,32
614571000006113,80000,AB030,AB03000,Dermatophytosis of groin,399029005,1778497010,,32
614581000006111,100000,AB03,AB03.00,Dermatophytosis of groin and perianal area,399029005,1778497010,,32
797051000006113,2000000,AB01-3,AB01.13,Fungal nail infection,414941008,2533089015,,32
879481000006111,3000,AB00-99,AB00.99,Tinea of scalp,266148000,879481000006111,,32
879491000006114,20000,AB01-99,AB01.99,Tinea of nail - onychomycosis,402134005,879491000006114,,32
879501000006118,20000,AB03-99,AB03.99,Tinea of groin/perianal,399029005,879501000006118,,32
879511000006115,30000,AB04-99,AB04.99,Tinea pedis - athlete's foot,6020002,879511000006115,,32
879521000006111,30000,AB05-99,AB05.99,Tinea of body - ringworm,266151007,879521000006111,,32
879531000006114,800,AB1-99,AB1..99,Other dermatophytosis,556441000000101,879531000006114,,32
2504471000006116,60,^ESCTTR250447,,Trichophyton rubrum,372008,1710017,,31
2586441000006116,50,^ESCTBL258644,,Black dot ringworm,5441008,1231330017,,32
2595641000006111,2,^ESCTTP259564,,TP - Tinea pedis,6020002,498673016,,32
2607951000000112,80,AB032,,Tinea inguinalis,399029005,2607951000000112,,32
2802881000006111,100,^ESCTTI280288,,Tinea kerion,19087001,32171014,,32
2925971000006113,2,^ESCTTR292597,,Trichophyton verrucosum,26601004,44536019,,31
3292321000006116,200,^ESCTTI329232,,Tinea manus,48971001,81583019,,32
3405811000006112,1,^ESCTTR340581,,Trichophyton mentagrophytes,55766005,92726010,,31
3663201000006112,10,^ESCTTR366320,,Trichophyton tonsurans,71495007,118784010,,31
3736721000006116,2,^ESCTTR373672,,Trichophyton mentagrophytes var. interdigitale,76040007,126299015,,31
3879981000006113,500,^ESCTTI387998,,Tinea circinatus,84849002,1234986010,,32
3887881000006119,2,^ESCTTI388788,,Tinea favosa,85375000,141516015,,31
3939601000006116,8,^ESCTTR393960,,Trichophyton,88578003,146868015,,31
5121581000006117,400,^ESCTST512158,,Steroid-modified tinea infection,238435009,357373016,,32
5121691000006115,2,^ESCTTR512169,,Trichophytide,238444005,357383017,,31
5128031000006115,2,^ESCTTI512803,,Tinea amiantacea,238924007,358075018,,32
5150861000006115,90,^ESCTTI515086,,Tinea faciei,240696004,360519011,,31
6618531000006117,90,^ESCTTI661853,,Tinea of perianal region,399172001,1778627012,,32
6621021000006113,400,^ESCTTI662102,,Tinea barbae,399329002,1778780015,,32
6660361000006118,3000,^ESCTON666036,,Onychomycosis due to dermatophyte,402134005,1781311012,,32
6674681000006117,2,^ESCTON667468,,Onychomycosis of fingernails,403058003,1782134014,,31
6674691000006119,9,^ESCTON667469,,Onychomycosis of toenails,403059006,1782135010,,31
6675831000006118,1,^ESCTDI667583,,Distal and lateral subungual onychomycosis,403104005,1782179013,,31
