MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
105596011,200000,J51,J51..00,Diverticula of intestine,63532004,105596011,,32
303123015,2000,J5100,J510000,Diverticulosis of the duodenum,197083003,303123015,,32
303124014,300,J5101,J510100,Diverticulosis of the jejunum,197084009,303124014,,32
303126011,1000,J5102,J510200,Diverticulosis of the ileum,197085005,303126011,,32
303127019,100,J5103,J510300,Diverticulosis of the small intestine unspecified,8114009,14400014,,32
303128012,4000,J5104,J510400,Diverticulosis of small intestine,8114009,14400014,,32
303131013,3000,J5106,J510600,Diverticulosis of the large intestine unspecified,398157006,1777716018,,32
303132018,10000,J5107,J510700,Diverticular disease of large intestine,398157006,1777716018,,32
303134017,2000,J5109,J510900,Bleeding diverticulosis,197092000,303134017,,32
303135016,6000,J510y,J510y00,Diverticulosis,397881000,1786007012,,32
303136015,30000,J510z,J510z00,Diverticulosis NOS,397881000,1777478012,,32
303141011,70,J5113,J511300,Diverticulitis of the small intestine unspecified,56165008,93400012,,32
303142016,40,J5114,J511400,Diverticulitis of small intestine,56165008,93400012,,32
303143014,2000,J5116,J511600,Diverticulitis of the large intestine unspecified,4494009,7629011,,32
303144015,3000,J5117,J511700,Diverticulitis of large intestine,4494009,7629011,,32
303145019,2000,J511y,J511y00,Diverticulitis unspecified,307496006,450775010,,32
303146018,20000,J511z,J511z00,Diverticulitis NOS,307496006,450775010,,32
303147010,10000,J512,J512.00,Perforated diverticulum,197104005,3512575015,,32
303148017,400,J5120,J512000,Perforated diverticulum of duodenum,197105006,303148017,,32
303149013,300,J5121,J512100,Perforated diverticulum of jejunum,197106007,303149013,,32
303150013,300,J5122,J512200,Perforated diverticulum of ileum,197107003,303150013,,32
303151012,50,J5123,J512300,Perforated diverticulum of small intestine unspecified,280993006,418881013,,32
303152017,200,J5124,J512400,Perforated diverticulum of small intestine,280993006,418881013,,32
303153010,200,J5126,J512600,Perforated diverticulum of large intestine unspecified,280992001,418880014,,32
303154016,600,J5127,J512700,Perforated diverticulum of large intestine,280992001,418880014,,32
303156019,900,J512y,J512y00,Perforated diverticulum of intestine,197104005,3512575015,,32
303157011,200,J512z,J512z00,Perforated diverticulum of intestine NOS,197104005,3512575015,,32
303159014,8000,J51z,J51z.00,Diverticula of the intestine NOS,63532004,105596011,,32
353440011,9000,J513,J513.00,Diverticular abscess,235774002,353440011,,32
450775010,700000,J511,J511.00,Diverticulitis,307496006,450775010,,32
485644015,600,J5110,J511000,Diverticulitis of the duodenum,33838003,485644015,,32
500628015,50,J5112,J511200,Diverticulitis of the ileum,67153004,500628015,,32
503419012,5000,J5125,J512500,Perforated diverticulum of colon,76953007,503419012,,32
1777478012,900000,J51-1,J51..11,Diverticular disease,397881000,1777478012,,32
1786007012,800000,J510,J510.00,Diverticulosis,397881000,1777478012,,32
1786077011,200000,J5105,J510500,Diverticular disease of colon,398050005,1777620011,,32
3512312014,8000,^ESCT1164124,,Diverticulosis of colon,733657002,3512312014,,32
626561000006118,100,J5108,J510800,Diverticular disease of both small and large intestine without perforation or abscess,197091007,303133011,,32
626571000006113,400,J5128,J512800,Diverticular disease of both small and large intestine with perforation and abscess,197112002,303155015,,32
626651000006119,40000,J5115,J511500,Diverticulitis of colon,111359004,178595017,,32
626681000006110,200,J5111,J511100,Diverticulitis of jejunum,111358007,178594018,,32
853491000006110,2,EGTON178,,Perforated diverticulum,853491000006106,853491000006110,,32
886341000006110,6000,J51-99,J51..99,Diverticular disease NOS,397881000,886341000006110,,32
906061000006116,500,HNG0088,,[RFC] Diverticulitis,906061000006100,906061000006116,,12
2787941000006114,1000,^ESCTDI278794,,Diverticulitis,18126004,30620019,,31
2825261000006116,5,^ESCTPE282526,,Perforated diverticulum,20464009,34439014,,31
3044531000006116,3,^ESCTDI304453,,Diverticulitis of duodenum,33838003,56484017,,32
3751141000006117,70,^ESCTDI375114,,Diverticulitis of colon with perforation,76953007,127753011,,32
4179611000006117,30,^ESCTPE417961,,Perforated diverticulitis,110429003,175262013,,31
4786071000006110,1,^ESCTDI478607,,Diverticula of jejunum,197084009,1494961018,,32
4786081000006113,50,^ESCTDI478608,,Diverticulosis of ileum,197085005,303125010,,32
5085371000006111,700,^ESCTCO508537,,Colonic diverticular abscess,235774002,353439014,,32
5085401000006114,9,^ESCTDI508540,,Diverticular disease of right side of colon,235776000,353442015,,31
5119451000006115,5,^ESCTDR511945,,Drainage of diverticular abscess,238265001,357146011,,31
5523901000006112,9,^ESCTDI552390,,Diverticulitis of gastrointestinal tract,271366000,406112010,,32
5531971000006117,40,^ESCTSI553197,,Simple diverticular disease,271959005,406984018,,31
5531981000006119,2,^ESCTUN553198,,Uncomplicated diverticular disease,271959005,406985017,,31
5531991000006116,7,^ESCTCO553199,,Complicated diverticular disease,271960000,406987013,,31
5689211000006119,50,^ESCTDI568921,,Diverticular disease of left side of colon,284535003,423243012,,31
6594231000006117,40,^ESCTDD659423,,DD - Diverticular disease,397881000,1786006015,,32
7048281000006115,20,^ESCTDI704828,,Diverticulosis of caecum,425698008,2674152017,,31
7048291000006117,50,^ESCTDI704829,,Diverticulosis of cecum,425698008,2674153010,,31
7080691000006114,30,^ESCTDI708069,,Diverticulitis of sigmoid colon,427910000,2692468012,,31
