MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
84231014,300000,M101-2,M101.12,Seborrhoeic eczema,50563003,84231014,,32
192189011,10000,M102-1,M102.11,Pustular eczema,123700004,192189011,,32
250073013,200000,12H1,12H1.00,FH: Eczema,160407004,250073013,,7
300723011,20000,G832,G832.00,Varicose veins of the leg with ulcer and eczema,195447000,300723011,,32
357504010,300000,M12z3,M12z300,Hand eczema,238539001,357504010,,32
399912014,200000,M12,M12..00,Contact dermatitis and other eczemas,40275004,63652013,,32
411635018,200000,G831,G831.00,Varicose veins of the leg with eczema,275700003,411635018,,32
486191017,6000,M1y2,M1y2.00,Gravitational eczema,35498005,486191017,,32
489882019,700000,G831-1,G831.11,Varicose eczema,366362000,489882019,,32
492621013,60000,M102,M102.00,Infectious eczematoid dermatitis,414492009,3317202015,,32
512310013,30000,F5024-1,F502411,Eczema of external ear,95812002,512310013,,32
585903012,10000,M11A,M11A.00,Asteatotic eczema,201077008,308910012,,32
1494721011,40000,M12-2,M12..12,Contact eczema,40275004,63652013,,32
1779279014,10000,M12z4,M12z400,Erythrodermic eczema,400005007,1779279014,,32
1788053014,40000,F5024,F502400,Acute eczematoid otitis extern,54272002,1788053014,,32
3527080013,1,^ESCT1167456,,Eczema of male genitalia,737172003,3527080013,,31
1.95021E+14,10000,M07y-1,M07y.11,Pustular eczema,123700004,192189011,,32
2.19361E+14,10000,F4D31-2,F4D3112,Contact eczema - eyelids,93423006,154630014,,32
5.45831E+14,20000,M2522,M252200,Vesicular hand eczema,402222007,1781389017,,32
6.22951E+14,100000,M119,M119.00,Discoid eczema,81418003,3302693013,,32
6.22961E+14,100000,M12z1-1,M12z111,Discoid eczema,81418003,3302693013,,32
6.33041E+14,20000,M252,M252.00,Vesicular eczema of hands and/or feet,402567004,1781685019,,32
8.57561E+14,70000,EMISNOFH8,,No FH: eczema,8.57561E+14,8.57561E+14,,7
8.84781E+14,20000,G831-99,G831.99,Varicose eczema - leg,275700003,8.84781E+14,,32
8.89121E+14,5000,M101-98,M101.98,Seborrhoeic dermat/eczema NOS,50563003,8.89121E+14,,32
8.89131E+14,20000,M101-99,M101.99,Seborrhoeic dermatitis/eczema,50563003,8.89131E+14,,32
8.89201E+14,10000,M12-99,M12..99,Contact dermatitis/eczema,6.66631E+14,8.89201E+14,,32
9.06691E+14,600,HNG0166,,[RFC] Varicose eczema,9.06691E+14,9.06691E+14,,12
9.39531E+14,500,HNGNQRF134,,[RFC] Varicose eczema,9.39531E+14,9.39531E+14,,12
1.01122E+15,100,ALLERGY13.5,,Adverse reaction to Psoriasis And Eczema,1.01122E+15,1.01122E+15,,5
3.07196E+15,50,^ESCTST307196,,Stasis eczema,35498005,59233019,,32
3.08125E+15,2,^ESCTEC308125,,"Eczema, thrombocytopenia, immunodeficiency syndrome",36070007,1228350017,,32
3.08441E+15,2,^ESCTEC308441,,Eczematous dermatitis of eyelid,36259009,60515015,,31
3.08442E+15,1,^ESCTEC308442,,Eczema of eyelid,36259009,60516019,,31
3.08443E+15,4,^ESCTEY308443,,Eyelid eczema,36259009,486411010,,31
3.14803E+15,4,^ESCTCO314803,,Contact eczema,40275004,1494721011,,32
3.20111E+15,20,^ESCTFA320111,,Facial eczema,43523005,72583011,,31
3.31873E+15,2,^ESCTSE331873,,Seborrheic eczema,50563003,84229017,,32
3.3806E+15,300,^ESCTAC338060,,Acute eczematoid otitis externa,54272002,90213019,,32
3.82395E+15,3000,^ESCTNU382395,,Nummular eczema,81418003,135068011,,32
4.06256E+15,1,^ESCTEC406256,,Eczema of ear lobe,95809000,158684016,,31
4.06259E+15,500,^ESCTEC406259,,Eczema of external auditory canal,95812002,158687011,,32
4.06261E+15,1000,^ESCTEC406261,,Eczematous otitis externa,95812002,512311012,,32
4.35481E+15,1,^ESCTVE435481,,Vesicular eczema,123698008,192187013,,31
4.51518E+15,60,^ESCTSE451518,,Seborrhoeic eczema of scalp,156329007,1783488015,,32
4.53087E+15,9,^ESCTFA453087,,Family history: Eczema,160407004,2667846010,,7
4.8074E+15,20,^ESCTVE480740,,Vesicular eczema of feet,201201000,309093016,,32
5.12203E+15,7,^ESCTFR512203,,Friction eczema,238472003,357418018,,31
5.12204E+15,1,^ESCTFR512204,,Friction palmar eczema,238473008,357419014,,31
5.12285E+15,200,^ESCTAT512285,,Atopic dermatitis of hands,238541000,357508013,,31
5.12286E+15,1,^ESCTAT512286,,Atopic eczema of hands,238541000,357507015,,31
5.12288E+15,3,^ESCTDI512288,,Discoid atopic dermatitis,238543002,357510010,,31
5.1229E+15,1,^ESCTDI512290,,Discoid pattern atopic eczema,238543002,2475905011,,31
5.12291E+15,10,^ESCTER512291,,Erythrodermic atopic dermatitis,238544008,357511014,,31
5.12302E+15,10,^ESCTCO512302,,Constitutional eczema of hands and feet,238549003,357522013,,31
5.12305E+15,9,^ESCTHY512305,,Hyperkeratotic eczema of hands and feet,238551004,357525010,,31
5.12306E+15,9,^ESCTHY512306,,Hyperkeratotic eczema of palms and soles,238551004,357526011,,31
5.12307E+15,2,^ESCTPS512307,,Psoriasiform palmoplantar eczema,238551004,357527019,,31
5.12308E+15,4,^ESCTDI512308,,Discoid eczema of hands and feet,238552006,357528012,,31
5.12309E+15,2,^ESCTCO512309,,Constitutional eczema of hands,238553001,357529016,,31
5.12312E+15,2,^ESCTHY512312,,Hyperkeratotic fissured hand eczema,238555008,357532018,,31
5.12313E+15,20,^ESCTHY512313,,Hyperkeratotic eczema of palms,238556009,357533011,,31
5.12314E+15,1,^ESCTPS512314,,Psoriasiform hand eczema,238556009,357534017,,31
5.12322E+15,10,^ESCTHY512322,,Hyperkeratotic eczema of soles,238562004,357542016,,31
5.12324E+15,60,^ESCTPS512324,,Psoriasiform eczema,238564003,357545019,,31
5.12354E+15,1,^ESCTLI512354,,Lip licking eczema,238583005,357580015,,31
5.12372E+15,2,^ESCTPA512372,,Papular eczema with elimination of papillary oedema,238593003,357600010,,31
5.12373E+15,3,^ESCTPA512373,,Papular eczema,238593003,357597014,,31
5.12379E+15,300,^ESCTDE512379,,Desiccation eczema,238594009,357605017,,32
5.12388E+15,30,^ESCTPS512388,,Psoriasis-eczema overlap condition,238602009,357615011,,31
5.12389E+15,10,^ESCTEC512389,,Eczematised psoriasis,238603004,357616012,,31
5.1239E+15,1,^ESCTEC512390,,Eczematized psoriasis,238603004,357617015,,31
5.12883E+15,6,^ESCTEC512883,,Eczematous drug eruption,238990009,358160011,,5
5.12885E+15,90,^ESCTSE512885,,Seborrhoeic eczema-like eruption,238991008,358161010,,31
5.57554E+15,10,^ESCTVA557554,,Varicose eczema leg,275700003,411636017,,32
6.02906E+15,20,^ESCTVA602906,,Varicose veins of leg in long saphenous vein distribution with eczema,313346003,457237012,,31
6.02907E+15,2,^ESCTVA602907,,Varicose veins of leg in short saphenous vein distribution with eczema,313347007,457238019,,31
6.28946E+15,700,^ESCTVE628946,,Venous eczema,366362000,489883012,,32
6.6339E+15,1,^ESCTSE663390,,Senile asteatotic eczema,400051008,1779321011,,31
6.63425E+15,10,^ESCTIN663425,,Infective eczema,400079002,2536664015,,32
6.6613E+15,3,^ESCTAT666130,,Atopic dermatitis of scalp,402191000,1781367016,,31
6.66131E+15,1,^ESCTAT666131,,Atopic eczema of scalp,402191000,1787498010,,31
6.6618E+15,1,^ESCTPE666180,,Perianal seborrheic eczema,402209004,1784146014,,31
6.66192E+15,1,^ESCTIN666192,,Infected discoid eczema,402215004,1781382014,,31
6.66232E+15,2,^ESCTCH666232,,Chronic hand eczema,402233005,1781400015,,31
6.66238E+15,20,^ESCTVU666238,,Vulval eczema,402236002,1781403018,,31
6.66718E+15,5,^ESCTHA666718,,Hand and/or foot eczema,402566008,1781684015,,31
6.66722E+15,90,^ESCTPO666722,,Pompholyx eczema,402567004,2536678019,,32
