searchterms,exclusionterms,searched_in_column,searchmethod
eczema,fh,Term,"termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
atopic dermatitis,family history,,
besnier's prurigo,Contact,,
Allergic dermatitis,Dyshidrotic,,
,Neurodermatitis,,
,Nummular,,
,Seborrheic,,
,Stasis,,
,Asteatotic,,
,Discoid,,
,Ear,,
,otitis,,
,auditory canal,,
,eyes,,
,eyelid,,
,Facial,,
,Female genital,,
,Vulval,,
,Hand,,
,Male genital,,
,Pompholyx,,
,dyshidrotic,,
,Scalp,,
,Seborrhoeic,,
,cradle cap,,
,Varicose,,
,gravitational,,
,pustular,,
,Erythrodermic,,
,Infectious,,
,psoriasis,,
,Psoriasiform,,
,immunodeficiency,,
,vesicular,,
,friction,,
,Hyperkeratotic,,
,venous eczema,,
,Lip licking,,
,Desiccation,,
,Papular,,
,drug eruption,,
,Infective,,
,craquele,,
