MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
83834016,50000,J610,J610.00,Alcoholic fatty liver,50325005,83834016,,32
303457015,300000,J61y1,J61y100,Non-alcoholic fatty liver,197315008,303457015,,32
303463012,80000,J61y7,J61y700,Steatosis of liver,197321007,303463012,,32
2819666013,10000,J61y8,J61y800,Nonalcoholic steatohepatitis,442685003,2819666013,,32
851341000006110,400,EMISR4QFA1,,Fatty liver,851341000006106,851341000006110,,32
1786201000006119,50000,J61y9,J61y900,Fatty change of liver,197321007,303463012,,32
1786211000006116,200000,J61y9-1,J61y911,Fatty liver,197321007,2819770010,,32
1879891000006111,20000,EMISNQNO107,,Non-alcoholic fatty liver disease (NAFLD) fibrosis score,1879891000006107,1879891000006111,,3
3315041000006111,300,^ESCTAL331504,,Alcoholic steatosis,50325005,2306821000000116,,32
3315061000006110,8,^ESCTAL331506,,Alcoholic fatty liver disease,50325005,3027285017,,32
4787291000006118,90,^ESCTNA478729,,NAFLD - Nonalcoholic fatty liver disease,197315008,2820175018,,32
7266931000006113,20,^ESCTNA726693,,NASH - Nonalcoholic steatohepatitis,442685003,2819665012,,32
7746321000006113,1,^ESCTAC774632,,Acute fatty liver of pregnancy,716379000,3305738016,,31
7837271000006119,10,^ESCTNO783727,,Non-alcoholic fatty liver disease without non-alcoholic steatohepatitis,722866000,3333798016,,31
8454891000006113,7,^ESCTNA845489,,NAFLD (Non-Alcoholic Fatty Liver Disease) fibrosis score,1079441000000107,2705881000000111,,31
8454911000006110,200,^ESCTNA845491,,NAFLD (Non-Alcoholic Fatty Liver Disease) fibrosis score,1079461000000108,2705921000000117,,31
