MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
152309013,7000,SN589,SN58900,Allergy to strawberries,91938006,152309013,,15
251847010,80000,14M1,14M1.00,H/O: food allergy,414285001,2534292019,,15
324777010,2000,SN581,SN58100,Egg protein allergy,213020009,324777010,,15
442109011,20000,SN587,SN58700,Shellfish allergy,300913006,442109011,,15
1235714019,200000,SN583,SN58300,Nut allergy,91934008,1235714019,,15
1235716017,10000,SN586,SN58600,Seafood allergy,91937001,1235716017,,15
2534292019,200000,SN58,SN58.00,Food allergy,414285001,2534292019,,15
2578554018,200,ESCTAL5,,Allergy to tomato,418779002,1954031000006112,,15
3636947018,3,^ESCT1169359,,History of food allergy,762616007,3636947018,,31
200131000006110,300,8CA4E,8CA4E00,Pt advised re egg free diet,183069001,282995014,,32
217501000000118,4000,13A7,13A7.00,Egg-free diet,302322006,443931013,,15
217511000000116,800,13A7-1,13A7.11,Egg free diet,302322006,443931013,,15
236761000006114,100000,SN582,SN58200,Allergy to peanuts,91935009,152306018,,15
598341000000116,400,8CA4S-1,8CA4S11,Dietary advice for food allergy,325201000000105,598341000000116,,32
632511000000112,20000,SN584,SN58400,Wheat allergy,420174000,632511000000112,,15
636121000000113,300,8CA4S,8CA4S00,Dietary education for food allergy,325201000000105,636121000000113,,32
637141000006110,100000,SN580,SN58000,Allergy to eggs,91930004,152299016,,15
918411000006112,10,PC0659,,Pt advised re egg free diet,918411000006108,918411000006112,,42
982521000006117,1000,EMISCFO4,,Food allergy,982521000006101,982521000006117,,15
1130991000000112,20000,SN585,SN58500,Fish allergy,417532002,1130991000000112,,15
1739911000000117,3000,SN588,SN58800,Allergy to dietary mushroom,447961002,2899490014,,15
1968751000006118,2000,SN58C,SN58C00,Allergy to tomato,418779002,2578554018,,15
2168381000000118,2000,SN589-1,SN58911,Strawberry allergy,91938006,2168381000000118,,15
2232581000000116,6000,SN58A,SN58A00,Allergy to soya,714035009,3298078015,,15
2366441000000110,5000,SN58B,SN58B00,Allergy to banana,714332003,3299729014,,15
2505211000006111,80,^ESCTFO250521,,Food allergy diet,409002,1769012,,15
3994251000006111,1000,^ESCTAL399425,,Allergy to nut,91934008,3286105013,,15
3994301000006116,80,^ESCTAL399430,,Allergy to seafood,91937001,152308017,,15
4719941000006114,5,^ESCTEG471994,,Egg-free diet patient education,183069001,2575695013,,32
6908271000006118,100,^ESCTAL690827,,Allergy to fish,417532002,2548582018,,15
6949461000006112,70,^ESCTAL694946,,Allergy to wheat,420174000,2578557013,,15
7167791000006111,300,^ESCTPO716779,,Pollen-food allergy,432807008,2772067015,,15
7713131000006110,4,^ESCTAL771313,,Allergy to soy,714035009,3311632010,,15
13620631000006118,200,^ESCT1362063,,Allergy to soy protein,782594005,3754686014,,15
13781791000006117,200,^ESCT1378179,,Allergy to edible egg,91930004,3743556014,,15
13781801000006116,400,^ESCT1378180,,Allergy to peanut,91935009,3743500010,,15
13781811000006118,50,^ESCT1378181,,Allergy to strawberry,91938006,3743522015,,15
13790861000006114,5000,^ESCT1379086,,Allergy to egg protein,213020009,3750446015,,15
13809531000006111,50,^ESCT1380953,,Allergy to shellfish,300913006,3750297014,,15
13831021000006113,400,^ESCT1383102,,Allergy to food,414285001,3750923014,,15
