MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
574014,20000,S226,S226.00,Fracture of upper end of humerus,127286005,574014,,32
6555013,5000,S1202,S120200,Closed fracture of two ribs,3291007,6555013,,32
6700013,5,S3531-1,S353111,Open fracture of astragalus,3381004,6700013,,32
6701012,200,S3531,S353100,Open fracture of talus,3381004,6701012,,32
10843018,600000,S30,S30..00,Fracture of neck of femur,5913000,10843018,,32
12536011,40000,S337,S337.00,Fracture of shaft of tibia,6990005,12536011,,32
13705013,2000,S10B3,S10B300,Fracture of ilium,7687006,13705013,,32
16926014,30000,S21,S21..00,Fracture of scapula,9682006,16926014,,32
18370015,5,S1218,S121800,Open fracture of eight OR more ribs,10568008,18370015,,32
27272011,700000,S34,S34..00,Fracture of ankle,16114001,27272011,,32
29800015,300,S1205,S120500,Closed fracture of five ribs,17633000,29800015,,32
33686012,2000,7J03,7J03.00,Reduction of fracture of facial bone,20013001,33686012,,32
33856019,100,S1207,S120700,Closed fracture of seven ribs,20121009,33856019,,32
34376013,10000,S336,S336.00,Fracture of upper end of tibia,20433007,34376013,,32
36405012,3000,ESCTOP7,,Open fracture of phalanx of finger,21698002,36405012,,32
36906016,10,S1213,S121300,Open fracture of three ribs,22000002,36906016,,32
39246018,50000,S3z2,S3z2.00,Stress fracture,23382007,39246018,,32
39287017,100000,S2,S2...00,Fracture of upper limb,23406007,39287017,,32
40139014,1000,72061,7206100,Open reduction of fracture of orbit,23897002,40139014,,32
40395011,7000,S01,S01..00,Skull base fracture,24063002,481804018,,32
40965012,2000,ESCTCL7,,Closed fracture of phalanx of finger,24424003,1955641000006114,,32
41818011,700,S351,S351.00,Open fracture of calcaneus,24948002,41818011,,32
45939011,10000,S02,S02..00,Fracture of facial bone,27477003,1225363010,,32
46755018,2000,7K1T1,7K1T100,Debridement of open fracture,27930000,46755018,,32
48573010,100,S241,S241.00,Open fracture of carpal bone,29014003,48573010,,32
48625014,4000,S2303,S230300,Closed Monteggia's fracture,29045004,48625014,,32
49786013,5000,S210,S210.00,Closed fracture of scapula,29749002,49786013,,32
53428014,100000,S33A,S33A.00,Fracture of tibia,31978002,53428014,,32
55358019,90000,S200,S200.00,Closed fracture of clavicle,33173003,55358019,,32
56330019,100000,S127,S127.00,Fracture of rib,33737001,56330019,,32
57701019,600,S2313,S231300,Open Monteggia's fracture,34578006,57701019,,32
60285012,20000,S10B5,S10B500,Fracture of pubis,36127009,60285012,,32
62415013,2000,S27,S27..00,Multiple fractures of hand bones,37418005,62415013,,32
62810012,50,SC00,SC00.00,Late effect of fracture of skull and face bones,37655003,62810012,,32
65958012,600,S1204,S120400,Closed fracture of four ribs,39335003,65958012,,32
66948017,7000,7K1LF,7K1LF00,Closed reduction of fracture of humerus,39706009,66948017,,32
73439011,8,S1215,S121500,Open fracture of five ribs,44039000,73439011,,32
74959012,20,S1211,S121100,Open fracture of one rib,44932007,74959012,,32
75611015,5000,S1201,S120100,Closed fracture of one rib,45356009,75611015,,32
78112010,60000,S3,S3...00,Fracture of bone of lower limb,46866001,1230400018,,32
79031011,40,S1212,S121200,Open fracture of two ribs,47402002,79031011,,32
79758010,50,S211,S211.00,Open fracture of scapula,47864008,79758010,,32
80749019,5000,S00,S00..00,Fracture of vault of skull,48466003,80749019,,32
81242018,100,S1251,S125100,Closed fracture of hyoid bone,48752009,81242018,,32
84797011,8000,S227,S227.00,Fracture of shaft of humerus,50890004,84797011,,32
85039010,100000,S32,S32..00,Fracture of patella,51037009,85039010,,32
86706011,9000,N3380,N338000,Malunion of fracture,425852005,2673459011,,32
90489010,20000,S314,S314.00,Fracture of shaft of femur,54441004,90489010,,32
96628016,600000,S20,S20..00,Fracture of clavicle,58150001,96628016,,32
96634011,8,S1214,S121400,Open fracture of four ribs,58154005,96634011,,32
107139013,20000,S10B4,S10B400,Fracture of acetabulum,64455005,107139013,,32
107463010,40000,S350,S350.00,Closed fracture of calcaneus,64665009,107463010,,32
110116013,500000,S22,S22..00,Fracture of humerus,66308002,110116013,,32
114663015,3,S1217,S121700,Open fracture of seven ribs,69029002,114663015,,32
114777011,20,S1253,S125300,Closed fracture of trachea,69102005,114777011,,32
118266012,100,S133,S133.00,Open fracture of pubis,71220005,118266012,,32
119023019,100000,S0,S0...00,Fracture of skull,71642004,119023019,,32
123686019,500,SC20,SC20.00,Late effect of intracranial injury without skull fracture,74472004,123686019,,32
125993015,400000,S23,S23..00,Fracture of radius AND ulna,75857000,125993015,,32
128724013,7,S1216,S121600,Open fracture of six ribs,77546004,128724013,,32
130281012,10000,S128,S128.00,Fracture of sternum,78516000,130281012,,32
131972016,2000,S1203,S120300,Closed fracture of three ribs,79546008,131972016,,32
132103012,200,S3521-1,S352111,Closed fracture of astragalus,79626009,132103012,,32
132104018,10000,S3521,S352100,Closed fracture of talus,79626009,132104018,,32
133435011,4000,S2351,S235100,Open Colles' fracture,80411001,133435011,,32
136121013,10000,S24,S24..00,Fracture of carpal bone,82065001,136121013,,32
142673013,8000,82-1,82...11,Closed reduction of fracture,86052008,142673013,,32
147293015,100,S1252,S125200,Closed fracture of thyroid cartilage,88835002,147293015,,32
148612017,100,S1206,S120600,Closed fracture of six ribs,89636007,148612017,,32
150580019,90,S1208,S120800,Closed fracture of eight OR more ribs,90863004,150580019,,32
151267013,30,ESCTOP6,,Open fracture of forearm,91296001,1955701000006117,,32
151450016,300,ESCTCL6,,Closed fracture of forearm,91419009,1955631000006116,,32
178856011,40,ESCTOP5,,Open fracture of facial bones,111609001,1955691000006117,,32
178862018,2,S1263,S126300,Open fracture of trachea,111636004,178862018,,32
178863011,700,S201,S201.00,Open fracture of clavicle,111637008,178863011,,32
183865012,4000,7K1L5,7K1L500,Closed reduction of fracture of femur,112777008,183865012,,32
194542018,9000,S10B1,S10B100,Fracture of sacrum,125872003,194542018,,32
194543011,20000,S10B2,S10B200,Fracture of coccyx,125871005,194543011,,32
216206018,50000,N331M,N331M00,Pathological fracture due to osteoporosis,443165006,2837900019,,32
216227011,5000,B5850,B585000,Pathological fracture due to metastatic bone disease,134421000,216227011,,32
216665012,400,Zw01,Zw01.00,[Q] Fractures involving the epiphyseal plate,135895003,216665012,,32
266612019,200,72062,7206200,Removal of fixation from fracture of orbit,172180003,266612019,,32
266614018,4000,72064,7206400,Open reduction of fracture of orbit and internal fixation,172182006,266614018,,32
266618015,50,72067,7206700,Packing of maxilla to correct blow-out fracture of orbit,172185008,266618015,,32
276092017,100,7J023,7J02300,Repair of fracture of cranium NEC,239278008,358592018,,32
276102014,100,7J030,7J03000,Reduction of fracture of nasoethmoid complex of bones,178395000,276102014,,32
276103016,20000,7J031,7J03100,Reduction of fractured nasal bone,302472007,2642653017,,32
276106012,300,7J033,7J03300,Reduction of closed fracture of orbit bone,178398003,276106012,,32
276107015,60,7J03y,7J03y00,Other specified reduction of fracture of facial bone,20013001,33686012,,32
276108013,200,7J03z,7J03z00,Reduction of fracture of facial bone NOS,20013001,33686012,,32
276158018,60,7J120,7J12000,Reduction of fracture of alveolus of mandible,178436001,276158018,,32
276159014,5000,7J121,7J12100,Open reduction of mandibular fracture,307289006,450515018,,32
276160016,800,7J122,7J12200,Closed reduction of mandibular fracture,24832002,41612014,,32
276161017,100,7J12y,7J12y00,Other specified reduction of fracture of mandible,265705007,394569015,,32
276162012,300,7J12z,7J12z00,Reduction of fracture of mandible NOS,265705007,394569015,,32
276163019,600,7J13,7J13.00,Reduction of fracture of maxilla,178441009,276163019,,32
276164013,60,7J130,7J13000,Reduction of fracture of alveolus of maxilla,178442002,276164013,,32
276165014,200,7J131,7J13100,Open reduction of fracture of maxilla NEC,307285000,450511010,,32
276166010,300,7J132,7J13200,Closed reduction of fracture of maxilla NEC,307288003,450514019,,32
276168011,400,7J134,7J13400,Reduction of Le Fort 1 fracture of maxilla,178446004,276168011,,32
276173017,200,7J135,7J13500,Reduction of Le Fort 2 fracture of maxilla,178447008,276173017,,32
276174011,70,7J136,7J13600,Reduction of Le Fort 3 fracture of maxilla,178448003,276174011,,32
276177016,20,7J13y,7J13y00,Other specified reduction of fracture of maxilla,178441009,276163019,,32
276178014,40,7J13z,7J13z00,Reduction of fracture of maxilla NOS,178441009,276163019,,32
276240016,200,7J177,7J17700,Traction for fracture of jaw,178496003,276240016,,32
276467013,2000,7J41,7J41.00,Decompression of fracture of spine,178674000,276467013,,32
276468015,70,7J410,7J41000,Complex decompression of fracture of spine,178675004,276468015,,32
276469011,200,7J411,7J41100,Anterior decompression of fracture of spine,178676003,276469011,,32
276470012,70,7J412,7J41200,Posterior decompression of fracture of spine,178677007,276470012,,32
276471011,100,7J41y,7J41y00,Other specified decompression of fracture of spine,178674000,276467013,,32
276474015,200,7J41z,7J41z00,Decompression of fracture of spine NOS,178674000,276467013,,32
276481010,100,7J421,7J42100,Open reduction of fracture of spine NEC,19688005,33145016,,32
276483013,70,7J423,7J42300,Spinal extension traction for fracture of spine,178685003,276483013,,32
276484019,500,7J424,7J42400,Halo skull traction for fracture of spine,178686002,276484019,,32
276485018,80,7J425,7J42500,Spinal traction for fracture of spine NEC,239550006,358969013,,32
276487014,10,7J426,7J42600,Primary bedrest stabilisation of spinal fracture,178688001,276487014,,32
276488016,40,7J427,7J42700,Primary collar stabilisation of cervical spine fracture,178689009,2668738016,,32
276491016,7,7J428,7J42800,Primary skull traction stabilisation of spinal fracture,178690000,276491016,,32
276492011,20,7J429,7J42900,Primary cast stabilisation of spinal fracture,178691001,276492011,,32
276495013,60,7J42A,7J42A00,Primary external fixation stabilisation of spinal fracture,178692008,276495013,,32
276496014,40,7J42B,7J42B00,Primary other external stabilisation of spinal fracture,239548003,358967010,,32
276498010,1,7J42C,7J42C00,Revision to bedrest stabilisation of spinal fracture,178694009,276498010,,32
276501010,8,7J42D,7J42D00,Revision to collar stabilisation of cervical spine fracture,178695005,2668725012,,32
276502015,3,7J42E,7J42E00,Revision to skull traction stabilisation of spinal fracture,178696006,276502015,,32
276505018,2,7J42F,7J42F00,Revision to cast stabilisation of spinal fracture,178697002,276505018,,32
276508016,2,7J42H,7J42H00,Revision to other external stabilisation of spinal fracture,239548003,358967010,,32
276510019,20,7J42J,7J42J00,Primary closed reduction spinal fracture alone,311488002,455069010,,32
276522016,1,7J42R,7J42R00,Revision to closed reduction spinal fracture alone,311489005,455070011,,32
276534012,8,7J42Y,7J42Y00,Primary open reduction spinal fracture alone,311490001,455071010,,32
276543015,10,7J42d,7J42d00,Primary open reduction spinal fracture and external fixation,178719008,276543015,,32
276546011,3,7J42f,7J42f00,Revision to open reduction spinal fracture alone,311491002,455072015,,32
276559015,30,7J42y,7J42y00,Other specified other reduction of fracture of spine,239548003,358967010,,32
276560013,70,7J42z,7J42z00,Other reduction of fracture of spine NOS,239548003,358967010,,32
276566019,400,7J431,7J43100,Fixation of fracture of spine using Harrington rod,178734002,276566019,,32
276582018,200,7J43y,7J43y00,Other specified fixation of fracture of spine,265721002,394587017,,32
276583011,500,7J43z,7J43z00,Fixation of fracture of spine NOS,265721002,394587017,,32
276852015,600,7K14,7K14.00,Open surgical fracture of bone,178926002,276852015,,32
276863017,20,7K14y,7K14y00,Other specified open surgical fracture of bone,178926002,276851010,,32
276864011,60,7K14z,7K14z00,Open surgical fracture of bone NOS,178926002,276851010,,32
276865012,2000,7K15,7K15.00,Other surgical fracture of bone,7108004,12725019,,32
276867016,70,7K15y,7K15y00,Other specified other surgical fracture of bone,7108004,12725019,,32
276868014,100,7K15z,7K15z00,Other surgical fracture of bone NOS,7108004,12725019,,32
277053017,10000,7K1G,7K1G.00,Open reduction of fracture,86480004,143414012,,32
277054011,40,7K1G0,7K1G000,Primary open reduction of fracture and skeletal traction,179049006,2668720019,,32
277057016,800,7K1G3,7K1G300,Primary open reduction of fracture alone,86480004,143414012,,32
277059018,60,7K1G4,7K1G400,Primary open reduction of fracture and cast immobilisation,179053008,277059018,,32
277060011,20,7K1G5,7K1G500,Primary open reduction of fracture and functional bracing,179054002,277060011,,32
277061010,10,7K1G6,7K1G600,Primary open reduction of fracture and skin traction,179055001,277061010,,32
277068016,10000,7K1Gz,7K1Gz00,Primary open reduction of fracture dislocation,301053001,442283018,,32
277069012,700,7K1H,7K1H.00,Secondary open reduction of fracture of bone,179058004,277069012,,32
277070013,500,7K1H-1,7K1H.11,Revision to open reduction of fracture of bone,179058004,277070013,,32
277081011,100,7K1H9,7K1H900,Revision to open reduction of fracture alone,86480004,143414012,,32
277085019,1,7K1HC,7K1HC00,Revision to open reduction of fracture and skin traction,179071001,277085019,,32
277088017,3,7K1HD,7K1HD00,Revision to open reduction of fracture and skeletal traction,179073003,277088017,,32
277089013,100,7K1HE,7K1HE00,Revision to open reduction of fracture and external fixation,179074009,277089013,,32
