MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
276467013,2000,7J41,7J41.00,Decompression of fracture of spine,178674000,276467013,,32
276468015,70,7J410,7J41000,Complex decompression of fracture of spine,178675004,276468015,,32
276469011,200,7J411,7J41100,Anterior decompression of fracture of spine,178676003,276469011,,32
276470012,70,7J412,7J41200,Posterior decompression of fracture of spine,178677007,276470012,,32
276471011,100,7J41y,7J41y00,Other specified decompression of fracture of spine,178674000,276467013,,32
276474015,200,7J41z,7J41z00,Decompression of fracture of spine NOS,178674000,276467013,,32
276481010,100,7J421,7J42100,Open reduction of fracture of spine NEC,19688005,33145016,,32
276483013,70,7J423,7J42300,Spinal extension traction for fracture of spine,178685003,276483013,,32
276484019,500,7J424,7J42400,Halo skull traction for fracture of spine,178686002,276484019,,32
276485018,80,7J425,7J42500,Spinal traction for fracture of spine NEC,239550006,358969013,,32
276487014,10,7J426,7J42600,Primary bedrest stabilisation of spinal fracture,178688001,276487014,,32
276488016,40,7J427,7J42700,Primary collar stabilisation of cervical spine fracture,178689009,2668738016,,32
276491016,7,7J428,7J42800,Primary skull traction stabilisation of spinal fracture,178690000,276491016,,32
276492011,20,7J429,7J42900,Primary cast stabilisation of spinal fracture,178691001,276492011,,32
276495013,60,7J42A,7J42A00,Primary external fixation stabilisation of spinal fracture,178692008,276495013,,32
276496014,40,7J42B,7J42B00,Primary other external stabilisation of spinal fracture,239548003,358967010,,32
276498010,1,7J42C,7J42C00,Revision to bedrest stabilisation of spinal fracture,178694009,276498010,,32
276501010,8,7J42D,7J42D00,Revision to collar stabilisation of cervical spine fracture,178695005,2668725012,,32
276502015,3,7J42E,7J42E00,Revision to skull traction stabilisation of spinal fracture,178696006,276502015,,32
276505018,2,7J42F,7J42F00,Revision to cast stabilisation of spinal fracture,178697002,276505018,,32
276508016,2,7J42H,7J42H00,Revision to other external stabilisation of spinal fracture,239548003,358967010,,32
276510019,20,7J42J,7J42J00,Primary closed reduction spinal fracture alone,311488002,455069010,,32
276522016,1,7J42R,7J42R00,Revision to closed reduction spinal fracture alone,311489005,455070011,,32
276534012,8,7J42Y,7J42Y00,Primary open reduction spinal fracture alone,311490001,455071010,,32
276543015,10,7J42d,7J42d00,Primary open reduction spinal fracture and external fixation,178719008,276543015,,32
276546011,3,7J42f,7J42f00,Revision to open reduction spinal fracture alone,311491002,455072015,,32
276559015,30,7J42y,7J42y00,Other specified other reduction of fracture of spine,239548003,358967010,,32
276560013,70,7J42z,7J42z00,Other reduction of fracture of spine NOS,239548003,358967010,,32
276566019,400,7J431,7J43100,Fixation of fracture of spine using Harrington rod,178734002,276566019,,32
276582018,200,7J43y,7J43y00,Other specified fixation of fracture of spine,265721002,394587017,,32
276583011,500,7J43z,7J43z00,Fixation of fracture of spine NOS,265721002,394587017,,32
311305016,2000,N1y1,N1y1.00,Fatigue fracture of vertebra,202831001,311305016,,32
312617013,2000,Nyu67,Nyu6700,Fracture of vertebral column,50448004,84047017,,32
318353013,1000,S1000,S100000,Closed fracture of unspecified cervical vertebra,269062008,402833017,,32
318375010,60,S1008,S100800,"Closed fracture atlas, isolated arch or articular process",207895002,318375010,,32
318376011,80,S1009,S100900,"Closed fracture atlas, comminuted",207896001,318376011,,32
318377019,5000,S100A,S100A00,"Closed fracture axis, odontoid process",207897005,318377019,,32
318378012,3,S100B,S100B00,"Closed fracture axis, spondylolysis",207898000,318378012,,32
318379016,200,S100C,S100C00,"Closed fracture axis, spinous process",207899008,318379016,,32
318380018,200,S100D,S100D00,"Closed fracture axis, transverse process",207900003,318380018,,32
318381019,20,S100E,S100E00,"Closed fracture axis, posterior arch",207901004,318381019,,32
318382014,10,S100F,S100F00,"Closed fracture axis, tricolumnar",207902006,318382014,,32
318383016,400,S100G,S100G00,"Closed fracture cervical vertebra, burst",207903001,318383016,,32
318384010,800,S100H,S100H00,"Closed fracture cervical vertebra, wedge",207904007,318384010,,32
318385011,30,S100J,S100J00,"Closed fracture cervical vertebra, spondylolysis",207905008,318385011,,32
318386012,1000,S100K,S100K00,"Closed fracture cervical vertebra, spinous process",207906009,318386012,,32
318387015,500,S100L,S100L00,"Closed fracture cervical vertebra, transverse process",207907000,318387015,,32
318388013,90,S100M,S100M00,"Closed fracture cervical vertebra, posterior arch",207908005,318388013,,32
318389017,3,S100N,S100N00,"Closed fracture cervical vertebra, tricolumnar",207909002,318389017,,32
318390014,500,S100x,S100x00,Multiple closed fractures of cervical vertebrae,207910007,318390014,,32
318391013,1000,S100z,S100z00,Closed fracture of cervical spine not otherwise specified,269062008,402833017,,32
318396015,30,S1010,S101000,Open fracture of unspecified cervical vertebra,269070003,402841017,,32
318419013,10,S1019,S101900,"Open fracture atlas, comminuted",207922005,318419013,,32
318420019,50,S101A,S101A00,"Open fracture axis, odontoid process",207923000,318420019,,32
318422010,9,S101C,S101C00,"Open fracture axis, spinous process",207925007,318422010,,32
318423017,9,S101D,S101D00,"Open fracture axis, transverse process",207926008,318423017,,32
318426013,5,S101G,S101G00,"Open fracture cervical vertebra, burst",207929001,318426013,,32
318427016,20,S101H,S101H00,"Open fracture cervical vertebra, wedge",207930006,318427016,,32
318428014,1,S101J,S101J00,"Open fracture cervical vertebra, spondylolysis",207931005,318428014,,32
318429018,20,S101K,S101K00,"Open fracture cervical vertebra, spinous process",207932003,318429018,,32
318430011,2,S101L,S101L00,"Open fracture cervical vertebra, transverse process",207933008,318430011,,32
318433013,30,S101x,S101x00,Multiple open fractures of cervical vertebrae,207936000,318433013,,32
318434019,30,S101z,S101z00,Open fracture of cervical spine not otherwise specified,269070003,402841017,,32
318435018,20000,S102,S102.00,Closed fracture thoracic vertebra,207938004,318435018,,32
318436017,800,S1020,S102000,"Closed fracture thoracic vertebra, burst",207939007,318436017,,32
318437014,40000,S1021,S102100,"Closed fracture thoracic vertebra, wedge",207940009,318437014,,32
318438016,40,S1022,S102200,"Closed fracture thoracic vertebra, spondylolysis",207941008,318438016,,32
318439012,500,S1023,S102300,"Closed fracture thoracic vertebra, spinous process",207942001,318439012,,32
318440014,500,S1024,S102400,"Closed fracture thoracic vertebra, transverse process",207943006,318440014,,32
318441013,3,S1025,S102500,"Closed fracture thoracic vertebra, posterior arch",207944000,318441013,,32
318442018,6,S1026,S102600,"Closed fracture thoracic vertebra, tricolumnar",207945004,318442018,,32
318443011,300,S102y,S102y00,Other specified closed fracture thoracic vertebra,207938004,318435018,,32
318445016,1000,S102z,S102z00,Closed fracture thoracic vertebra not otherwise specified,207938004,318435018,,32
318446015,100,S103,S103.00,Open fracture thoracic vertebra,207949005,318446015,,32
318447012,30,S1030,S103000,"Open fracture thoracic vertebra, burst",207950005,318447012,,32
318448019,200,S1031,S103100,"Open fracture thoracic vertebra, wedge",207951009,318448019,,32
318449010,4,S1032,S103200,"Open fracture thoracic vertebra, spondylolysis",207952002,318449010,,32
318450010,6,S1033,S103300,"Open fracture thoracic vertebra, spinous process",207953007,318450010,,32
318451014,7,S1034,S103400,"Open fracture thoracic vertebra, transverse process",207954001,318451014,,32
318454018,40000,S104,S104.00,Closed fracture lumbar vertebra,207957008,318454018,,32
318455017,2000,S1040,S104000,"Closed fracture lumbar vertebra, burst",207958003,318455017,,32
318456016,40000,S1041,S104100,"Closed fracture lumbar vertebra, wedge",207959006,318456016,,32
318457013,100,S1042,S104200,"Closed fracture lumbar vertebra, spondylolysis",207960001,318457013,,32
318458015,400,S1043,S104300,"Closed fracture lumbar vertebra, spinous process",207961002,318458015,,32
318459011,4000,S1044,S104400,"Closed fracture lumbar vertebra, transverse process",207962009,318459011,,32
318460018,20,S1045,S104500,"Closed fracture lumbar vertebra, posterior arch",207963004,318460018,,32
318461019,10,S1046,S104600,"Closed fracture lumbar vertebra, tricolumnar",207964005,318461019,,32
318462014,200,S105,S105.00,Open fracture lumbar vertebra,207965006,318462014,,32
318463016,100,S1050,S105000,"Open fracture lumbar vertebra, burst",207966007,318463016,,32
318464010,200,S1051,S105100,"Open fracture lumbar vertebra, wedge",207967003,318464010,,32
318465011,4,S1052,S105200,"Open fracture lumbar vertebra, spondylolysis",207968008,318465011,,32
318466012,8,S1053,S105300,"Open fracture lumbar vertebra, spinous process",207969000,318466012,,32
318467015,60,S1054,S105400,"Open fracture lumbar vertebra, transverse process",207970004,318467015,,32
318482013,1000,S10A0,S10A000,Fracture of first cervical vertebra,207983003,318482013,,32
