MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
4151013,300,J1540,J154000,Allergic gastritis,1824008,4151013,,32
4525015,30000,J153,J153.00,Alcoholic gastritis,2043009,4525015,,32
15005019,70000,J151,J151.00,Chronic gastritis,8493009,15005019,,32
42686017,400000,J150,J150.00,Acute gastritis,25458004,42686017,,32
70968018,20000,J1542,J154200,Irritant gastritis,42541005,70968018,,32
119655018,300000,J157,J157.00,Duodenitis,72007001,119655018,,32
123494017,1000,J4310,J431000,Toxic gastritis,74361008,123494017,,32
302616010,400000,J15,J15..00,Gastritis and duodenitis,196731005,302616010,,32
302619015,20000,J1510,J151000,Chronic atrophic gastritis,84568007,140221013,,32
302621013,3000,J1512,J151200,Chronic superficial gastritis,196735001,302621013,,32
302623011,10000,J151z,J151z00,Chronic gastritis NOS,8493009,15005019,,32
302624017,20000,J154,J154.00,Other specified gastritis,4556007,7841019,,32
302630017,1000,J1543,J154300,Corrosive gastritis,196740009,302630017,,32
302632013,7000,J154z,J154z00,Other specified gastritis NOS,4556007,7841019,,32
302633015,1000000,J155,J155.00,Gastritis,4556007,7841019,,32
302634014,10000,J156,J156.00,Gastroduodenitis,196731005,2532163012,,32
302635010,40000,J15z,J15z.00,Gastritis and duodenitis NOS,196731005,302616010,,32
303004012,100,J4300,J430000,Radiation gastritis,197012004,303004012,,32
303032015,6000,J4330,J433000,Dietetic gastritis,197028009,303032015,,32
303048019,50000,J4z0,J4z0.00,Non-infective gastritis NOS,4556007,7841019,,32
303749019,8000,Jyu12,Jyu1200,[X]Other acute gastritis,25458004,42686017,,32
303750019,100000,Jyu13,Jyu1300,[X]Other gastritis,4556007,7841019,,32
478553011,6000,J1500,J150000,Acute haemorrhagic gastritis,2367005,481682019,,32
1227775018,400,ZV653-6,ZV65316,[V]Dietary counselling in gastritis,424753004,2645393015,,32
222841000000112,50000,J1544,J154400,Helicobacter gastritis,89538001,148452011,,32
511831000006115,5000,J1541,J154100,Alkaline reflux gastritis,72950008,502298012,,32
554831000006112,4000,J1511,J151100,Chronic inflammatory gastritis,8493009,15005019,,32
819571000006118,80000,A0743-3,A074313,Helicobacter-associated gastritis,89538001,148452011,,32
886021000006118,2000,J1510-99,J151099,Chronic (atrophic) gastritis,196733008,886021000006118,,32
886031000006115,10000,J15z-99,J15z.99,Gastritis/duodenitis NOS,607781000000104,886031000006115,,32
990741000006116,40,J15-99,J15..99,Gastritis/duodenitis NOS,196731005,990741000006116,,32
2744961000006111,2,^ESCTAT274496,,Atrophic nonerosive nonspecific gastritis,15445004,26186014,,31
3067531000006117,2,^ESCTSU306753,,Superficial nonerosive nonspecific gastritis,35223008,58777019,,31
3189101000006119,1,^ESCTAT318910,,Atrophic fundic gland gastritis,42740008,71317015,,31
3324121000006113,100,^ESCTNO332412,,Nonerosive nonspecific gastritis,50874004,84774013,,31
3347941000006111,40,^ESCTGA334794,,Gastritis medicamentosa,52305004,87037011,,5
3433331000006119,20,^ESCTRE343333,,Reflux gastritis,57433008,95514012,,31
3474431000006110,80,^ESCTHY347443,,Hypertrophic gastritis,60002000,99675017,,32
3526641000006116,1,^ESCTCH352664,,Chronic erosive gastritis,63137003,104959017,,31
3578621000006111,100,^ESCTEO357862,,Eosinophilic gastritis,66329006,110150016,,32
3686761000006111,1000,^ESCTBI368676,,Bile-induced gastritis,72950008,121173017,,32
3686771000006116,20,^ESCTBI368677,,Biliary gastritis,72950008,121174011,,32
3686781000006118,200,^ESCTBI368678,,Bile reflux gastritis,72950008,502297019,,32
3875631000006116,900,^ESCTAT387563,,Atrophic gastritis,84568007,140220014,,32
3875671000006118,20,^ESCTAU387567,,Autoimmune gastritis,84568007,506117010,,32
3959551000006119,30,^ESCTCH395955,,Chronic antral gastritis,89790007,148856019,,31
4058111000006114,10,^ESCTHA405811,,Haemorrhagic duodenitis,95531001,512171013,,31
4058131000006115,200,^ESCTER405813,,Erosive duodenitis,95531001,512169013,,31
4510691000006118,30,^ESCTPA451069,,Pangastritis,135830006,216588016,,31
5083841000006113,20,^ESCTIN508384,,Infective gastritis,235655002,353276010,,31
5083851000006110,70,^ESCTRE508385,,Reactive gastritis,235656001,353277018,,31
5083871000006117,3,^ESCTCH508387,,Chemical gastritis,235656001,353279015,,31
5083881000006119,1,^ESCTSE508388,,Sepsis-related gastritis,235657005,353281018,,31
5083891000006116,1,^ESCTST508389,,Stress-related gastritis,235657005,353280017,,31
5083921000006110,2,^ESCTCH508392,,Chronic follicular gastritis,235660003,353285010,,31
5084381000006110,8,^ESCTCH508438,,Chronic duodenitis,235693007,353329016,,31
5084391000006113,30,^ESCTNO508439,,Nonspecific duodenitis,235693007,353330014,,31
5586521000006113,1,^ESCTGA558652,,Gastritis of newborn,276527006,412694018,,31
5700141000006112,800,^ESCTVI570014,,Viral gastritis,285344007,424321010,,31
6212611000006112,2,^ESCTLY621261,,Lymphocytic gastritis,360375007,476116019,,31
6568021000006119,1,^ESCTAC656802,,Acute on chronic gastritis,396337009,1785555010,,31
6838751000006117,8,^ESCTSU683875,,Suspicion of gastritis,413241009,2474776013,,31
7300131000006119,200,^ESCTAC730013,,Acute erosive gastritis,444926003,2872399017,,32
7629571000006117,600,^ESCTHE762957,,Helicobacter pylori-associated gastritis,708164002,3033793010,,32
7629581000006119,6,^ESCTGA762958,,Gastritis caused by Helicobacter pylori,708164002,3033969010,,32
7738441000006114,6,^ESCTAC773844,,Acute duodenitis,715834004,3303869013,,31
7987031000006110,1,^ESCTGA798703,,Gastric hemorrhage due to erosive gastritis,7071000119102,3015365015,,31
8465561000006113,7000,^ESCTER846556,,Erosive gastritis,1086791000119100,3015248010,,32
