searchterms,exclusionterms,searched_in_column,searchmethod
Acute congestive heart failure,neonatal,Term,"termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
Acute edema of lung,Suspected,,
Acute heart failure,excluded,,
Acute left ventricular failure,No evidence,,
"Acute oedema of lung, unspecified",CHA2DS2,,
Acute pulmonary edema,Exception reporting,,
Acute pulmonary oedema,screening,,
Acute pulmonary oedema NOS,resolved,,
Acute pulmonary oedema unspecified,No cardiac failure,,
Biventricular congestive heart failure,quality indicators,,
Biventricular failure,consider the patient not to have heart failure,,
Cardiac asthma,more time needed to decide on heart failure status,,
Cardiac failure,No cardiac failure,,
Cardiac failure NOS,ischaemic attack risk score,,
CCF - Congestive cardiac failure,Chemical,,
CHF - Congestive heart failure,Postoperative,,
Chronic congestive heart failure,Non-cardiogenic,,
Compensated cardiac failure,Drug-induced,,
Congestive cardiac failure,Neurogenic,,
Congestive heart disease,High altitude,,
Congestive heart failure,Toxic,,
Congestive heart failure due to valvular disease,Oxygen-induced,,
Decompensated cardiac failure,CHADS2,,
Heart failure,,,
Heart failure NOS,,,
Heart failure with normal ejection fraction,,,
Heart failure with preserved ejection fraction,,,
HF - Heart failure,,,
HFNEF - heart failure with normal ejection fraction,,,
Impaired left ventricular func,,,
Impaired left ventricular function,,,
Left heart failure,,,
Left ventricular diastolic dysfunction,,,
Left ventricular failure,,,
Left ventricular systolic dysfunction,,,
Left-sided heart failure,,,
LVF - Left ventricular failure,,,
Pulmonary oedema - acute,,,
Rheumatic left ventricular failure,,,
Right heart failure,,,
Right ventricular failure,,,
Weak heart,,,
Chronic systolic dysfunction of left ventricle,,,
(?=.*card)(?=.*failure),,,
(?=.*decomp)(?=.*heart),,,
pulmonary oedema,,,
pulmonary edema,,,
