MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
3570019,9,A548-99,A548.99,Herpes labialis,1475003,988711000006116,,32
23218017,100,A5444,A544400,Herpes simplex iridocyclitis,13608004,23218017,,32
28067012,50,A54x0,A54x000,Visceral herpes simplex,16592009,28067012,,32
39094012,100,F0113-1,F011311,Herpes simplex meningitis,23291008,39094012,,32
50111015,20000,A5442,A544200,Herpes simplex dendritic keratitis,29943008,50111015,,32
56485016,300000,A541,A541.00,Genital herpes simplex,33839006,56485016,,32
96292016,70000,A542,A542.00,Herpetic gingivostomatitis,57920007,96292016,,32
98860016,10000,A5443,A544300,Herpes simplex disciform keratitis,59523007,98860016,,32
146891016,500000,A54,A54..00,Herpes simplex,88594005,146891016,,32
151712011,300,Q4020,Q402000,Congenital herpes simplex,91576008,1235689013,,32
179027016,100,A54x2,A54x200,Herpes simplex otitis externa,111856000,179027016,,32
254238012,90000,2524,2524.00,O/E-herpes labialis-cold sore,163139004,254238012,,27
254239016,60000,2524-1,2524.11,O/E - cold sore,163139004,254239016,,27
254240019,10000,2524-2,2524.12,O/E - herpes labialis,163139004,254240019,,27
286729018,20000,A540,A540.00,Eczema herpeticum - Kaposi's varicelliform eruption,186535001,286729018,,32
286734019,6000,A5415,A541500,Anogenital herpesviral infection,186538004,286734019,,32
286737014,6000,A541z,A541z00,Genital herpes simplex NOS,33839006,56485016,,32
286746015,20000,A544,A544.00,Ophthalmic herpes simplex,186542001,286746015,,32
286749010,1000,A5441,A544100,Herpes simplex eyelid dermatitis,186544000,286749010,,32
286752019,1000,A544z,A544z00,Ophthalmic herpes simplex NOS,186542001,286746015,,32
286754018,500,A54x,A54x.00,Herpes simplex with other specified complication,111854002,179026013,,32
286759011,300,A54xz,A54xz00,Herpes simplex with other specified complication NOS,111854002,179026013,,32
286760018,300,A54y,A54y.00,Herpes simplex with complication,111854002,179026013,,32
288088014,600,Ayu4G,Ayu4G00,"[X]Anogenital herpes viral infection, unspecified",186538004,286734019,,32
