MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
154798010,3,B6157,B615700,"Hodgkin's disease, mixed cellularity of spleen",93509007,154798010,,32
154811011,10,B6147,B614700,"Hodgkin's disease, nodular sclerosis of spleen",93518009,154811011,,32
154837014,1,B6116,B611600,Hodgkin's granuloma of intrapelvic lymph nodes,93530003,154837014,,32
154838016,2,B6112,B611200,Hodgkin's granuloma of intrathoracic lymph nodes,93531004,154838016,,32
154846015,2,B6117,B611700,Hodgkin's granuloma of spleen,93536009,154846015,,32
154859011,2,B6107,B610700,Hodgkin's paragranuloma of spleen,93545005,154859011,,32
154862014,90,B6123,B612300,Hodgkin's sarcoma of intra-abdominal lymph nodes,93547002,154862014,,32
154863016,1,B6126,B612600,Hodgkin's sarcoma of intrapelvic lymph nodes,93548007,154863016,,32
154864010,2,B6122,B612200,Hodgkin's sarcoma of intrathoracic lymph nodes,93549004,154864010,,32
154872012,2,B6127,B612700,Hodgkin's sarcoma of spleen,93554008,154872012,,32
215913019,50,BBj3,BBj3.00,"Hodgkin lymphoma, lymphocyte depletion",112687003,199800013,,32
215914013,1000,BBj6,BBj6.00,"Hodgkin lymphoma, nodular sclerosis",52248008,198368015,,32
289616013,6,B6100,B610000,Hodgkin's paragranuloma of unspecified site,118605002,177024019,,32
289618014,10,B6102,B610200,Hodgkin's paragranuloma of intrathoracic lymph nodes,188524002,289618014,,32
289621011,1,B6103,B610300,Hodgkin's paragranuloma of intra-abdominal lymph nodes,93493001,3635497016,,32
289624015,1,B6106,B610600,Hodgkin's paragranuloma of intrapelvic lymph nodes,188529007,289624015,,32
289626018,5,B6108,B610800,Hodgkin's paragranuloma of lymph nodes of multiple sites,188531003,289626018,,32
289627010,4,B610z,B610z00,Hodgkin's paragranuloma NOS,118605002,177024019,,32
289628017,4,B6110,B611000,Hodgkin's granuloma of unspecified site,118602004,177021010,,32
289629013,8,B6111,B611100,"Hodgkin's granuloma of lymph nodes of head, face and neck",188534006,289629013,,32
289632011,1,B6113,B611300,Hodgkin's granuloma of intra-abdominal lymph nodes,188536008,289632011,,32
289633018,4,B6114,B611400,Hodgkin's granuloma of lymph nodes of axilla and upper limb,188537004,289633018,,32
289637017,2,B6118,B611800,Hodgkin's granuloma of lymph nodes of multiple sites,188541000,289637017,,32
289638010,2,B611z,B611z00,Hodgkin's granuloma NOS,118602004,177021010,,32
289639019,1,B6120,B612000,Hodgkin's sarcoma of unspecified site,118606001,177025018,,32
289640017,2,B6121,B612100,"Hodgkin's sarcoma of lymph nodes of head, face and neck",188544008,289640017,,32
289643015,2,B6124,B612400,Hodgkin's sarcoma of lymph nodes of axilla and upper limb,188547001,289643015,,32
289647019,3,B6128,B612800,Hodgkin's sarcoma of lymph nodes of multiple sites,188551004,289647019,,32
289648012,2,B612z,B612z00,Hodgkin's sarcoma NOS,118606001,177025018,,32
289657018,5,B6137,B613700,"Hodgkin's disease, lymphocytic-histiocytic predominance of spleen",93500006,154785018,,32
289659015,50,B613z,B613z00,"Hodgkin's, lymphocytic-histiocytic predominance NOS",118607005,177026017,,32
289660013,200,B6140,B614000,"Hodgkin's disease, nodular sclerosis of unspecified site",118608000,177027014,,32
289669014,400,B614z,B614z00,"Hodgkin's disease, nodular sclerosis NOS",118608000,177027014,,32
289670010,40,B6150,B615000,"Hodgkin's disease, mixed cellularity of unspecified site",118609008,177028016,,32
289679011,100,B615z,B615z00,"Hodgkin's disease, mixed cellularity NOS",118609008,177028016,,32
289680014,20,B6160,B616000,Hodgkin's lymphocytic depletion of unspecified site,118610003,177029012,,32
289699017,2,B6167,B616700,"Hodgkin's disease, lymphocytic depletion of spleen",188592008,289699017,,32
289701017,80,B616z,B616z00,"Hodgkin's disease, lymphocytic depletion NOS",118610003,177029012,,32
289702012,700,B61zz,B61zz00,Hodgkin's disease NOS,118599009,2663473018,,32
289703019,100,B61z0,B61z000,"Hodgkin's disease NOS, unspecified site",118599009,177017015,,32
289704013,200,B61z1,B61z100,"Hodgkin's disease of lymph nodes of head, face AND/OR neck",93524003,154823017,,32
289705014,70,B61z2,B61z200,Hodgkin's disease of intrathoracic lymph nodes,93522004,154818017,,32
289706010,10,B61z3,B61z300,Hodgkin's disease of intra-abdominal lymph nodes,93520007,154814015,,32
289709015,4,B61z6,B61z600,Hodgkin's disease of intrapelvic lymph nodes,93521006,154816018,,32
289710013,9,B61z7,B61z700,Hodgkin's disease of spleen,93527005,154831010,,32
289711012,60,B61z8,B61z800,Hodgkin's disease of lymph nodes of multiple sites,93526001,154829018,,32
291931019,200,BBj1,BBj1.00,"[M]Hodgkin's disease, lymphocytic predominance",128799007,207299018,,32
291932014,100,BBj10,BBj1000,"Hodgkin lymphoma, lymphocyte-rich",128799007,207303011,,32
291933016,90,BBj61,BBj6100,"Hodgkin lymphoma, nodular sclerosis, grade 1",45572000,197881018,,32
291934010,1,BBj8,BBj8.00,[M]Hodgkin's paragranuloma,70600005,117280019,,32
292169014,100,ByuD0,ByuD000,[X]Other Hodgkin's disease,118599009,2663473018,,32
453326010,100,BBjz,BBjz.00,[M]Hodgkin's disease NOS,128930002,207613010,,32
1220414014,5000,B614,B614.00,"Hodgkin's disease, nodular sclerosis",118608000,1220414014,,32
1221109014,2000,BBj,BBj..00,[M]Hodgkin's disease,14537002,1221109014,,32
1227575015,200,ZV107-1,ZV10711,[V]Personal history of Hodgkin's disease,266987004,397818015,,32
1229491012,40,BBj7,BBj7.00,"[M]Hodgkin's disease, nodular sclerosis, cellular phase",39086001,1229491012,,32
1229767019,200,BBj2,BBj2.00,"[M]Hodgkin's disease, mixed cellularity",41529000,1229767019,,32
1230406012,4,BBjA,BBjA.00,[M]Hodgkin's sarcoma,46923007,1230406012,,32
1233285010,300,BBj11,BBj1100,"[M]Hodgkin,s disease, lymphocytic predominance, nodular",70600005,1233285010,,32
