medcodeid,term,hypertens
1011861000006110,adverse reaction to antihypertensive drugs,1
1011871000006115,adverse reaction to vasodilator antihypertensive drugs,1
1011881000006117,adverse reaction to centrally acting antihypertensive drugs,1
108730018,malignant hypertensive renal disease,1
11777411000006113,renal disease due to hypertension,1
12487991000006113,hypertensive treatm.changed,1
12488211000006112,hypertension treatm. started,1
12488221000006116,hypertension treatm.stopped,1
12496011,hypertensive retinopathy,1
12726231000006115,adverse reaction to other antihypertensives,1
12726241000006113,adverse reaction to antihypertensives nos,1
131046010,malignant essential hypertension,1
1409014,benign hypertensive renal disease,1
146259010,secondary pulmonary hypertension,1
151161000006115,secondary malignant hypertension,1
1529013,blind hypertensive eye,1
158241000006117,secondary hypertension nos,1
1706551000000114,hypertension 9 month review,1
1749291000006113,thromboembolic pulmonary hypertension,1
1780252014,hypertension treatment refused,1
1780253016,hypertension six month review,1
1780318013,moderate hypertension control,1
1780319017,hypertension annual review,1
1806071000006118,stage 1 hypertension,1
1806081000006115,stage 2 hypertension,1
1806141000006113,severe hypertension,1
1823901000006112,hypertension confirmed,1
1846941000006119,stage 1 hypertension (nice - nat ins for hth clin excl 2011),1
1846961000006115,severe hypertension (nat inst for health clinical ex 2011),1
1846991000006111,stage 2 hypertension (nice - nat ins for hth clin excl 2011),1
1908711000006115,stage 1 hyperten (nice 2011) without evidnce end organ damge,1
1908721000006111,stage 1 hyperten (nice 2011) with evidnce end organ damge,1
19411000006110,other pre-exist hypertension in preg/childb/puerp + p/n comp,1
19421000006119,other pre-exist hypertension in preg/childb/puerp-not deliv,1
19431000006116,other pre-existing hypertension in preg/childb/puerp - deliv,1
19441000006114,other pre-existing hypertension in preg/childb/puerp nos,1
19451000006111,other pre-existing hypertension in preg/childb/puerp unspec,1
1992471000006116,vte risk assessment - uncontrolled systolic hypertension,1
2011000033113,antihypertensive drugs,1
2115801000000110,hypertension self-management plan review,1
2117971000000119,hypertension self-management plan agreed,1
212961000006118,pre-eclampsia or eclampsia + pre-existing hypertension nos,1
213081000006118,pre-exist 2ndry hypertens comp preg childbth and puerperium,1
213111000006112,pre-exist hypertension compl preg childbirth and puerperium,1
2159168015,patient on maximal tolerated antihypertensive therapy,1
2193021000000110,severe hypertension,1
2193031000000112,stage 1 hypertension,1
2193971000000110,hypertension resistant to drug therapy,1
2297871000000111,pulmonary arterial hypertension drugs band 1,1
2297911000000113,pulmonary arterial hypertension drugs band 2,1
