MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
80425016,3000000,M05,M05..00,Impetigo,48277006,80425016,,32
298959013,1000,F5017,F501700,Infective otitis externa due to impetigo,194203003,298959013,,32
298960015,3000,F5017-1,F501711,Impetigo - otitis externa,194203003,298960015,,32
308382017,10000,M050,M050.00,Impetigo contagiosa unspecified,48277006,80425016,,32
308385015,100,M052,M052.00,Impetigo contagiosa gyrata,200704001,308385015,,32
308386019,2000,M053,M053.00,Circinate impetigo,359749002,474975011,,32
308387011,200,M054,M054.00,Impetigo neonatorum,200706004,308387011,,32
308388018,3000,M055,M055.00,Impetigo simplex,200707008,308388018,,32
308389014,6000,M056,M056.00,Impetigo follicularis,200708003,308389014,,32
308390017,50,M057,M057.00,Chronic symmetrical impetigo,200709006,308390017,,32
308391018,100000,M05z,M05z.00,Impetigo NOS,48277006,80425016,,32
308748013,5000,M143,M143.00,Impetigo herpetiformis,65539006,108896015,,32
1786733013,9000,M051,M051.00,Bullous impetigo,399183005,1786732015,,32
3365991000006116,10,^ESCTBO336599,,Bockhart impetigo,53396004,88783013,,31
5027641000006110,10,^ESCTIM502764,,Impetigo of eyelid,231802001,347358010,,31
5120891000006110,20,^ESCTNO512089,,Non-bullous impetigo,238374001,357293014,,31
5120911000006112,8,^ESCTST512091,,Streptococcal impetigo,238375000,357294015,,31
5120921000006116,7,^ESCTST512092,,Staphylococcal non-bullous impetigo,238376004,357295019,,31
5502121000006117,3,^ESCTFO550212,,Follicular impetigo,267812007,399937016,,32
6617371000006113,3,^ESCTBU661737,,Bullous staphylococcal impetigo,399102002,1778562010,,31
6618681000006117,200,^ESCTIM661868,,Impetigo bullosa,399183005,1778638012,,32
