MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
18665016,10000,J521-3,J521.13,Spastic colon,10743008,18665016,,32
18666015,3000000,J521-1,J521.11,Irritable bowel syndrome,10743008,18666015,,32
303172010,70000,J5210,J521000,Irritable bowel syndrome with diarrhoea,197125005,303172010,,32
2791650019,2000,J5211,J521100,Irritable bowel syndrome characterised by constipation,440630006,2791650019,,32
303071000000118,7000,14CF,14CF.00,History of irritable bowel syndrome,70871000119100,3038540014,,32
696071000006114,2000,J41-1,J41..11,Mucous colitis and/or proctitis,43752006,72962011,,32
742351000006119,900000,J521,J521.00,Irritable colon - Irritable bowel syndrome,10743008,18666015,,32
886361000006114,90000,J521-99,J521.99,Irritable bowel - IBS,10743008,886361000006114,,32
906181000006110,5000,HNG0095,,[RFC] Irritable bowel syndrome (IBS),906181000006106,906181000006110,,12
1927491000006111,2000,J5212,J521200,Irritable bowel syndrome characterised by alternating bowel habit,440544005,2794832011,,32
1937081000006116,2000,EMISNQSU90,,Suspected irritable bowel syndrome,1937081000006100,1937081000006116,,27
2129721000000119,600,8Cm,8Cm..00,Management of irritable bowel syndrome,817511000000108,2129721000000119,,32
2346441000000118,2000,8CA4Z,8CA4Z00,Dietary education for irritable bowel syndrome,913031000000106,2346441000000118,,32
2670821000006113,100000,^ESCTIR267082,,Irritable colon,10743008,18662018,,32
2670871000006114,3,^ESCTMU267087,,Mucous colitis,10743008,18667012,,32
2670881000006112,10,^ESCTCO267088,,Colon spasm,10743008,1219339014,,32
2670891000006110,100,^ESCTFU267089,,Functional bowel disease,10743008,1219340011,,32
2670911000006112,300,^ESCTIB267091,,IBS - Irritable bowel syndrome,10743008,1219342015,,32
2670921000006116,50,^ESCTIR267092,,Irritable bowel,10743008,1219343013,,32
2670951000006113,1,^ESCTIC267095,,IC - Irritable colon,10743008,1219346017,,32
4786241000006112,2,^ESCTIR478624,,Irritable bowel syndrome with diarrhea,197125005,303173017,,32
5086151000006112,40,^ESCTIR508615,,Irritable bowel syndrome variant of childhood,235838003,353525011,,31
5086161000006114,5,^ESCTIR508616,,Irritable bowel syndrome variant of childhood with diarrhoea,235839006,353527015,,31
5086181000006116,10,^ESCTIR508618,,Irritable bowel syndrome variant of childhood with constipation,235840008,353528013,,31
7112171000006111,2,^ESCTFA711217,,Family history of irritable bowel syndrome,429964008,2764340016,,31
7240101000006111,10,^ESCTCO724010,,Constipation predominant irritable bowel syndrome,440630006,2791649019,,32
8460301000006111,4,^ESCTIR846030,,Irritable Bowel Syndrome - Symptom Severity Scale score,1083671000000108,2715641000000116,,31
