MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
4044018,20000,J616,J616.00,Biliary cirrhosis,1761006,4044018,,32
11267010,10,J6158-2,J615812,Indian childhood cirrhosis,6183001,11267010,,32
21289010,300,J6161,J616100,Secondary biliary cirrhosis,12368000,21289010,,32
52980015,60000,J6160,J616000,Primary biliary cirrhosis,31712002,52980015,,32
103853010,5000,J61y4,J61y400,Hepatic fibrosis,62484002,103853010,,32
123999018,30,J6157-1,J615711,Congestive cirrhosis,74669004,123997016,,32
126721013,40,J612-1,J612.11,Florid cirrhosis,76301009,126721013,,32
132070012,300,Q48yz-1,Q48yz11,Congenital hepatic fibrosis,79607001,132070012,,32
303393017,60000,J61,J61..00,Cirrhosis and chronic liver disease,197279005,303393017,,32
303399018,100000,J613,J613.00,Alcoholic liver damage,41309000,68906017,,32
303414013,3,J6150,J615000,Unilobular portal cirrhosis,197291001,303414013,,32
303419015,200,J6153,J615300,Diffuse nodular cirrhosis,197293003,303419015,,32
303420014,50,J6154,J615400,Fatty portal cirrhosis,197294009,303420014,,32
303425016,20,J6156,J615600,Capsular portal cirrhosis,197296006,303425016,,32
303433015,4,J6159,J615900,Pigmentary portal cirrhosis,197299004,303433015,,32
303435010,3,J615B,J615B00,Toxic portal cirrhosis,197301006,303435010,,32
303437019,2,J615D,J615D00,Bacterial portal cirrhosis,197303009,303437019,,32
303438012,40,J615E,J615E00,Cardituberculous cirrhosis,301811001,443293016,,32
303439016,1,J615F,J615F00,Syphilitic portal cirrhosis,197305002,303439016,,32
303440019,1,J615G,J615G00,Zooparasitic portal cirrhosis,197306001,303440019,,32
303441015,200,J615H,J615H00,Infectious cirrhosis,235896001,353622016,,32
303442010,50,J615y,J615y00,Portal cirrhosis unspecified,419728003,2576980018,,32
303452014,5,J6162,J616200,Biliary cirrhosis of children,197310003,303452014,,32
303453016,400,J616z,J616z00,Biliary cirrhosis NOS,1761006,4044018,,32
303456012,1000,J61y,J61y.00,Chronic nonalcoholic liver disease,79720007,132267018,,32
303458013,200,J61y3,J61y300,Portal fibrosis without cirrhosis,197316009,303458013,,32
303518014,200,J6356,J635600,Toxic liver disease with fibrosis and cirrhosis of liver,197362001,303518014,,32
303781011,2000,Jyu71,Jyu7100,[X]Other and unspecified cirrhosis of liver,19943007,33568015,,32
353594015,2000,J6120,J612000,Alcoholic fibrosis and sclerosis of liver,235880004,353594015,,32
353613017,90000,J615z-3,J615z13,Cirrhosis of liver,19943007,33568015,,32
353621011,4,J615z-4,J615z14,"Laennec's cirrhosis, non-alcoholic",235895002,353621011,,32
353625019,100,J61y5,J61y500,Hepatic sclerosis,235899008,353625019,,32
353627010,30,J61y6,J61y600,Hepatic fibrosis with hepatic sclerosis,235901004,353627010,,32
396390012,6,J6151,J615100,Multilobular portal cirrhosis,266469006,396390012,,32
396391011,200,J6157,J615700,Cardiac portal cirrhosis,266470007,396391011,,32
396392016,10,J6158,J615800,Juvenile portal cirrhosis,266471006,396392016,,32
396393014,4000,J615z,J615z00,Non-alcoholic cirrhosis NOS,266468003,396389015,,32
451442010,1000,G8522,G852200,Oesophageal varices in cirrhosis of the liver,308129003,451442010,,32
453265010,2000,G8523,G852300,Oesophageal varices in alcoholic cirrhosis of the liver,309783001,453265010,,32
477604016,10,J6152,J615200,Mixed portal cirrhosis,15999000,477604016,,32
493707012,200,J6155,J615500,Hypertrophic portal cirrhosis,43904005,493707012,,32
1786709019,50,C3500-2,C350012,Pigmentary cirrhosis of liver,399126000,1786709019,,32
2576980018,200,J615-1,J615.11,Portal cirrhosis,419728003,2576980018,,32
2579818016,10,J612-2,J612.12,Laennec's cirrhosis,419728003,2576980018,,32
3515305014,1,^ESCT1165905,,Cirrhosis of liver with primary sclerosing cholangitis,735733008,3515305014,,31
55851000006118,3,J615C,J615C00,Xanthomatous portal cirrhosis,271440004,406232019,,32
211821000006111,10,J6151-1,J615111,Postnecrotic cirrhosis of liver,43904005,73201018,,32
221111000000114,10000,J615,J615.00,Cirrhosis - non-alcoholic,266468003,396389015,,32
226161000006113,1,J615A,J615A00,Pipe-stem portal cirrhosis,197300007,303434014,,32
476611000006116,100000,J612,J612.00,Alcoholic cirrhosis of liver,420054005,2920441014,,32
603321000006118,4000,J615z-2,J615z12,Cryptogenic cirrhosis,89580002,148522018,,32
731231000006114,600,J615z-1,J615z11,Macronodular cirrhosis of liver,43904005,73201018,,32
803961000006119,100,C3104,C310400,Glycogenosis with hepatic cirrhosis,29633007,49567015,,32
820381000006112,1000,J615z-5,J615z15,Hepatic fibrosis,62484002,103853010,,32
886501000006115,2000,J613-99,J613.99,Alcoholic liver damage NOS,589511000000102,886501000006115,,32
1736361000000112,20,C3708,C370800,Cystic fibrosis related cirrhosis,776981000000103,1736361000000112,,32
2658601000006116,40,^ESCTAC265860,,Acute alcoholic liver disease,9953008,17389017,,32
2816671000006112,2,^ESCTHE281667,,Hepatic cirrhosis,19943007,33572016,,32
2816681000006110,5,^ESCTCL281668,,CL - Cirrhosis of liver,19943007,480137013,,32
3165681000006118,200,^ESCTAL316568,,Alcoholic liver disease,41309000,68909012,,32
3165691000006115,10,^ESCTAL316569,,ALD - Alcoholic liver disease,41309000,492959019,,32
3206871000006111,40,^ESCTMA320687,,Macronodular cirrhosis,43904005,73201018,,32
3515871000006112,600,^ESCTFI351587,,Fibrosis of liver,62484002,499304011,,32
3713561000006119,7,^ESCTCA371356,,Cardiac cirrhosis,74669004,123997016,,32
5524681000006114,2,^ESCTCI552468,,Cirrhosis secondary to cholestasis,271440004,406232019,,32
6941941000006119,2,^ESCTPC694194,,PC - Portal cirrhosis,419728003,2579819012,,32
6947461000006115,10000,^ESCTAL694746,,Alcoholic cirrhosis,420054005,2576981019,,32
6947471000006110,70,^ESCTAL694747,,Alcoholic liver cirrhosis,420054005,2912539019,,32
7700651000006119,4,^ESCTCH770065,,Chronic alcoholic liver disease,713181003,3288362011,,31
