MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
3704012,100,4M73,4M73.00,Clark melanoma level 4,1556006,3704012,,3
27148012,20,4M74,4M74.00,Clark melanoma level 5,16034002,27148012,,3
35572018,200,4M72,4M72.00,Clark melanoma level 3,21165006,35572018,,3
84190018,100,4M71,4M71.00,Clark melanoma level 2,50542000,84190018,,3
138122012,50,4M70,4M70.00,Clark melanoma level 1,83284001,138122012,,3
154231019,100,B3254,B325400,Malignant melanoma of perianal skin,93209006,154231019,,32
155060012,300000,B32,B32..00,Malignant melanoma of skin,93655004,155060012,,32
155458017,200,B3359,B335900,Malignant neoplasm of perianal skin,93956001,155458017,,32
155517014,100,B3375,B337500,Malignant neoplasm of skin of ankle,94008001,155517014,,32
155520018,2000,B3357,B335700,Malignant neoplasm of skin of back,94011000,155520018,,32
155521019,400,B3352,B335200,Malignant neoplasm of skin of breast,94012007,155521019,,32
155522014,50,B3358,B335800,Malignant neoplasm of skin of buttock,94013002,155522014,,32
155525011,400,B3331,B333100,Malignant neoplasm of skin of chin,94016005,155525011,,32
155529017,400,B3332,B333200,Malignant neoplasm of skin of eyebrow,94020009,155529017,,32
155533012,100,B3364,B336400,Malignant neoplasm of skin of finger,94023006,155533012,,32
155534018,200,B3377,B337700,Malignant neoplasm of skin of foot,94024000,155534018,,32
155536016,4000,B3333,B333300,Malignant neoplasm of skin of forehead,94026003,155536016,,32
155537013,60,B3355,B335500,Malignant neoplasm of skin of groin,94027007,155537013,,32
155538015,600,B3363,B336300,Malignant neoplasm of skin of hand,94028002,155538015,,32
155539011,30,B3370,B337000,Malignant neoplasm of skin of hip,94029005,155539011,,32
155540013,80,B3372,B337200,Malignant neoplasm of skin of knee,94030000,155540013,,32
155542017,2000,B330,B330.00,Malignant neoplasm of skin of lip,94032008,155542017,,32
155545015,2000,B3341,B334100,Malignant neoplasm of skin of neck,94034009,155545015,,32
155547011,70,B3356,B335600,Malignant neoplasm of skin of perineum,94036006,155547011,,32
155550014,1000,B3360,B336000,Malignant neoplasm of skin of shoulder,94039004,155550014,,32
155552018,400,B3371,B337100,Malignant neoplasm of skin of thigh,94041003,155552018,,32
155553011,10,B3378,B337800,Malignant neoplasm of skin of toe,94042005,155553011,,32
155556015,10,B3354,B335400,Malignant neoplasm of skin of umbilicus,94044006,155556015,,32
156699010,200,B5826,B582600,Secondary malignant neoplasm of skin of breast,94544002,156699010,,32
156719018,50,B5821,B582100,Secondary malignant neoplasm of skin of face,94554003,156719018,,32
156747019,80,B5822,B582200,Secondary malignant neoplasm of skin of neck,94566009,156747019,,32
156765015,200,B5823,B582300,Secondary malignant neoplasm of skin of trunk,94575006,156765015,,32
156777013,1000,B582,B582.00,Secondary malignant neoplasm of skin,94579000,156777013,,32
170673014,1000,4M3,4M3..00,Breslow depth staging for melanoma,106243009,170673014,,3
173816012,2,B32y0,B32y000,Overlapping malignant melanoma of skin,109267002,173816012,,32
173821010,20,B8280,B828000,Melanoma in situ of lip,109272006,173821010,,32
173823013,60,B8281,B828100,"Melanoma in situ of eyelid, including canthus",109274007,173823013,,32
173825018,200,B8287,B828700,Melanoma in situ of scalp,109276009,173825018,,32
173833017,500,B8284,B828400,Melanoma in situ of trunk,109284008,173833017,,32
251569011,8000,14250,1425000,H/O Malignant melanoma,161432005,251569011,,32
274480013,30000,7G03J,7G03J00,Excision of melanoma,177281002,274480013,,32
289009011,200,B320,B320.00,Malignant melanoma of lip,188030005,289009011,,32
289011019,200,B322,B322.00,Malignant melanoma of ear and external auricular canal,188032002,289011019,,32
289012014,600,B3220,B322000,Malignant melanoma of auricle (ear),188033007,289012014,,32
289013016,20,B3221,B322100,Malignant melanoma of external auditory meatus,188034001,289013016,,32
289014010,70,B322z,B322z00,Malignant melanoma of ear and external auricular canal NOS,188032002,289011019,,32
289015011,900,B323,B323.00,Malignant melanoma of skin of face,93225001,154247017,,32
289017015,70,B3231,B323100,Malignant melanoma of chin,188038003,289017015,,32
289019017,600,B3233,B323300,Malignant melanoma of forehead,188040008,289019017,,32
289021010,300,B3235,B323500,Malignant melanoma of temple,188042000,289021010,,32
289022015,1000,B323z,B323z00,Malignant melanoma of skin of face,93225001,154247017,,32
289023013,3000,B324,B324.00,Malignant melanoma of scalp and neck,188044004,289023013,,32
289024019,1000,B3240,B324000,Malignant melanoma of scalp,188045003,289024019,,32
289025018,2000,B3241,B324100,Malignant melanoma of neck,188046002,289025018,,32
289026017,200,B324z,B324z00,Malignant melanoma of scalp and/or neck,188044004,1775484014,,32
289027014,6000,B325,B325.00,Malignant melanoma of skin of trunk,93651008,155054012,,32
289028016,800,B3250,B325000,Malignant melanoma of axilla,188049009,289028016,,32
289029012,3000,B3251,B325100,Malignant melanoma of breast,188050009,289029012,,32
289030019,300,B3252,B325200,Malignant melanoma of buttock,188051008,289030019,,32
289031015,1000,B3253,B325300,Malignant melanoma of groin,188052001,289031015,,32
289033017,200,B3255,B325500,Malignant melanoma of perineum,188054000,289033017,,32
289034011,60,B3256,B325600,Malignant melanoma of umbilicus,188055004,289034011,,32
289037016,800,B325z,B325z00,Malignant melanoma of trunk,269579005,403893010,,32
289039018,2000,B3260,B326000,Malignant melanoma of shoulder,188060000,289039018,,32
289040016,4000,B3261,B326100,Malignant melanoma of upper arm,188061001,289040016,,32
289041017,3000,B3262,B326200,Malignant melanoma of fore-arm,188062008,289041017,,32
289042012,200,B3263,B326300,Malignant melanoma of hand,188063003,289042012,,32
289043019,300,B3264,B326400,Malignant melanoma of finger,188064009,289043019,,32
289044013,500,B3265,B326500,Malignant melanoma of thumb,188065005,289044013,,32
289045014,400,B326z,B326z00,Malignant melanoma of upper limb or shoulder NOS,269580008,403894016,,32
