MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
7595017,70000,F260-1,F260.11,Migraine with aura,4473006,7595017,,32
7596016,400000,F260,F260.00,Migraine with typical aura,230462002,345348012,,32
63055014,5000000,F26,F26..00,Migraine,37796009,63055014,,32
82623012,3000,F26y1,F26y100,Ophthalmoplegic migraine,49605003,82623012,,32
93294013,20000,F261-1,F261.11,Migraine without aura,56097005,93294013,,32
93295014,60000,F261,F261.00,Common migraine,56097005,93295014,,32
93296010,30000,F2610,F261000,Atypical migraine,56097005,93296010,,32
98501012,50000,F26y0,F26y000,Hemiplegic migraine,59292006,98501012,,32
126030010,30000,F2622,F262200,Abdominal migraine,75879005,126030010,,32
138248010,9000,F2623,F262300,Basilar migraine,83351003,138248010,,32
158460019,30000,F2624,F262400,Ophthalmic migraine,95655001,158460019,,32
251645017,400000,1474,1474.00,H/O: migraine,161481007,251645017,,32
252573011,10000,1967,1967.00,Abdominal migraine - symptom,162040008,252573011,,27
297336013,7000,F261z,F261z00,Common migraine NOS,56097005,93295014,,32
297337016,10000,F262,F262.00,Migraine variants,193030005,297337016,,32
297351016,7000,F262z,F262z00,Migraine variant NOS,193030005,297337016,,32
297352011,7000,F26y,F26y.00,Other forms of migraine,37796009,63055014,,32
297354012,10000,F26y3,F26y300,Complicated migraine,193039006,297354012,,32
297355013,3000,F26yz,F26yz00,Other forms of migraine NOS,37796009,63055014,,32
297356014,300000,F26z,F26z.00,Migraine NOS,37796009,63055014,,32
299338017,4000,Fyu53,Fyu5300,[X]Other migraine,37796009,63055014,,32
317576014,2000,R090D,R090D00,[D]Abdominal migraine,75879005,126030010,,32
345355014,1000,F26y2,F26y200,Status migrainosus,230467008,345355014,,32
2159945013,20000,8B6N,8B6N.00,Migraine prophylaxis,408381007,2159945013,,32
221281000000113,30000,K584-1,K584.11,Menstrual migraine,23186000,38943013,,32
700211000006115,20,F26y1-1,F26y111,Moebius' ophthalmoplegic migraine,49605003,82623012,,32
1746951000000114,300,F2628,F262800,Migraine induced by oestrogen contraceptive,781381000000100,1746951000000114,,5
1747081000000119,40000,14740,1474000,History of migraine with aura,608837004,2958210010,,32
1763401000006114,8,EMISNQH/12,,H/O: migraine with aura,1763401000006105,1763401000006114,,32
1763411000006112,10000,EMISNQH/13,,H/O: migraine without aura,1763411000006108,1763411000006112,,32
2570161000006115,300,^ESCTCL257016,,Classical migraine,4473006,7596016,,32
3789081000006119,50,^ESCTRE378908,,Retinal migraine,79267007,131521019,,31
3856501000006116,30,^ESCTVE385650,,Vertebrobasilar migraine,83351003,1234821018,,32
4060381000006114,100,^ESCTOC406038,,Ocular migraine,95655001,158461015,,32
4060391000006112,10,^ESCTFA406039,,Familial hemiplegic migraine,95656000,158462010,,31
4540161000006114,2,^ESCTHI454016,,History of migraine,161481007,2986612014,,32
4769891000006114,40,^ESCTNE476989,,Neuralgic migraine,193031009,297344013,,32
4769931000006117,10,^ESCTCO476993,,Complex migraine,193039006,2966546010,,32
5008281000006114,2,^ESCTNO500828,,Non-familial hemiplegic migraine,230464001,345350016,,31
5008291000006112,70,^ESCTMI500829,,Migraine aura without headache,230465000,345351017,,31
5008311000006111,8,^ESCTAC500831,,Acephalgic migraine,230465000,345353019,,31
5008351000006112,2,^ESCTMI500835,,Migraine with ischaemic complication,230468003,345358011,,31
5034261000006115,100,^ESCTVE503426,,Vestibular migraine,232284007,3317357015,,31
7016071000006117,6,^ESCTRE701607,,Refractory migraine,423894005,2644986016,,31
7073611000006119,8,^ESCTTR707361,,Transformed migraine,427419006,2675300019,,32
7306291000006114,8,^ESCTMI730629,,Migraine variant with headache,445322004,2872940010,,31
7520391000006114,40,^ESCTMI752039,,Migraine with persistent visual aura,699314009,2983774015,,31
8038791000006117,30,^ESCTCH803879,,Chronic intractable migraine without aura,124171000119105,2967600014,,32
12345321000006119,300,^ESCT1234532,,Chronic migraine,427419006,3638229012,,31
