MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
9822014,7000,F151,F151.00,Spinal muscular atrophy,5262007,9822014,,32
13165015,2000,F1523,F152300,Pseudobulbar palsy,7379000,13165015,,32
90229010,30,F1511-1,F151111,Juvenile spinal muscular atrophy,54280009,90229010,,32
90263012,3000,F1522,F152200,Progressive bulbar palsy,54304004,90263012,,32
107018015,200,F150-1,F150.11,Infantile spinal muscular atrophy,64383006,107018015,,32
134744017,2000,F1524,F152400,Primary lateral sclerosis,81211007,134744017,,32
141723016,300,F1512,F151200,Adult spinal muscular atrophy,85505000,1235040019,,32
142016013,3000,F15,F15..00,Anterior horn cell disease,85672005,142016013,,32
142653015,2000,F1520,F152000,Amyotrophic lateral sclerosis,86044005,142653015,,32
147444011,500,F1521,F152100,Progressive muscular atrophy,88923002,147444011,,32
297125013,100,F1510,F151000,Unspecified spinal muscular atrophy,5262007,9822014,,32
297127017,400,F151z,F151z00,Spinal muscular atrophy NOS,5262007,9822014,,32
297130012,3000,F152z,F152z00,Motor neurone disease NOS,37340000,486695013,,32
297131011,600,F15y,F15y.00,Other anterior horn cell disease,85672005,142016013,,32
297132016,100,F15z,F15z.00,Anterior horn cell disease NOS,85672005,142016013,,32
299304013,90,Fyu11,Fyu1100,[X]Other inherited spinal muscular atrophy,5262007,9822014,,32
486695013,100000,F152,F152.00,Motor neurone disease,37340000,486695013,,32
59911000006112,100,F150,F150.00,Werdnig - Hoffmann disease,64383006,107017013,,32
351861000000110,10,7Q041,7Q04100,Amyotrophic lateral sclerosis drugs Band 1,221551000000100,351861000000110,,32
631811000006111,50,F1521-1,F152111,Duchenne Aran muscular atrophy,88923002,147444011,,32
753451000006118,200,F1511,F151100,Kugelberg - Welander disease,54280009,90227012,,32
905801000006119,30,HNG0053,,[RFC] Motor neurone disease,905801000006103,905801000006119,,12
908821000006116,3000,HNG0604,,[RFC] Motor neurone disease,908821000006100,908821000006116,,12
1986041000006116,8,38VT,,Amyotrophic Lateral Sclerosis Functional Rating Scale Revised score,718648003,3313073019,,32
3101701000006117,100,^ESCTMO310170,,Motor neuron disease,37340000,62293019,,32
3101721000006110,7,^ESCTMN310172,,MND - Motor neurone disease,37340000,486696014,,32
3380781000006113,10,^ESCTKU338078,,Kugelberg-Welander disease,54280009,90227012,,32
3380841000006114,2,^ESCTSP338084,,Spinal muscular atrophy type III,54280009,1231316010,,32
3381201000006115,5,^ESCTBU338120,,Bulbar palsy,54304004,496917018,,32
3547281000006113,80,^ESCTWE354728,,Werdnig-Hoffmann disease,64383006,107017013,,32
3547321000006119,30,^ESCTSP354732,,Spinal muscular atrophy type I,64383006,1232557016,,32
3875981000006111,1,^ESCTLO387598,,Lower motor neuron disease,84590007,140251019,,31
3889821000006113,1,^ESCTAD388982,,Adult onset spinal muscular atrophy,85505000,1235040019,,32
3898661000006113,2,^ESCTAL389866,,ALS - Amyotrophic lateral sclerosis,86044005,506902010,,32
3945261000006119,1,^ESCTPM394526,,PMA - Progressive muscular atrophy,88923002,1235395016,,32
4405781000006113,3,^ESCTSP440578,,Spinal muscular atrophy type II,128212001,474347015,,31
5005271000006115,2,^ESCTDI500527,,Distal spinal muscular atrophy,230247001,345060017,,31
5005421000006117,1,^ESCTAM500542,,Amyotrophic lateral sclerosis with dementia,230258005,345075013,,31
5277731000006115,1,^ESCTPR527773,,Progressive pseudobulbar palsy,249892007,372760013,,31
7689011000006113,1,^ESCTSP768901,,Spinal muscular atrophy with respiratory distress,711483003,3078773012,,31
