MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
18484012,200,B6304,B630400,Plasmacytoma - disorder,415112005,2537380010,,32
201743012,700,B631,B631.00,Plasma cell leukaemia,95210003,201743012,,32
260879014,600,4C53,4C53.00,Bone marrow: myeloma cells,167934009,260879014,,20
289867014,1000,B6300,B630000,"Malignant plasma cell neoplasm, extramedullary plasmacytoma",188718006,289867014,,32
289874016,1000,B63z,B63z.00,Immunoproliferative neoplasm or myeloma NOS,275524009,411516014,,32
291969012,200,BBn,BBn..00,[M]Plasma cell tumours,127580003,867011,,32
292014014,10,BBr3,BBr3.00,[M]Plasma cell leukaemias,128922003,207603019,,32
292017019,200,BBr3z,BBr3z00,Plasma cell leukaemia,128922003,474671016,,32
312137011,40,N3309,N330900,Osteoporosis in multiple myelomatosis,739301006,3536112014,,32
344818012,100,B630-1,B630.11,Kahler's disease,109989006,344818012,,32
344819016,2000,B630-2,B630.12,Myelomatosis,109989006,344819016,,32
344820010,200000,B630,B630.00,Multiple myeloma,109989006,344820010,,32
451430017,500,B936-2,B936.12,Plasmacytoma NOS,415112005,2534490012,,32
457317011,5000,B6303,B630300,Lambda light chain myeloma,313427003,457317011,,32
1216014013,200,BBr30,BBr3000,[M]Plasma cell leukaemia,128922003,1216014013,,32
1231541019,6000,BBn0,BBn0.00,[M]Plasma cell myeloma,55921005,1231541019,,32
2532159017,80,B6300-1,B630011,Extramedullary plasmacytoma,188718006,2532159017,,32
139571000006117,2000,B6301,B630100,Solitary myeloma,415112005,2534490012,,32
225051000006119,8000,B6302,B630200,Plasmacytoma,415112005,2534490012,,32
313001000006116,2,BBn2-1,BBn2.11,[M]Monostotic myeloma,10639003,18480015,,32
313271000006116,2000,BBn0-1,BBn0.11,[M]Multiple myeloma,109989006,344820010,,32
313381000006111,50000,BBn0-2,BBn0.12,[M]Myeloma NOS,55921005,1231541019,,32
313391000006114,90,BBn0-3,BBn0.13,[M]Myelomatosis,55921005,1231541019,,32
315431000006116,30,BBn1,BBn1.00,"Plasma cell tumour, benign",110460003,350765013,,32
315441000006114,50,BBn3,BBn3.00,"[M]Plasma cell tumour, malignant",399456004,1778874018,,32
315461000006113,400,BBn0-4,BBn0.14,[M]Plasmacytic myeloma,55921005,1231541019,,32
315471000006118,500,BBn2,BBn2.00,Plasmacytoma,10639003,18480015,,32
315481000006115,8,BBn1-1,BBn1.11,"[M]Plasmacytoma, benign",110460003,175299013,,32
316711000006113,40,BBn2-2,BBn2.12,[M]Solitary myeloma,10639003,18480015,,32
683191000006119,1000,B936-1,B936.11,Myeloma - solitary,415112005,2534490012,,32
695561000006118,1000,B63,B63..00,Multiple myeloma and immunoproliferative neoplasms,109989006,344820010,,32
880801000006116,70,B63-99,B63..99,Multiple myeloma etc.,109989006,880801000006116,,32
907281000006117,90,HNG0184,,[RFC] Multiple myeloma,907281000006101,907281000006117,,12
2669191000006115,9,^ESCTPL266919,,Plasmacytoma of bone,10639003,195293015,,32
2669201000006117,1,^ESCTPL266920,,Plasma cell tumour,10639003,302022017,,32
3019771000006115,20,^ESCTMY301977,,Myeloma kidney,32278006,53923014,,32
3043491000006119,10,^ESCTMY304349,,Myelomalacia,33772003,56381012,,31
3408441000006115,20,^ESCTMU340844,,Multiple myeloma,55921005,93008014,,32
3408461000006116,500,^ESCTPL340846,,Plasma cell myeloma,55921005,93011010,,32
3408471000006111,2,^ESCTMY340847,,Myeloma,55921005,93012015,,32
3408501000006116,1,^ESCTMU340850,,"Multiple myeloma, no International Classification of Diseases for Oncology subtype",55921005,2973159016,,32
4042751000006114,10,^ESCTMU404275,,Multiple myeloma in remission,94704006,157067011,,32
4172921000006112,2,^ESCTPL417292,,Plasmacytic myeloma,109989006,344817019,,32
4172951000006115,100,^ESCTMY417295,,Myeloma,109989006,344821014,,32
4180021000006119,1,^ESCTPL418002,,"Plasmacytoma, benign",110460003,175299013,,32
5601561000006117,100,^ESCTLI560156,,Light chain myeloma,277579002,414177018,,32
5601571000006112,4,^ESCTNO560157,,Non-secretory myeloma,277580004,414178011,,32
5648201000006119,40,^ESCTMY564820,,Myeloma screening,281153002,419109016,,31
5701111000006119,200,^ESCTIG570111,,IgA myeloma,285420006,424415012,,32
