MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
50949017,300,4M20,4M20.00,Lymphoma stage I,30440004,50949017,,3
51959012,2000,M1628,M162800,Lymphomatoid papulosis,31047003,51959012,,32
94699019,600,4M22,4M22.00,Lymphoma stage III,56944001,94699019,,3
110346017,600,4M23,4M23.00,Lymphoma stage IV,66445009,110346017,,3
123978016,9000,B62F1,B62F100,Mantle cell lymphoma,443487006,2839720017,,32
126918018,200,4M21,4M21.00,Lymphoma stage II,76422004,126918018,,3
157686016,30,B6203,B620300,Nodular lymphoma of intra-abdominal lymph nodes,95186006,157686016,,32
157688015,30,B6202,B620200,Nodular lymphoma of intrathoracic lymph nodes,95188007,157688015,,32
157692010,50,B6208,B620800,Nodular lymphoma of lymph nodes of multiple sites,95192000,157692010,,32
157693017,100,B6207,B620700,Nodular lymphoma of spleen,95193005,157693017,,32
157745018,1,B6003,B600300,Reticulosarcoma of intra-abdominal lymph nodes,95224004,157745018,,32
157746017,1,B6006,B600600,Reticulosarcoma of intrapelvic lymph nodes,95225003,157746017,,32
157747014,1,B6002,B600200,Reticulosarcoma of intrathoracic lymph nodes,95226002,157747014,,32
157751011,1,B6008,B600800,Reticulosarcoma of lymph nodes of multiple sites,95230004,157751011,,32
157752016,3,B6007,B600700,Reticulosarcoma of spleen,95231000,157752016,,32
198006010,30000,B627E,B627E00,Diffuse large B-cell lymphoma,847741000000106,2197851000000117,,32
207325017,500,B62E,B62E.00,T-cell lymphoma,109978004,344696012,,32
215912012,7,BBgM,BBgM.00,"[M]Malignant lymphoma, small cleaved cell, diffuse",115244002,202936014,,32
287029018,100,A7896,A789600,Burkitt lymphoma co-occurrent with human immunodeficiency virus infection,713897006,3297968018,,32
288182013,10,AyuC6,AyuC600,[X]HIV disease resulting in other non-Hodgkin's lymphoma,442537007,2816358010,,32
289580016,20,B60,B60..00,Lymphosarcoma and reticulosarcoma,188487008,289580016,,32
289581017,2,B6000,B600000,Reticulosarcoma of unspecified site,373168002,1211679013,,32
289582012,9,B6001,B600100,"Reticulosarcoma of lymph nodes of head, face and neck",188489006,289582012,,32
289585014,1,B6004,B600400,Reticulosarcoma of lymph nodes of axilla and upper limb,188492005,289585014,,32
289590012,8,B600z,B600z00,Reticulosarcoma NOS,373168002,1211679013,,32
289591011,1000,B601,B601.00,Lymphosarcoma,188498009,289591011,,32
289592016,10,B6010,B601000,Lymphosarcoma of unspecified site,188498009,289591011,,32
289593014,20,B6011,B601100,"Lymphosarcoma of lymph nodes of head, face and neck",188500005,289593014,,32
289594015,2,B6012,B601200,Lymphosarcoma of intrathoracic lymph nodes,188501009,289594015,,32
289595019,10,B6013,B601300,Lymphosarcoma of intra-abdominal lymph nodes,188502002,289595019,,32
289596018,8,B6014,B601400,Lymphosarcoma of lymph nodes of axilla and upper limb,188503007,289596018,,32
289598017,1,B6016,B601600,Lymphosarcoma of intrapelvic lymph nodes,188505000,289598017,,32
289599013,40,B6017,B601700,Lymphosarcoma of spleen,188506004,289599013,,32
289600011,4,B6018,B601800,Lymphosarcoma of lymph nodes of multiple sites,188507008,289600011,,32
289601010,30,B601z,B601z00,Lymphosarcoma NOS,188498009,289591011,,32
289602015,50,B6020,B602000,Burkitt's lymphoma of unspecified site,118617000,177036013,,32
289603013,200,B6021,B602100,"Burkitt's lymphoma of lymph nodes of head, face and neck",188510001,289603013,,32
289604019,10,B6022,B602200,Burkitt's lymphoma of intrathoracic lymph nodes,188511002,289604019,,32
289605018,100,B6023,B602300,Burkitt's lymphoma of intra-abdominal lymph nodes,188512009,289605018,,32
289606017,10,B6024,B602400,Burkitt's lymphoma of lymph nodes of axilla and upper limb,188513004,289606017,,32
289608016,2,B6026,B602600,Burkitt's lymphoma of intrapelvic lymph nodes,188515006,289608016,,32
289610019,20,B6027,B602700,Burkitt's lymphoma of spleen,188516007,289610019,,32
289611015,30,B6028,B602800,Burkitt's lymphoma of lymph nodes of multiple sites,188517003,289611015,,32
289612010,300,B602z,B602z00,Burkitt's lymphoma NOS,118617000,2663190016,,32
289613017,6,B60y,B60y.00,Other specified reticulosarcoma or lymphosarcoma,188487008,289580016,,32
289614011,3,B60z,B60z.00,Reticulosarcoma or lymphosarcoma NOS,188487008,289580016,,32
289717011,100,B6200,B620000,Nodular lymphoma of unspecified site,269476000,403709014,,32
289718018,200,B6201,B620100,"Nodular lymphoma of lymph nodes of head, face and neck",188609000,289718018,,32
289721016,30,B6204,B620400,Nodular lymphoma of lymph nodes of axilla and upper limb,188612002,289721016,,32
289726014,200,B620z,B620z00,Nodular lymphoma NOS,269476000,403709014,,32
289799010,400,B6273,B627300,Diffuse non-Hodgkin's small cell (diffuse) lymphoma,188674006,289799010,,32
289801013,9,B6274,B627400,Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma,188675007,289801013,,32
289812013,200,B6278,B627800,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse),188679001,289812013,,32
289813015,500,B627B,B627B00,Other types of follicular non-Hodgkin's lymphoma,308121000,451429010,,32
289820010,9000,B62x,B62x.00,Malignant lymphoma (clinical),118600007,177019017,,32
289829011,3000,B62yz,B62yz00,Malignant lymphoma NOS,118600007,2663474012,,32
289830018,200,B62y0,B62y000,Malignant lymphoma NOS of unspecified site,118600007,2663474012,,32
289831019,500,B62y1,B62y100,"Malignant lymphoma of lymph nodes of head, face AND/OR neck",93195001,154205016,,32
289832014,100,B62y2,B62y200,Malignant lymphoma of intrathoracic lymph nodes,93193008,154200014,,32
289842011,200,B62y3,B62y300,Malignant lymphoma of intra-abdominal lymph nodes,93191005,154196016,,32
289845013,20,B62y6,B62y600,Malignant lymphoma of intrapelvic lymph nodes,93192003,154198015,,32
289846014,400,B62y7,B62y700,Malignant lymphoma of spleen,93198004,154213015,,32
289847017,200,B62y8,B62y800,Malignant lymphoma of lymph nodes of multiple sites,93197009,154211018,,32
289849019,200,B62z,B62z.00,Malignant neoplasms of lymphoid and histiocytic tissue NOS,118600007,177018013,,32
289987014,20000,B6z,B6z..00,Malignant neoplasm lymphatic or haematopoietic tissue NOS,269475001,403705015,,32
291887011,2000,BBg,BBg..00,"[M]Lymphomas, NOS or diffuse",414628006,2535396014,,32
291891018,1000,BBg10,BBg1000,"[M]Malignant lymphoma, diffuse NOS",115244002,202936014,,32
291892013,30,BBg3,BBg3.00,"[M]Malignant lymphoma, undifferentiated cell type NOS",115244002,202936014,,32
291894014,7,BBg5,BBg5.00,"[M]Malignant lymphoma, convoluted cell type NOS",115244002,202936014,,32
291900014,20,BBgA,BBgA.00,"[M]Malignant lymphoma, centroblastic-centrocytic, diffuse",115244002,202936014,,32
291902018,200,BBgB,BBgB.00,"[M]Malignant lymphoma, follicular centre cell NOS",115244002,202936014,,32
291903011,600,BBgC,BBgC.00,"[M]Malignant lymphoma, lymphocytic, well differentiated NOS",115244002,202936014,,32
291905016,40,BBgE,BBgE.00,"[M]Malignant lymphoma, centrocytic",115244002,202936014,,32
291907012,2,BBgF,BBgF.00,"[M]Malignant lymphoma, follicular centre cell, cleaved NOS",115244002,202936014,,32
291909010,2,BBgH,BBgH.00,[M]Prolymphocytic lymphosarcoma,115244002,202936014,,32
291910017,40,BBgJ,BBgJ.00,"[M]Malignant lymphoma, centroblastic type NOS",115244002,202936014,,32
291913015,30,BBgQ,BBgQ.00,[M]Malignant lymphomatous polyposis,74654000,123976017,,32
291914014,20,BBgS,BBgS.00,"[M]Malignant lymphoma, large cell, cleaved, diffuse",115244002,202936014,,32
291923012,1,BBhz,BBhz.00,[M]Reticulosarcoma NOS,189982000,291923012,,32
291943018,30,BBk2,BBk2.00,"[M]Malignant lymphoma, centroblastic-centrocytic, follicular",115244002,202936014,,32
291953017,900,BBkz,BBkz.00,"[M]Lymphoma, nodular or follicular NOS",414628006,2535396014,,32
291963013,7000,BBmH,BBmH.00,Non-Hodgkin lymphoma (category),128929007,207612017,,32
291980012,10,BBq,BBq..00,[M]Burkitt's tumours,77381001,128441011,,32
291981011,7,BBqz,BBqz.00,[M]Burkitt's tumour NOS,77381001,128441011,,32
292083014,500,BBv0,BBv0.00,[M]Monocytoid B-cell lymphoma,128803008,207315010,,32
292170010,50,ByuD1,ByuD100,[X]Other types of follicular non-Hodgkin's lymphoma,308121000,451429010,,32
292173012,100,ByuD2,ByuD200,[X]Other types of diffuse non-Hodgkin's lymphoma,109962001,174656018,,32
292174018,300,ByuD3,ByuD300,[X]Other specified types of non-Hodgkin's lymphoma,118601006,177020011,,32
292191019,400,ByuDC,ByuDC00,Diffuse non-Hodgkin's lymphoma,109962001,174656018,,32
292193016,1000,ByuDE,ByuDE00,[X]Unspecified B-cell non-Hodgkin's lymphoma,1091921000000103,2734911000000119,,32
344657018,300,B62x0,B62x000,T-zone lymphoma,109975001,344657018,,32
344670010,200,B62x1,B62x100,Lymphoepithelioid lymphoma,109976000,344670010,,32
344806015,20,B62x6,B62x600,True histiocytic lymphoma,109988003,344806015,,32
403759017,8,BBg9,BBg9.00,"[M]Malignant lymphoma, mixed lymphocytic-histiocytic NOS",115244002,202936014,,32
403761014,100,BBk0,BBk0.00,"[M]Malignant lymphoma, nodular NOS",115244002,202936014,,32
406154013,10000,ByuDF,ByuDF00,Non-Hodgkin's lymphoma (clinical),118601006,177020011,,32
414252013,900,B6279,B627900,Mucosa-associated lymphoma,277622004,414252013,,32
414253015,900,B6279-1,B627911,Maltoma,277622004,414253015,,32
414257019,400,B6270,B627000,Follicular non-Hodgkin's small cleaved cell lymphoma,277625002,414257019,,32
414278016,700,B6272,B627200,Follicular non-Hodgkin's large cell lymphoma,277641001,414278016,,32
414298014,30,B62E6,B62E600,Enteropathy-associated T-cell lymphoma,277654008,414298014,,32
444799014,90,B627D,B627D00,Diffuse non-Hodgkin's centroblastic lymphoma,302842009,444799014,,32
451429010,20000,B627C,B627C00,Follicular non-Hodgkin's lymphoma,308121000,451429010,,32
459763011,7000,1J04,1J04.00,Suspected lymphoma,315264005,459763011,,27
1211679013,100,B600,B600.00,Reticulosarcoma,373168002,1211679013,,32
1215905010,20,B602-99,B602.99,Burkitt's tumour,118617000,1215905010,,32
1216939019,10,BBq0,BBq0.00,[M]Burkitt's tumour,77381001,1216939019,,32
