MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
140927016,200000,B8-1,B8...11,Bowen's disease of skin,254656002,379237019,,32
215889013,1000,BBGM,BBGM.00,Dermatofibrosarcoma,76594008,127194014,,32
291347011,300000,BB2A,BB2A.00,Squamous cell carcinoma - category,400155002,1779409013,,32
291348018,10000,BB2B,BB2B.00,"Squamous cell carcinoma, metastatic",64204000,106728012,,32
291356015,30000,BB2L,BB2L.00,Bowen's disease,84999002,140927016,,32
291360017,100000,BB31,BB31.00,Basal cell carcinoma,1338007,3345018,,32
291472010,3,BB60,BB60.00,[M]Skin appendage adenoma and carcinoma,126488004,82493010,,32
291473017,200,BB600,BB60000,Skin appendage adenoma,55681005,92565011,,32
291474011,60,BB601,BB60100,Skin appendage carcinoma,64000002,106379015,,32
291475012,8,BB60z,BB60z00,[M]Skin appendage adenoma or carcinoma NOS,126488004,82493010,,32
291480015,40,BB612,BB61200,Sweat gland adenocarcinoma,32272007,53910019,,32
379223011,200000,B338,B338.00,Squamous cell carcinoma of skin,254651007,379223011,,32
379315011,50000,B33-3,B33..13,Rodent ulcer,254701007,379315011,,32
411225019,20000,B33-6,B33..16,Epithelioma basal cell,275265005,411225019,,32
413089014,4000,B339,B339.00,Dermatofibrosarcoma protuberans,276799004,413089014,,32
501272016,300,B33z1,B33z100,Naevoid basal cell carcinoma syndrome,69408002,501272016,,32
501273014,400,B33z1-1,B33z111,Basal cell naevus syndrome,69408002,501273014,,32
1216064018,3000,BB2C,BB2C.00,"[M]Squamous cell carcinoma, keratinising type NOS",18048008,1216064018,,32
1230882017,5000,BB5RA,BB5RA00,[M] Merkel cell carcinoma,5052009,1230881012,,32
1231370012,100,BB691,BB69100,[M]Sebaceous adenocarcinoma,54734006,1231370012,,32
1231967018,20000,BB29,BB29.00,[M]Squamous cell carcinoma in situ NOS,59529006,1231967018,,32
1232355013,200,BBGP,BBGP.00,[M] Pigmented dermatofibrosarcoma protuberans,62621002,1232356014,,32
1234006011,700,BBGL,BBGL.00,Dermatofibrosarcoma protuberans,76594008,127197019,,32
1488663010,200,44a4,44a4.00,Squamous cell carcinoma antigen level,1014611000000103,2557591000000110,,34
3517999018,1,^ESCT1166685,,Excision of basal cell carcinoma from right postauricular region with closure,736465001,3517999018,,31
215751000000116,1000000,B33-1,B33..11,Basal cell carcinoma of skin,254701007,379314010,,32
304711000006115,200,BB2G,BB2G.00,[M]Adenoid squamous cell carcinoma,85956000,142504012,,32
304921000006113,1000,BBB0,BBB0.00,Adenosquamous carcinoma,59367005,98607018,,32
305571000006117,100,BB621,BB62100,[M]Apocrine adenocarcinoma,57141000,95032016,,32
305791000006112,600,BB34,BB34.00,Fibroepithelial basal cell carcinoma,43369006,1229982018,,32
305801000006113,10000,BB33,BB33.00,Basal cell carcinoma - morphoeic,134152008,215881011,,32
305901000006119,2000,BB35,BB35.00,Basosquamous carcinoma,37304002,62234010,,32
308101000006110,200,BB29-1,BB29.11,[M]Epidermoid carcinoma in situ,59529006,98875012,,32
308111000006113,400,BB2A-1,BB2A.11,Epidermoid carcinoma,28899001,48393015,,32
308121000006117,40,BB2C-1,BB2C.11,"[M]Epidermoid carcinoma, keratinising type",18048008,1216066016,,32
310491000006110,3000,BB29-2,BB29.12,Intraepidermal carcinoma,59529006,98876013,,32
310541000006117,2000,BB29-3,BB29.13,Intraepithelial squamous cell carcinoma,59529006,98874011,,32
312631000006110,60,BB36,BB36.00,[M]Metatypical carcinoma,6641007,12009016,,32
313131000006113,2000,BB71,BB71.00,Mucoepidermoid carcinoma,4079000,8016013,,32
313221000006117,300,BB32,BB32.00,[M]Multicentric basal cell carcinoma,61098004,101531010,,32
314891000006116,20,BB26-1,BB26.11,[M]Papillary epidermoid carcinoma,39056008,65519011,,32
315011000006119,1000,BB26,BB26.00,Papillary squamous cell carcinoma,39056008,65518015,,32
316831000006110,30,BB2A-2,BB2A.12,[M]Spinous cell carcinoma,400155002,1779409013,,32
316891000006114,200,BB2H,BB2H.00,"[M]Squamous cell ca-in-situ, questionable stromal invasion",5688000,10476012,,32
316931000006117,60,BB2D,BB2D.00,"[M]Squamous cell carcinoma, large cell, non-keratinising",45490001,1216637015,,32
316951000006112,1000,BB2J,BB2J.00,Microinvasive squamous cell carcinoma,12478003,1220701014,,32
316961000006114,200,BB2E,BB2E.00,"[M]Squamous cell carcinoma, small cell, non-keratinising",35718007,1216447012,,32
316971000006119,400,BB2F,BB2F.00,"[M]Squamous cell carcinoma, spindle cell type",10288008,1218889018,,32
318051000006112,30,BB24-1,BB24.11,[M]Verrucous epidermoid carcinoma,89906000,149032010,,32
318081000006116,900,BB24-2,BB24.12,[M]Verrucous squamous cell carcinoma,89906000,149032010,,32
556501000000116,10000,B33z-1,B33z.11,Squamous cell carcinoma of skin NOS,254651007,379223011,,32
556511000000119,700,BB2A-3,BB2A.13,[M]Squamous cell carcinoma of skin NOS,400155002,1779409013,,32
598561000000110,60000,7G05D,7G05D00,Excision biopsy of basal cell carcinoma,428796002,598561000000110,,32
598801000000114,4000,7G056,7G05600,Excision biopsy of rodent ulcer,428796002,598801000000114,,32
853821000006110,8,EGTON300,,Rodent ulcer,853821000006106,853821000006110,,32
1770481000006118,7000,BB3C,BB3C.00,Multifocal superficial basal cell carcinoma,61098004,199020010,,32
1770491000006115,20000,BB3D,BB3D.00,"Basal cell carcinoma, nodular",128636006,207028011,,32
1770501000006111,400,BB3E,BB3E.00,Basal cell carcinoma - micronodular,402529002,1781655012,,32
1770511000006114,3000,BB3F,BB3F.00,Infiltrating basal cell carcinoma,56665009,198684014,,32
1770521000006118,600,BB3G,BB3G.00,Pigmented basal cell carcinoma,403909004,1782913015,,32
1773141000006110,7000,EMISNQSQ1,,Squamous cell carcinoma of lung,254634000,379184010,,32
1884191000006113,400,4K2M,4K2M.00,Cervical smear - high grade dyskaryosis with features of invasive squamous carcinoma,887521000000104,2286621000000112,,20
1998881000006119,20,EMISNQHI85,,High risk basal cell carcinoma,1998881000006103,1998881000006119,,32
2519751000006116,10,^ESCTPI251975,,Pigmented basal cell carcinoma,1338007,3348016,,32
2519761000006119,10,^ESCTRO251976,,Rodent ulcer,1338007,3349012,,32
2519781000006112,2000,^ESCTBC251978,,BCC - Basal cell carcinoma,1338007,1220948017,,32
2535551000006115,1,^ESCTGO253555,,Goltz Gorlin syndrome,2298005,3036043010,,31
2580121000006117,600,^ESCTME258012,,Merkel cell carcinoma,5052009,9458011,,32
2590251000006117,2,^ESCTSQ259025,,Squamous cell carcinoma in situ with questionable stromal invasion,5688000,10476012,,32
2606061000006118,2,^ESCTME260606,,Metatypical carcinoma,6641007,12009016,,32
2663631000006113,5,^ESCTSQ266363,,"Squamous cell carcinoma, spindle cell",10288008,17919018,,32
2663651000006118,2,^ESCTSQ266365,,"Squamous cell carcinoma, sarcomatoid",10288008,195267010,,32
2663661000006116,3,^ESCTEP266366,,Epidermoid carcinoma - spindle cell,10288008,1218888014,,32
2663671000006111,20,^ESCTSQ266367,,Squamous cell carcinoma - spindle cell,10288008,1218889018,,32
2698611000006110,8,^ESCTSQ269861,,"Squamous cell carcinoma, microinvasive",12478003,21463013,,32
2786351000006110,100,^ESCTSQ278635,,"Squamous cell carcinoma, keratinising",18048008,478472014,,32
2964691000006114,20000,^ESCTSQ296469,,Squamous cell carcinoma,28899001,48388018,,32
2964701000006114,40,^ESCTSQ296470,,Squamous carcinoma,28899001,48391018,,32
2964711000006112,9,^ESCTSQ296471,,Squamous cell epithelioma,28899001,48392013,,32
2964731000006118,600,^ESCTSC296473,,SCC - Squamous cell carcinoma,28899001,1226087013,,32
3075101000006117,6,^ESCTSQ307510,,"Squamous cell carcinoma, small cell, nonkeratinising",35718007,486247014,,32
3075141000006115,1,^ESCTNO307514,,Non-keratinising epidermoid carcinoma - small cell,35718007,1216446015,,32
3101101000006116,3,^ESCTMI310110,,Mixed basal-squamous cell carcinoma,37304002,62235011,,32
3101111000006118,4,^ESCTMI310111,,Mixed basal - squamous cell carcinoma,37304002,1229177012,,32
3101121000006114,4,^ESCTBA310112,,Basisquamous cell carcinoma,37304002,2164887010,,32
3198781000006117,8,^ESCTBA319878,,"Basal cell carcinoma, fibroepithelial",43369006,72356011,,32
3198801000006118,1,^ESCTFI319880,,Fibroepithelioma,43369006,197698016,,32
3234081000006118,20,^ESCTNO323408,,Non-keratinising squamous cell carcinoma,45490001,1216635011,,32
3234101000006114,1,^ESCTNO323410,,Non-keratinising squamous cell carcinoma - large cell,45490001,1216637015,,32
3388321000006112,10,^ESCTSE338832,,Sebaceous adenocarcinoma,54734006,90974013,,32
3388331000006110,3,^ESCTSE338833,,Sebaceous carcinoma,54734006,90975014,,32
3404321000006113,7,^ESCTAD340432,,Adnexal tumor,55681005,92567015,,32
3404331000006111,1,^ESCTSK340433,,Skin appendage tumour,55681005,198618017,,32
3404341000006118,100,^ESCTAD340434,,Adnexal tumour,55681005,497360010,,32
3420531000006116,2,^ESCTBA342053,,"Basal cell carcinoma, desmoplastic type",56665009,198683015,,32
3428621000006117,10,^ESCTAP342862,,Apocrine adenocarcinoma,57141000,95032016,,32
3466821000006112,1000,^ESCTSQ346682,,Squamous cell carcinoma in situ,59529006,98870019,,32
3466871000006113,4,^ESCTIE346687,,IEC - Intraepidermal carcinoma,59529006,1231968011,,32
3492821000006113,1,^ESCTMU349282,,Multicentric basal cell carcinoma,61098004,101531010,,32
3518181000006113,9,^ESCTPI351818,,Pigmented dermatofibrosarcoma protuberans,62621002,104079010,,32
3540651000006115,7,^ESCTAD354065,,Adnexal carcinoma,64000002,106380017,,32
3544201000006113,1,^ESCTME354420,,Metastatic squamous cell carcinoma,64204000,1232540015,,32
3628701000006117,2,^ESCTGO362870,,Gorlin syndrome,69408002,115299010,,32
3628781000006114,1,^ESCTNB362878,,NBCCS - Naevoid basal cell carcinoma syndrome,69408002,1216872015,,32
3628811000006111,200,^ESCTGO362881,,Gorlin's syndrome,69408002,1233157019,,32
3882431000006115,2,^ESCTIN388243,,"Intraepidermal squamous cell carcinoma, Bowen's type",84999002,140928014,,32
3882441000006113,1,^ESCTBD388244,,BD - Bowen's disease,84999002,1235001012,,32
3882461000006112,100,^ESCTBO388246,,Bowen disease,84999002,2839475013,,32
3897081000006111,6,^ESCTAD389708,,Adenoid squamous cell carcinoma,85956000,142504012,,32
3897111000006117,1,^ESCTAC389711,,Acantholytic squamous cell carcinoma,85956000,201247012,,32
3961571000006115,1,^ESCTVE396157,,Verrucous squamous cell carcinoma,89906000,149034011,,32
4412151000006113,9,^ESCTBA441215,,Basaloid squamous cell carcinoma,128634009,207025014,,31
4412161000006110,6,^ESCTSQ441216,,"Squamous cell carcinoma, clear cell type",128635005,207026010,,31
4419511000006112,2,^ESCTMI441951,,Microcystic adnexal carcinoma,128896007,207563012,,31
4756971000006115,1,^ESCTSQ475697,,Squamous cell carcinoma in situ,189565007,291346019,,31
5028081000006114,2,^ESCTBO502808,,Bowen's disease of eyelid,231830001,347400011,,31
5028101000006118,20,^ESCTSQ502810,,Squamous cell carcinoma of eyelid,231831002,347401010,,32
5028111000006115,70,^ESCTBA502811,,Basal cell carcinoma of eyelid,231832009,347402015,,31
5028131000006114,5,^ESCTSE502813,,Sebaceous adenocarcinoma of eyelid,231833004,347405018,,32
5324171000006116,20,^ESCTSQ532417,,Squamous carcinoma in situ,252989001,376778017,,31
5324331000006117,200,^ESCTME532433,,Merkel cell carcinoma,253001006,376798010,,32
5324351000006112,3,^ESCTME532435,,Merkel cell tumour,253001006,376797017,,32
5324361000006114,2,^ESCTME532436,,Merkel cell tumor,253001006,376799019,,32
5324981000006115,3,^ESCTMY532498,,Myxoid dermatofibrosarcoma protuberans,253042009,1775559013,,32
5344301000006110,70,^ESCTSQ534430,,Squamous cell carcinoma of buccal mucosa,254437001,378805017,,32
5346981000006110,20,^ESCTSQ534698,,Squamous cell carcinoma of bronchus,254622008,379159012,,32
5347221000006118,1,^ESCTSC534722,,SCC - Squamous cell carcinoma of lung,254634000,379186012,,32
5347601000006114,5,^ESCTSC534760,,SCC - Cutaneous squamous cell carcinoma,254651007,379224017,,32
5347611000006112,100,^ESCTCU534761,,Cutaneous squamous cell carcinoma,254651007,379225016,,32
5347621000006116,500,^ESCTSC534762,,SCC - Squamous cell carcinoma of skin,254651007,379226015,,32
5347641000006111,10,^ESCTCL534764,,Clear cell squamous cell carcinoma of skin,254652000,379229010,,31
5347651000006113,4,^ESCTSC534765,,SCC - Clear cell squamous cell carcinoma of skin,254652000,379228019,,31
5347661000006110,20,^ESCTSP534766,,Spindle cell squamous carcinoma of skin,254653005,379230017,,32
5347691000006119,1,^ESCTSC534769,,SCC - Acantholytic squamous cell carcinoma of skin,254654004,379232013,,31
5347731000006110,200,^ESCTSQ534773,,Squamous cell carcinoma in situ of skin,254656002,379241015,,32
5347771000006113,2,^ESCTIN534777,,Intraepidermal carcinoma of skin,254656002,379240019,,32
