"searchterms","exclusionterms","searched_in_column","searchmethod"
"Merkel cell carcinoma","family history","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Apocrine adenocarcinoma","FH:",,
"Metatypical carcinoma","No FH of",,
"basal cell carcinoma","carcinoma of cervix",,
"Sebaceous adenocarcinoma",,,
"Skin appendage adenoma",,,
"Spinous cell carcinoma",,,
"Squamous cell carcinoma",,,
"Adnexal carcinoma",,,
"Apocrine adenocarcinoma",,,
"Basisquamous cell carcinoma",,,
"Basosquamous carcinoma",,,
"Cancer of skin, basal cell",,,
"Cutaneous squamous cell carcinoma",,,
"Dermatofibrosarcoma",,,
"Dermatofibrosarcoma",,,
"Epithelioma basal cell",,,
"rodent ulcer",,,
"Fibroepithelioma",,,
"Sebaceous carcinoma",,,
"Skin appendage carcinoma",,,
"Sweat gland adenocarcinoma",,,
"Bowen's disease of skin",,,
"Bowen's disease",,,
"Bowen disease",,,
"Basal cell naevus syndrome",,,
"Epidermoid carcinoma",,,
"Intraepidermal carcinoma",,,
"Squamous cell ca-in-situ",,,
"Squamous carcinoma",,,
"Squamous cell epithelioma",,,
"Adnexal tumor",,,
"Adnexal tumour",,,
"Skin appendage tumour",,,
"Gorlin syndrome",,,
"Gorlin's syndrome",,,
"Merkel cell tumour",,,
"Merkel cell tumor",,,
"(?=.*cancer)(?=.*basal cell)",,,
"(?=.*cancer)(?=.*squamous cell)",,,
