MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
28383015,2000000,J101,J101.00,Oesophagitis,16761005,28383015,,32
194802019,50,J1013,J101300,Postoperative oesophagitis,3482005,194802019,,32
196816014,40000,J102,J102.00,Ulcer of oesophagus,30811009,196816014,,32
198466017,50000,J1011-5,J101115,Gastro-oesophageal reflux disease with oesophagitis,266433003,396338015,,32
201241013,40,J1010,J101000,Abscess of oesophagus,85833008,201241013,,32
201417012,100,J1021,J102100,Fungal ulcer of oesophagus,88700009,201417012,,32
302369017,3,J1014,J101400,Gangrenous oesophagitis,196601009,302369017,,32
302370016,200,J1015,J101500,Phlegmonous oesophagitis,196602002,302370016,,32
302378011,4000,J101y,J101y00,Other specified oesophagitis,16761005,28383015,,32
302381018,20000,J101z,J101z00,Oesophagitis NOS,16761005,28383015,,32
302384014,200,J1022,J102200,Oesophageal ulcer due to aspirin,196607008,302384014,,32
302387019,10000,J1025,J102500,Barrett's ulcer of oesophagus,196609006,302387019,,32
302393010,2000,J102z,J102z00,Ulcer of oesophagus NOS,30811009,196816014,,32
302442017,5000,J10y3,J10y300,Oesophageal erosions,196623008,302442017,,32
353159016,10000,J1017,J101700,Eosinophilic oesophagitis,235599003,353159016,,32
396339011,10000,J1011-3,J101113,Oesophageal reflux with oesophagitis,266433003,396339011,,32
396340013,1000000,J1011,J101100,Reflux oesophagitis,266433003,396340013,,32
444916014,400000,J1016-1,J101611,Barrett's oesophagus,302914006,444916014,,32
486377018,100,J1012,J101200,Chemical oesophagitis,36151004,486377018,,32
497946018,3000,J1011-4,J101114,Peptic oesophagitis,266433003,3517222014,,32
498969017,2000,J1020,J102000,Peptic ulcer of oesophagus,6129004,498969017,,32
498970016,70000,J1016,J101600,Ulcerative oesophagitis,439955006,2792529018,,32
266601000006112,100000,J10y4,J10y400,Gastro-oesophageal reflux disease without oesophagitis,266435005,396344016,,32
267181000006111,80,J1023,J102300,Oesophageal ulcer due to chemicals,62465000,499294017,,32
267191000006114,400,J1024,J102400,Drug-induced ulcer of oesophagus,64595005,1216821012,,32
799341000006115,90000,J1011-2,J101112,Gastro-oesophageal reflux with oesophagitis,266433003,396339011,,32
1743031000006119,100000,J10y6,J10y600,Barrett's oesophagus,302914006,444916014,,32
2765951000006116,20,^ESCTES276595,,Esophagitis,16761005,28380017,,32
2996681000006115,200,^ESCTOE299668,,Oesophageal ulcer,30811009,51576015,,32
2996701000006117,1,^ESCTOU299670,,OU - Oesophageal ulcer,30811009,484707018,,32
3064061000006114,5,^ESCTGA306406,,Gastro-oesophagitis,35023000,2532542018,,31
3064071000006119,1,^ESCTGA306407,,Gastroesophagitis,35023000,58436019,,31
3155591000006113,10,^ESCTER315559,,Erosive oesophagitis,40719004,492747010,,31
3155601000006117,2,^ESCTER315560,,Erosive esophagitis,40719004,67918011,,31
3272361000006117,3,^ESCTOE327236,,Oesophagitis medicamentosa,47753002,79577014,,5
3438321000006112,2,^ESCTBL343832,,Bleeding oesophageal ulcer,57748001,3027281014,,31
3515511000006117,1,^ESCTCO351551,,Corrosive ulcer of oesophagus,62465000,499293011,,32
3550591000006113,2,^ESCTUL355059,,Ulcer of oesophagus due to ingestion of medicines,64595005,199514018,,32
4784291000006111,4,^ESCTBA478429,,Barrett's ulcer,196609006,302390013,,32
4784301000006112,1,^ESCTBA478430,,Barrett ulcer of esophagus,196609006,2837844015,,32
5082591000006112,100,^ESCTBA508259,,Barrett's oesophagus with oesophagitis,235597001,353155010,,31
5082621000006114,6,^ESCTNO508262,,Non-reflux oesophagitis,235598006,353156011,,31
5082651000006117,7,^ESCTEO508265,,Eosinophilic esophagitis,235599003,353158012,,32
5082701000006111,7,^ESCTFU508270,,Fungal oesophagitis,235602008,353164017,,31
5082721000006118,2,^ESCTVI508272,,Viral oesophagitis,235603003,353167012,,31
5082761000006112,2,^ESCTRA508276,,Radiation oesophagitis,235605005,353170011,,31
5492761000006118,6,^ESCTRE549276,,Reflux esophagitis,266433003,396335017,,32
5492881000006118,2,^ESCTGA549288,,Gastroesophageal reflux disease without esophagitis,266435005,2773407016,,32
5912981000006111,2,^ESCTCO591298,,Columnar-lined esophagus,302914006,444917017,,32
5913001000006110,7,^ESCTBA591300,,Barrett's syndrome,302914006,444919019,,32
5913011000006113,20,^ESCTBA591301,,Barrett's esophagus,302914006,444920013,,32
5913021000006117,3,^ESCTCO591302,,Columnar-lined oesophagus,302914006,444921012,,32
5913031000006119,1,^ESCTGA591303,,Gastric metaplasia of oesophagus,302914006,444922017,,32
5913051000006114,20,^ESCTBO591305,,BO - Barrett's oesophagus,302914006,444924016,,32
5913111000006112,200,^ESCTBA591311,,Barrett esophagus,302914006,2838302015,,32
5913121000006116,200,^ESCTBA591312,,Barretts esophagus,302914006,2920948013,,32
6781981000006114,3,^ESCTCH678198,,Chronic oesophagitis,409657002,2469144011,,31
6781991000006112,1,^ESCTCH678199,,Chronic esophagitis,409657002,2469618010,,31
6838511000006113,50,^ESCTOE683851,,Oesophagitis grade I,413225008,2469374012,,31
6838531000006119,40,^ESCTOE683853,,Oesophagitis grade II,413226009,2469375013,,31
6838551000006114,20,^ESCTOE683855,,Oesophagitis grade III,413227000,2469376014,,31
6838571000006116,20,^ESCTOE683857,,Oesophagitis grade IV,413228005,2469377017,,31
7230051000006110,1,^ESCTUL723005,,Ulcerative esophagitis,439955006,2792528014,,32
7763371000006114,1,^ESCTUL776337,,"Ulcer of oesophagus due to gastro-oesophageal reflux disese, with complications",717848003,3310419019,,31
8459051000006114,4,^ESCTBA845905,,Barretts oesophagus with dysplasia,1082751000119109,3082315011,,31
8459101000006114,3,^ESCTBA845910,,Barretts oesophagus with high grade dysplasia,1082761000119106,3082318013,,31
8459111000006112,2,^ESCTBA845911,,Barretts esophagus with high grade dysplasia,1082761000119106,3082317015,,31
8459161000006110,2,^ESCTBA845916,,Barretts esophagus with low grade dysplasia,1082771000119100,3082311019,,31
