"searchterms","exclusionterms","searched_in_column","searchmethod"
"osteoporo","family history","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
,"score",,
,"FH:",,
,"risk assessment",,
,"frax",,
,"At risk of",,
,"At high risk of",,
,"monitoring",,
,"study",,
,"quality indicators",,
