MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
33622011,70,F123,F123.00,Postencephalitic parkinsonism,19972008,33622011,,32
64875013,20,A94y1,A94y100,Syphilitic parkinsonism,38523005,64875013,,32
81717011,1000000,F12,F12..00,Parkinson's disease,49049000,81717011,,32
81719014,30000,F120,F120.00,Paralysis agitans,49049000,81717011,,32
295688010,40000,Eu023,Eu02300,Dementia in Parkinsons disease,425390006,2921040013,,32
297037012,80000,F12z,F12z.00,Parkinson's disease NOS,49049000,81717011,,32
297043014,900,F1303,F130300,Orthostatic hypotension co-occurrent and due to Parkinson's disease,718685006,3313002011,,32
299312017,600,Fyu20,Fyu2000,[X]Other drug-induced secondary parkinsonism,4223005,8118011,,5
299313010,2000,Fyu21,Fyu2100,[X]Other secondary parkinsonism,230292008,345117012,,32
299314016,2000,Fyu22,Fyu2200,[X]Parkinsonism in diseases classified elsewhere,49049000,81717011,,32
299321016,900,Fyu29,Fyu2900,"[X]Secondary parkinsonism, unspecified",230292008,345117012,,32
299323018,20,Fyu2B,Fyu2B00,[X]Secondary parkinsonism due to other external agents,230292008,345117012,,32
345121017,10000,F124,F124.00,Vascular parkinsonism,230296006,345121017,,32
151951000006115,600,F12W,F12W.00,Secondary parkinsonism due to other external agents,230292008,345117012,,32
151961000006118,10000,F12X,F12X.00,Secondary parkinsonism,230292008,345117012,,32
244311000006117,4000,F121,F121.00,Parkinsonism secondary to drugs,4223005,8118011,,5
630491000006110,9000,F121-1,F121.11,Parkinsonism due to drug,4223005,8118011,,5
636681000000117,200,F11x9,F11x900,Cerebral degeneration in Parkinson's disease,341551000000108,636681000000117,,32
882961000006112,500,F121-99,F121.99,Secondary Parkinsonism - drugs,4223005,882961000006112,,5
905821000006112,2000,HNG0054,,[RFC] Parkinson's disease,905821000006108,905821000006112,,12
909021000006117,6000,HNG0633,,[RFC] Parkinson's disease,909021000006101,909021000006117,,12
1148731000000112,3000,147F,147F.00,History of Parkinson's disease,515841000000104,1148731000000112,,32
1776901000006117,200,EMISNQRE248,,Reason for referral: Parkinsons Disease,1776901000006101,1776901000006117,,40
2332271000000113,20000,9Nle,9Nle.00,Seen by Parkinson's disease service,907151000000108,2332271000000113,,37
3028151000006111,5000,^ESCTPA302815,,Parkinsonism,32798002,54747017,,32
3293631000006118,500,^ESCTID329363,,Idiopathic Parkinson's disease,49049000,1230677014,,32
3293641000006111,100,^ESCTPA329364,,Parkinson disease,49049000,1230678016,,32
3293651000006113,1,^ESCTPD329365,,PD - Parkinson's disease,49049000,1230679012,,32
3293661000006110,200,^ESCTPA329366,,Parkinsons disease,49049000,2920648011,,32
3293681000006117,1,^ESCTID329368,,Idiopathic Parkinsonism,49049000,3014178016,,32
5005931000006110,1,^ESCTSE500593,,Secondary Parkinson disease,230292008,1223020016,,32
5005961000006118,1,^ESCTPA500596,,Parkinsonism with calcification of basal ganglia,230295005,345120016,,31
7043651000006119,200,^ESCTDE704365,,Dementia associated with Parkinson's Disease,425390006,2645368017,,32
7043661000006117,2,^ESCTDE704366,,Dementia associated with Parkinson Disease,425390006,2842012010,,32
7560531000006110,1,^ESCTFR756053,,Frontotemporal dementia with parkinsonism-17,702429008,2995187016,,31
7567911000006113,20,^ESCTPA756791,,Parkinson's disease clinic,702898000,3006571012,,31
7730801000006113,2,^ESCTYO773080,,Young onset Parkinson's disease,715345007,3302309012,,31
7730811000006111,6,^ESCTEA773081,,Early onset Parkinson disease,715345007,3302310019,,31
7730821000006115,1,^ESCTEA773082,,Early onset Parkinson's disease,715345007,3302311015,,31
7790241000006117,4,^ESCTPS779024,,Psychosis co-occurrent and due to Parkinson's disease,719717006,3317570011,,31
7803921000006111,2,^ESCTAD780392,,Adult-onset dystonia parkinsonism,720466001,3320935018,,31
7831581000006114,1,^ESCTEA783158,,Early-onset dystonia parkinsonism,722435003,3332057013,,31
7838691000006117,5,^ESCTAT783869,,Atypical Parkinsonism,722964001,3334044016,,31
8031751000006119,80,^ESCTDE803175,,Dementia due to Parkinson's disease,101421000119107,2968235019,,32
8031761000006117,2,^ESCTDE803176,,Dementia due to Parkinsons disease,101421000119107,2987130014,,32
