searchterms,exclusionterms,searched_in_column,searchmethod
^5593,,OriginalReadCode,"termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
^55A2.,,,
^7A100,,,
^7A101,,,
^7A103,,,
^7A11.,,,
^7A110,,,
^7A111,,,
^7A112,,,
^7A113,,,
^7A11y,,,
^7A11z,,,
^7A12.,,,
^7A120,,,
^7A121,,,
^7A122,,,
^7A123,,,
^7A12y,,,
^7A12z,,,
^7A41.,,,
^7A410,,,
^7A411,,,
^7A414,,,
^7A415,,,
^7A416,,,
^7A418,,,
^7A419,,,
^7A41A,,,
^7A41B,,,
^7A41C,,,
^7A41D,,,
^7A41E,,,
^7A41F,,,
^7A41y,,,
^7A41z,,,
^7A42.,,,
^7A420,,,
^7A42y,,,
^7A42z,,,
^7A43.,,,
^7A430,,,
^7A432,,,
^7A43y,,,
^7A43z,,,
^7A440,,,
^7A443,,,
^7A44y,,,
^7A44z,,,
^7A47.,,,
^7A470,,,
^7A471,,,
^7A472,,,
^7A473,,,
^7A474,,,
^7A476,,,
^7A477,,,
^7A47B,,,
^7A47C,,,
^7A47D,,,
^7A47y,,,
^7A47z,,,
^7A48.,,,
^7A480,,,
^7A481,,,
^7A482,,,
^7A483,,,
^7A484,,,
^7A485,,,
^7A486,,,
^7A487,,,
^7A488,,,
^7A48A,,,
^7A48B,,,
^7A48C,,,
^7A48D,,,
^7A48E,,,
^7A48y,,,
^7A48z,,,
^7A49.,,,
^7A490,,,
^7A491,,,
^7A492,,,
^7A493,,,
^7A494,,,
^7A495,,,
^7A496,,,
^7A497,,,
^7A498,,,
^7A499,,,
^7A49y,,,
^7A49z,,,
^7A4A.,,,
^7A4A0,,,
^7A4A1,,,
^7A4A5,,,
^7A4A6,,,
^7A4A7,,,
^7A4A8,,,
^7A4Ay,,,
^7A4Az,,,
^7A4B0,,,
^7A4B1,,,
^7A4B4,,,
^7A4B5,,,
^7A501,,,
^7A502,,,
^7A503,,,
^A3A0F,,,
^C1070,,,
^C1071,,,
^C1072,,,
^C1073,,,
^C1074,,,
^C107y,,,
^C107z,,,
^G700.,,,
^G702.,,,
^G702z,,,
^G73..,,,
^G7310,,,
^G731z,,,
^G732.,,,
^G7320,,,
^G7321,,,
^G73y.,,,
^G73y0,,,
^G73y1,,,
^G73yz,,,
^G73z.,,,
^G73zz,,,
^G742z,,,
^G76A.,,,
^Gyu74,,,
^Gyu7A,,,
^M2710,,,
^M2712,,,
^R0542,,,
^R0543,,,
^R0550,,,
^X015H,,,
^X015R,,,
^X015S,,,
^X015T,,,
^X015U,,,
^X015V,,,
^X015W,,,
^X015X,,,
^X015Y,,,
^X015Z,,,
^X015a,,,
^X015b,,,
^X015c,,,
^X015h,,,
^X0160,,,
^X016n,,,
^X016o,,,
^X203L,,,
^X203Q,,,
^X203T,,,
^X203U,,,
^X50Be,,,
^X50Bf,,,
^X50Bg,,,
^X50Bk,,,
^X77Ut,,,
^XE0Ey,,,
^XE0Ez,,,
^XE0F0,,,
^XE0F1,,,
^XE0FK,,,
^XE0FL,,,
^XE0FM,,,
^XE0FN,,,
^XE0FO,,,
^XE0FP,,,
^XE0FQ,,,
^XE0FR,,,
^XE0FX,,,
^XE0FY,,,
^XE0FZ,,,
^XE0Fa,,,
^XE0VP,,,
^XE0VR,,,
^XE0XC,,,
^XE10I,,,
^XE12K,,,
^XM1Ib,,,
^XM1Ic,,,
^XM1Id,,,
^XM1Ie,,,
^XM1If,,,
^XM1Ig,,,
^XM1Ih,,,
^XM1Ii,,,
^XM1Ip,,,
^XM1Iq,,,
^XM1Ir,,,
^XM1Is,,,
^XM1It,,,
^XM1Iu,,,
^XM1Iv,,,
^XM1Iw,,,
^XM1KK,,,
^XM1Qu,,,
^XM1Qx,,,
^Xa0lV,,,
^Xa7lT,,,
^Xa84U,,,
^XaBFI,,,
^XaBL7,,,
^XaBrm,,,
^XaDmh,,,
^XaDmi,,,
^XaE3G,,,
^XaFmK,,,
^XaFn7,,,
^XaLhK,,,
^XaLhe,,,
^XaMNe,,,
^XaMmK,,,
^XaZT1,,,
^XaZT3,,,
^XabhR,,,
^XabhS,,,
^Y2572,,,
