MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
237011,40000,B7F10,B7F1000,Acoustic neuroma,126949007,237011,,32
4637014,2000,F173,F173.00,Shoulder-hand syndrome,712537009,3082984014,,32
8879010,10000,F3430,F343000,Acute radial nerve palsy,4724003,8879010,,32
9584015,500,P2x3,P2x3.00,Jaw-winking syndrome,5127009,9584015,,32
14103017,5000,F375,F375.00,Alcohol-induced polyneuropathy,7916009,14104011,,32
16067019,2,C373K,C373K00,"Familial amyloid polyneuropathy, Iowa type",9133005,16067019,,32
16455010,20,C34y4,C34y400,Gouty neuritis,9386003,16455010,,32
18585010,300,A5322,A532200,Herpes zoster iridocyclitis,10698009,18585010,,32
19796013,3000,F362,F362.00,Hereditary sensory neuropathy,11442006,19796013,,32
29902012,1000,F3410,F341000,Median nerve neuritis,17689009,29902012,,32
30054019,30,L164,L164.00,Peripheral neuritis in pregnancy,17787002,30054019,,32
30355011,8000,F300,F300.00,Post-herpetic trigeminal neuralgia,17974002,30355011,,32
32361016,1,A94y5,A94y500,Syphilitic acoustic neuritis,19206003,32361016,,32
36675019,200,F5850,F585000,Acoustic neuritis,21860004,36675019,,32
36819018,2000,A5311,A531100,Geniculate herpes zoster,21954000,36819018,,32
38727013,4000000,N143,N143.00,Sciatica,23056005,38727013,,32
42524012,1000,F363,F363.00,Refsum's disease,25362006,42524012,,32
48792010,500,P2x2,P2x2.00,Familial dysautonomia,29159009,48792010,,32
50335015,40000,F3560,F356000,Morton metatarsalgia,30085007,484476012,,32
50336019,20000,F3561,F356100,Morton's neuralgia,30085007,50336019,,32
50702011,5000,F345,F345.00,Mononeuritis multiplex,30292005,50702011,,32
52697011,5,A72x1,A72x100,Mumps polyneuropathy,31524007,52697011,,32
52935016,4000,F3010,F301000,Tic douloureux,31681005,52935016,,32
53101014,10,F3260,F326000,Collet-Sicard syndrome,31785008,53101014,,32
55426011,800,F364,F364.00,Idiopathic progressive polyneuropathy,33209009,55426011,,32
63012010,500,F31y1,F31y100,Melkersson's syndrome,37770007,486805018,,32
63283016,90,F5302,F530200,Gradenigo's syndrome,37936001,63283016,,32
65526011,700,F3813-1,F381311,Diabetic amyotrophy,39058009,65526011,,32
68321016,30000,F3700,F370000,Guillain-Barre syndrome,40956001,68321016,,32
70659018,20000,F366,F366.00,Polyneuropathy,42345000,70659018,,32
71168014,400000,F367,F367.00,Peripheral neuropathy,302226006,2870944013,,32
78977014,6000,F355,F355.00,Tarsal tunnel syndrome,47374004,78977014,,32
82373015,2000,F372-1,F372.11,Diabetic polyneuropathy,49455004,82373015,,32
84200019,4000,F361,F361.00,Peroneal muscular atrophy,398100001,1777664015,,32
84201015,20000,F3610,F361000,CMT - Charcot-Marie-Tooth disease,398100001,3007425011,,32
94456015,300,F3261,F326100,Polyneuritis cranialis,56795008,94456015,,32
95473010,2000000,F340,F340.00,Carpal tunnel syndrome,57406009,95473010,,32
100203013,10000,F4J70,F4J7000,Duane's syndrome,60318001,100203013,,32
108062014,2000,F360,F360.00,Hereditary peripheral neuropathy,65017003,108062014,,32
110800013,700,SM50-1,SM50.11,Pink disease,66695004,110800013,,32
120984019,100,F311,F311.00,Geniculate ganglionitis,72839009,120984019,,32
121849011,5000,F5912,F591200,Neural hearing loss,73371001,121849011,,32
129679017,700,Q2061-1,Q206111,Erb-Duchenne paralysis,78141002,129679017,,32
129680019,9000,Q2061-2,Q206112,Erb's palsy,78141002,129680019,,32
140945016,100000,F351,F351.00,Meralgia paraesthetica,85007004,140945016,,32
143061018,50,F4751,F475100,Total internal ophthalmoplegia,86266009,143061018,,32
143197013,1000,F32z-1,F32z.11,Bertolotti's syndrome,86345004,143197013,,32
143436010,5000,F170,F170.00,Idiopathic peripheral autonomic neuropathy,86489003,143436010,,32
145090014,30000,A5324,A532400,Herpes zoster ophthalmicus,87513003,145090014,,32
158497012,40000,N134-4,N134.14,Ulnar neuritis,95675005,158497012,,32
187824013,40,F3600,F360000,Dejerine-Sottas disease,111499002,187824013,,32
207847010,6000,F370,F370.00,Acute infective polyneuritis,129131007,207847010,,32
207904011,20000,N2481,N248100,Piriformis syndrome,129179000,207904011,,32
287046015,10000,A78y0,A78y000,Epidemic vertigo,186738001,287046015,,32
289388010,30,B5243,B524300,Malignant neoplasm of peripheral nerve of thorax,188325002,289388010,,32
289389019,10,B5244,B524400,Malignant neoplasm of peripheral nerve of abdomen,188326001,289389019,,32
289390011,20,B5245,B524500,Malignant neoplasm of peripheral nerve of pelvis,188327005,289390011,,32
294662017,300,E0111,E011100,Korsakov's alcoholic psychosis with peripheral neuritis,191471000,294662017,,32
297162010,600,F170z,F170z00,Idiopathic peripheral autonomic neuropathy NOS,86489003,143436010,,32
297164011,60,F1710,F171000,Autonomic neuropathy due to amyloid,192918007,297164011,,32
297247016,40000,F246,F246.00,Cauda equina syndrome,192970008,297247016,,32
297248014,300,F2460,F246000,Cauda equina syndrome not affecting bladder,192971007,297248014,,32
297255011,1000,F246z,F246z00,Cauda equina syndrome NOS,192970008,297247016,,32
297427010,100000,F301,F301.00,Trigeminal neuralgia,31681005,52933011,,32
297428017,300000,F301z,F301z00,Trigeminal neuralgia NOS,31681005,52933011,,32
297429013,600,F30y,F30y.00,Other trigeminal nerve disorder,64309007,106898013,,32
297430015,3000,F30z,F30z.00,Trigeminal nerve disorder NOS,64309007,106898013,,32
297434012,600,F31y,F31y.00,Other facial nerve disorders,422426003,2645166013,,32
297435013,300,F31yz,F31yz00,Other facial nerve disorder NOS,422426003,2645166013,,32
297436014,6000,F31z,F31z.00,Facial nerve disorder,422426003,2645166013,,32
297438010,90,F322,F322.00,Disorder of glossopharyngeal nerve,80962007,134304014,,32
297450016,1000,F330z,F330z00,Brachial plexus lesions NOS,3548001,6981019,,32
297451017,7000,F332,F332.00,Cervical root lesion,54404000,90432011,,32
297452012,2000,F333,F333.00,Thoracic root lesion,42452002,70836010,,32
297453019,5000,F334,F334.00,Lumbosacral radiculopathy,2415007,5134010,,32
297465015,2000,F3372,F337200,Nerve root and plexus compressions in spondylosis,193120004,297465015,,32
297475017,900,F341,F341.00,Other median nerve lesions,397751001,1777362011,,32
297477013,10000,F3411,F341100,Median nerve compression in forearm,193129003,297477013,,32
297478015,90,F3412,F341200,Anterior interosseous nerve lesion,193130008,297478015,,32
297479011,2000,F341z,F341z00,Lesion of median nerve,397751001,1777362011,,32
297485016,400,F3422,F342200,Canal of Guyon compression,193134004,297485016,,32
297487012,10000,F342z,F342z00,Ulnar nerve lesion NOS,367475009,492283017,,32
297488019,1000,F343,F343.00,Radial nerve lesions,193137006,297488019,,32
297489010,200,F3431,F343100,Sensory branch of radial nerve lesion,193138001,297489010,,32
297490018,200,F3432,F343200,Posterior interosseous nerve lesion,193139009,297490018,,32
297491019,1000,F343z,F343z00,Radial nerve lesion NOS,193137006,297488019,,32
297492014,700,F3450,F345000,Diabetic mononeuritis multiplex,193141005,297492014,,32
297493016,100,F34y,F34y.00,Other upper limb mononeuritis,297945000,438534013,,32
297494010,700,F34z,F34z.00,Mononeuritis upper limb NOS,609591000,2967951017,,32
297500014,400,F356,F356.00,Plantar nerve lesion,193148004,297500014,,32
297503011,100,F356z,F356z00,Plantar nerve lesion NOS,193148004,297500014,,32
297504017,200,F358,F358.00,Deep peroneal nerve lesion,193152004,297504017,,32
297505016,400,F35x,F35x.00,Other mononeuritis lower limb,609592007,2967939019,,32
297506015,60,F35y,F35y.00,Unspecified mononeuritis lower limb,609592007,2967939019,,32
297510017,2000,F35z0,F35z000,Diabetic mononeuritis NOS,193141005,297492014,,32
297511018,30000,F36,F36..00,Hereditary and idiopathic peripheral neuropathy,302226006,443808012,,32
297519016,300,F360z,F360z00,Hereditary peripheral neuropathy NOS,65017003,108062014,,32
297522019,200,F361z,F361z00,Peroneal muscular atrophy NOS,398100001,1777664015,,32
297528015,2000,F36y,F36y.00,Idiopathic peripheral neuropathy,22722001,38139010,,32
297530018,900,F36yz,F36yz00,Other idiopathic peripheral neuropathy NOS,22722001,38139010,,32
297539017,100,F370z,F370z00,Acute infective polyneuritis NOS,129131007,207847010,,32
297540015,40,F371,F371.00,Polyneuropathy in collagen vascular disease,193177003,297540015,,32
297542011,50,F3710,F371000,Polyneuropathy in disseminated lupus erythematosus,193178008,297542011,,32
297543018,90,F3711,F371100,Polyneuropathy in polyarteritis nodosa,193179000,297543018,,32
297544012,200,F3712,F371200,Polyneuropathy in rheumatoid arthritis,193180002,297544012,,32
297545013,9,F371z,F371z00,Polyneuropathy in collagen vascular disease NOS,193177003,297540015,,32
297553017,70,F374,F374.00,Polyneuropathy in disease EC,193186008,297553017,,32
297554011,40,F3740,F374000,Polyneuropathy in amyloidosis,193187004,297554011,,32
297555012,30,F3742,F374200,Polyneuropathy in vitamin B deficiency,193188009,297555012,,32
297557016,100,F3744,F374400,Polyneuropathy in herpes zoster,193190005,297557016,,32
297563013,1,F3747,F374700,Polyneuropathy in pellagra,193193007,297563013,,32
297564019,80,F3748,F374800,Polyneuropathy in porphyria,129616004,3289854015,,32
297566017,300,F3749,F374900,Polyneuropathy in sarcoidosis,193195000,297566017,,32
297569012,100,F374z,F374z00,Polyneuropathy in disease NOS,193186008,297553017,,32
297571012,40,F377,F377.00,Other toxic agent polyneuropathy,45600000,76028011,,32
298822011,3000,F4J51,F4J5100,Partial oculomotor nerve palsy,194118007,298822011,,32
298824012,7000,F4J51-1,F4J5111,Third nerve palsy - partial,194118007,298824012,,32
298826014,2000,F4J52-1,F4J5211,Third nerve palsy - total,194119004,298826014,,32
298827017,1000,F4J52,F4J5200,Total oculomotor nerve palsy,194119004,298827017,,32
299168017,90000,F5612,F561200,Acute vestibular neuronitis,186738001,2958489016,,32
299221018,60,F585z,F585z00,Acoustic nerve disorder NOS,77949003,129362016,,32
299306010,900,Fyu13,Fyu1300,Paraneoplastic neuropathy,77659000,128892013,,32
299349011,200,Fyu60,Fyu6000,[X]Other disorders of trigeminal nerve,64309007,106898013,,32
299350011,200,Fyu61,Fyu6100,[X]Other disorders of facial nerve,422426003,2645166013,,32
299358016,300,Fyu69,Fyu6900,Lesion of median nerve,397751001,1777362011,,32
299359012,400,Fyu6A,Fyu6A00,Mononeuropathy of upper limb,609591000,2967951017,,32
299360019,400,Fyu6B,Fyu6B00,Mononeuropathy of lower limb,609592007,2967939019,,32
299361015,300,Fyu6C,Fyu6C00,[X]Other specified mononeuropathies,128189008,206412019,,32
299362010,20,Fyu6D,Fyu6D00,[X]Other mononeuropathies in diseases classified elsewhere,128189008,206412019,,32
299366013,300,Fyu72,Fyu7200,[X]Other specified polyneuropathies,42345000,70659018,,32
299374014,50,Fyu7A,Fyu7A00,[X]Other disorders of the peripheral nervous system,302226006,443808012,,32
299375010,1000,Fyu7B,Fyu7B00,Inflammatory polyneuropathy,76886005,2966568017,,32
305956015,2,L1640,L164000,Peripheral neuritis in pregnancy unspecified,17787002,30054019,,32
305960017,1,L1644,L164400,Peripheral neuritis in pregnancy with postnatal complication,199096006,305960017,,32
305961018,5,L164z,L164z00,Peripheral neuritis in pregnancy NOS,17787002,30054019,,32
311097013,600,N11B,N11B.00,Thoracic spondylosis with radiculopathy,202688001,311097013,,32
311099011,50,N11B0,N11B000,Single-level thoracic spondylosis with radiculopathy,202689009,311099011,,32
