MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
5742016,4,J1412,J141200,Chronic gastrojejunal ulcer with perforation,2807004,5742016,,32
6875014,100,J1312,J131200,Chronic peptic ulcer with perforation,3483000,6875014,,32
11313018,400,SP253,SP25300,Postoperative subphrenic abscess,6212009,11313018,,32
20424014,1000,J554,J554.00,Spontaneous bacterial peritonitis,11836002,20424014,,32
23205013,9,A32y2,A32y200,Diphtheritic peritonitis,13596001,23205013,,32
30556011,300,J552A,J552A00,Retrocaecal abscess,18089006,30556011,,32
33419017,4000,J1102,J110200,Acute gastric ulcer with perforation,19850005,33419017,,32
40905014,90,J555,J555.00,Sclerosing peritonitis,24383005,40905014,,32
52347016,700,J1112,J111200,Chronic gastric ulcer with perforation,31301004,52347016,,32
53701015,200,J5523,J552300,Mesenteric abscess,32141002,53701015,,32
54048019,2000,J5526,J552600,Retroperitoneal abscess,32362007,54048019,,32
58352017,1,A952,A952.00,Syphilitic peritonitis,34964002,58352017,,32
74349016,1000,A140,A140.00,Tuberculous peritonitis,44572005,74349016,,32
75626018,3,J55y0,J55y000,Chronic proliferative peritonitis,45365002,75626018,,32
81079010,30000,J55,J55..00,Peritonitis,48661000,81079010,,32
83140013,3000,J1212,J121200,Chronic duodenal ulcer with perforation,49916007,83140013,,32
84731010,6000,J20z1,J20z100,Acute gangrenous appendicitis,50846009,84731010,,32
87327013,2000,J5521,J552100,Subphrenic abscess,52478002,87327013,,32
97561012,200,J551,J551.00,Pneumococcal peritonitis,58710009,97561012,,32
101926016,20000,J1202,J120200,Acute duodenal ulcer with perforation,61347001,101926016,,32
110704012,30,J1402,J140200,Acute gastrojejunal ulcer with perforation,66636001,110704012,,32
112270010,2000,J553,J553.00,Acute peritonitis,67602004,112270010,,32
119720012,1000,J202,J202.00,Acute appendicitis without peritonitis,72048003,119720012,,32
120042012,500,J5520,J552000,Subhepatic abscess,72249004,120042012,,32
131281018,3000,J1302,J130200,Acute peptic ulcer with perforation,79118000,131281018,,32
141009014,300,K4060,K406000,Acute female pelvic peritonitis,85051008,141009014,,32
146176016,20,L402,L402.00,Puerperal peritonitis,88178009,146176016,,32
269310018,3000,761J0,761J000,Closure of perforated gastric ulcer,173842008,269310018,,32
269374017,10000,76270,7627000,Closure of perforated duodenal ulcer,173889005,269374017,,32
270220015,700,773C6,773C600,Closure of perforated bowel ulcer,307261008,450481015,,32
275446015,400,7H210,7H21000,Open drainage of subphrenic abscess,177946009,275446015,,32
275448019,2000,7H212,7H21200,Drainage of intraperitoneal abscess,238260006,357141018,,32
275525014,200,7H2A0,7H2A000,Image controlled percutaneous drainage of subphrenic abscess,178005004,275525014,,32
287355010,20,A98y5,A98y500,Gonococcal peritonitis,186939000,287355010,,32
302489015,700,J11y2,J11y200,Gastric ulcer with perforation,9829001,17164015,,32
302490012,9,J11y3,J11y300,Unspecified gastric ulcer with haemorrhage and perforation,62366003,499256017,,32
302535019,5000,J12y2,J12y200,Duodenal ulcer with perforation,88968005,147516013,,32
302537010,20,J12y3,J12y300,Unspecified duodenal ulcer with haemorrhage and perforation,51868009,86362013,,32
302569018,300,J13y2,J13y200,Unspecified peptic ulcer with perforation,13200003,22592012,,32
302571018,10,J13y3,J13y300,Unspecified peptic ulcer with haemorrhage and perforation,13200003,22592012,,32
302608018,10,J14y2,J14y200,Unspecified gastrojejunal ulcer with perforation,16121001,27283019,,32
302683013,9000,J200,J200.00,Acute appendicitis with peritonitis,196781001,302683013,,32
303147010,10000,J512,J512.00,Perforated diverticulum,197104005,3512575015,,32
303148017,400,J5120,J512000,Perforated diverticulum of duodenum,197105006,303148017,,32
303149013,300,J5121,J512100,Perforated diverticulum of jejunum,197106007,303149013,,32
303150013,300,J5122,J512200,Perforated diverticulum of ileum,197107003,303150013,,32
303151012,50,J5123,J512300,Perforated diverticulum of small intestine unspecified,280993006,418881013,,32
303152017,200,J5124,J512400,Perforated diverticulum of small intestine,280993006,418881013,,32
303153010,200,J5126,J512600,Perforated diverticulum of large intestine unspecified,280992001,418880014,,32
303154016,600,J5127,J512700,Perforated diverticulum of large intestine,280992001,418880014,,32
303156019,900,J512y,J512y00,Perforated diverticulum of intestine,197104005,3512575015,,32
303157011,200,J512z,J512z00,Perforated diverticulum of intestine NOS,197104005,3512575015,,32
303241017,10,J550,J550.00,Peritonitis in infectious diseases EC,129129003,207844015,,32
303244013,400,J5503-1,J550311,Bacterial peritonitis,197171003,303244013,,32
303245014,30,J5504,J550400,Chlamydial peritonitis,197172005,303245014,,32
303246010,4,J550z,J550z00,Peritonitis in infectious diseases EC NOS,129129003,207844015,,32
303253018,60,J5525,J552500,Subperitoneal abscess,197176008,303253018,,32
303254012,20,J5527,J552700,Pre-ileal abscess,197177004,303254012,,32
303256014,800,J5528,J552800,Pericolic abscess,197178009,303256014,,32
303258010,90,J5529,J552900,Pericaecal abscess,197179001,303258010,,32
303265019,300,J552z,J552z00,Other suppurative peritonitis NOS,235983003,353740010,,32
303266018,300,J55y,J55y.00,Other specified peritonitis,48661000,81079010,,32
303271013,100,J55yz,J55yz00,Other specified peritonitis NOS,48661000,81079010,,32
303272018,1000,J55z,J55z.00,Peritonitis NOS,48661000,81079010,,32
303776019,500,Jyu60,Jyu6000,[X]Other peritonitis,48661000,81079010,,32
304682016,50,K4045,K404500,Female chronic pelvic peritonitis,198161002,304682016,,32
304692012,200,K4061,K406100,Female pelvic peritonitis unspecified,32923006,54954015,,32
304693019,20,K406z,K406z00,Acute and unspecified female pelvic peritonitis NOS,85051008,141009014,,32
304695014,20,K408,K408.00,Other chronic female pelvic peritonitis,237044002,355303019,,32
305244010,100,Kyu87,Kyu8700,Female pelvic peritonitis,32923006,54954015,,32
305545012,10,L0902,L090200,Pelvic peritonitis following abortive pregnancy,609474001,2966773014,,32
307675014,1,L4020,L402000,Puerperal peritonitis unspecified,88178009,146176016,,32
307677018,2,L4022,L402200,Puerperal peritonitis with postnatal complication,200191006,307677018,,32
307678011,2,L402z,L402z00,Puerperal peritonitis NOS,88178009,146176016,,32
316754012,20,Q46y0,Q46y000,Neonatal peritonitis NOS,276522000,412688014,,32
316971015,20,Qyu71,Qyu7100,Neonatal peritonitis,276522000,412688014,,32
325187013,30,SP270,SP27000,Aseptic peritonitis,213293008,325187013,,32
325188015,2,SP270-1,SP27011,Sterile peritonitis,213293008,325188015,,32
325189011,50,SP271,SP27100,Chemical peritonitis,213294002,325189011,,32
353742019,300,J552-1,J552.11,Abscess of suppurative peritonitis,235984009,353742019,,32
353743012,2000,J55y5,J55y500,Faecal peritonitis,235985005,353743012,,32
361430016,80,J1303,J130300,Acute peptic ulcer with haemorrhage and perforation,111353003,361430016,,32
361603016,300,J55y1,J55y100,Peritoneal fat necrosis,111368002,361603016,,32
396379019,60,J552,J552.00,Other suppurative peritonitis,235983003,353740010,,32
396761016,500,K406,K406.00,Acute and unspecified female pelvic peritonitis,32923006,54954015,,32
414489014,60,J558,J558.00,Ventriculoperitoneal shunt-associated peritonitis,277783004,414489014,,32
453312018,700,SP056-3,SP05613,Peritoneal dialysis-associated peritonitis,276883000,413231010,,32
483992016,300,J203,J203.00,Acute appendicitis with generalised peritonitis,28845006,483992016,,32
484836012,1000,J1112-1,J111211,Perforated chronic gastric ulcer,31301004,484836012,,32
486016014,2,J5501,J550100,Peritonitis - syphilitic,34964002,486016014,,32
486596015,200,J1213,J121300,Chronic duodenal ulcer with haemorrhage AND perforation,36975000,486596015,,32
494304013,5,J1413,J141300,Chronic gastrojejunal ulcer with haemorrhage AND perforation,45640006,494304013,,32
495273013,100,J1103,J110300,Acute gastric ulcer with haemorrhage AND perforation,48974009,495273013,,32
495535010,7000,J1212-1,J121211,Perforated chronic duodenal ulcer,49916007,495535010,,32
498977018,3,J1313,J131300,Chronic peptic ulcer with haemorrhage AND perforation,61300005,498977018,,32
503419012,5000,J5125,J512500,Perforated diverticulum of colon,76953007,503419012,,32
504674011,6,J1403,J140300,Acute gastrojejunal ulcer with haemorrhage AND perforation,81387001,504674011,,32
507303017,400,J1203,J120300,Acute duodenal ulcer with haemorrhage AND perforation,86895006,507303017,,32
1228696018,200,J55y3,J55y300,Peritonitis due to bile,36746002,1228696018,,32
1230007014,20,J55y4,J55y400,Peritonitis due to urine,43633008,1230007014,,32
1230111017,200,J5502,J550200,Peritonitis - tuberculous,44572005,1230111017,,32
81301000006118,50,J12yy,J12yy00,Unspec duodenal ulcer; unspec haemorrhage and/or perforation,51868009,86362013,,32
81311000006115,30,J11yy,J11yy00,Gastric ulcer with haemorrhage AND perforation,62366003,499256017,,32
81501000006111,90,J13yy,J13yy00,Unspec peptic ulcer; unspec haemorrhage and/or perforation,13200003,22592012,,32
200721000006113,300,L4021,L402100,Puerperal peritonitis - delivered with postnatal complication,200190007,307676010,,32
228991000006115,1000,J5503,J550300,Peritonitis - bacterial,197171003,303244013,,32
229001000006115,4,J5500,J550000,Peritonitis - gonococcal,186939000,287355010,,32
236021000006117,800,J5524,J552400,Intraperitoneal abscess,73962000,122825010,,32
554311000006114,10,J1113,J111300,Chronic gastric ulcer with haemorrhage AND with perforation,76181002,503219010,,32
626561000006118,100,J5108,J510800,Diverticular disease of both small and large intestine without perforation or abscess,197091007,303133011,,32
626571000006113,400,J5128,J512800,Diverticular disease of both small and large intestine with perforation and abscess,197112002,303155015,,32
666371000006114,3,C3731-1,C373111,Familial periodic peritonitis,12579009,473575011,,32
853491000006110,2,EGTON178,,Perforated diverticulum,853491000006106,853491000006110,,32
886091000006116,500,J200-99,J200.99,Acute perforated appendicitis,286967008,886091000006116,,32
1743241000006119,10,SP06B,SP06B00,Continuous ambulatory peritoneal dialysis associated peritonitis,699235009,2983127018,,32
2116831000000110,200,J204,J204.00,Acute appendicitis with localised peritonitis,698294004,2973821014,,32
2184111000000117,10,J556,J556.00,Staphylococcal peritonitis,841881000000102,2184111000000117,,32
2184171000000110,20,J557,J557.00,Streptococcal peritonitis,841911000000102,2184171000000110,,32
2656521000006114,9,^ESCTGU265652,,GU - Perforated gastric ulcer,9829001,1235999017,,32
2656531000006112,2,^ESCTPE265653,,Perforation of gastric ulcer,9829001,1236000015,,32
2688481000006117,5,^ESCTPR268848,,Primary bacterial peritonitis,11836002,20423015,,32
2688501000006110,100,^ESCTSB268850,,SBP - Spontaneous bacterial peritonitis,11836002,1220385018,,32
2825261000006116,5,^ESCTPE282526,,Perforated diverticulum,20464009,34439014,,31
2919721000006119,1,^ESCTPE291972,,"Peptic ulcer with hemorrhage, with perforation AND with obstruction",26221006,43926010,,31
2963741000006113,3,^ESCTAC296374,,Acute appendicitis with generalized peritonitis,28845006,48298010,,32
3078031000006116,3,^ESCTOV307803,,Oversewing of perforated duodenal ulcer,35892001,59892015,,31
3092301000006116,3,^ESCTBI309230,,Bile peritonitis,36746002,61298014,,32
3092321000006114,30,^ESCTBI309232,,Biliary peritonitis,36746002,1228697010,,32
3202771000006118,2,^ESCTUR320277,,Urine peritonitis,43633008,72754011,,32
3357601000006119,1,^ESCTAC335760,,Acute generalised peritonitis,52890006,496472014,,31
3357611000006116,1,^ESCTAC335761,,Acute generalized peritonitis,52890006,88011010,,31
3751141000006117,70,^ESCTDI375114,,Diverticulitis of colon with perforation,76953007,127753011,,32
3932701000006118,10,^ESCTPE393270,,Peptic ulcer with perforation,88169003,146163010,,32
3946041000006117,2,^ESCTPE394604,,Perforation of duodenal ulcer,88968005,1235399010,,32
3946051000006115,10,^ESCTDU394605,,DU - Perforated duodenal ulcer,88968005,1235400015,,32
3981721000006111,6,^ESCTPE398172,,Perforated ulcer,91182001,151086014,,31
4179611000006117,30,^ESCTPE417961,,Perforated diverticulitis,110429003,175262013,,31
5088191000006119,6,^ESCTPU508819,,Purulent peritonitis,235983003,353741014,,32
5088541000006117,1,^ESCTRE508854,,Retroperitoneal fat necrosis,236007009,353776011,,31
5119411000006116,2,^ESCTDR511941,,Drainage of subphrenic abscess,238261005,357142013,,31
5721251000006115,100,^ESCTAC572125,,Acute perforated appendicitis,286967008,426465018,,32
5727561000006111,1,^ESCTPE572756,,Perforated peptic ulcer closure,287811008,427375012,,31
5965481000006112,3,^ESCTLA596548,,Laparoscopic closure of perforated gastric ulcer,307190008,450387017,,31
