MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
30355011,8000,F300,F300.00,Post-herpetic trigeminal neuralgia,17974002,30355011,,32
52935016,4000,F3010,F301000,Tic douloureux,31681005,52935016,,32
251646016,40000,1475,1475.00,H/O: trigeminal neuralgia,161482000,251646016,,32
297427010,100000,F301,F301.00,Trigeminal neuralgia,31681005,52933011,,32
297428017,300000,F301z,F301z00,Trigeminal neuralgia NOS,31681005,52933011,,32
211241000006115,5000,A5312,A531200,Postherpetic trigeminal neuralgia,17974002,30355011,,32
1013131000006114,6,ALLERGY4.7.3,,Adverse reaction to Drugs Used In Trigeminal Neuralgia,1013131000006105,1013131000006114,,5
3010301000006118,1,^ESCTTN301030,,TN - Trigeminal neuralgia,31681005,1227845015,,32
5009211000006114,10,^ESCTID500921,,Idiopathic trigeminal neuralgia,230537000,345443016,,32
5009221000006118,3,^ESCTSE500922,,Secondary trigeminal neuralgia,230538005,345444010,,32
