MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
8157015,700,Q47y0,Q47y000,Urticaria neonatorum,4244005,8157015,,32
13601014,30000,M283,M283.00,Dermographic urticaria,7632005,503254015,,32
13608015,200,M283-1,M283.11,Factitial urticaria,402410006,1781553014,,32
13609011,800,M283-99,M283.99,Dermographia,7632005,13609011,,32
13612014,7000,M287,M287.00,Physical urticaria,402601007,1781718016,,32
18017016,10000,M12A2,M12A200,Solar urticaria,10347006,18017016,,32
32639018,3000,M286,M286.00,Contact urticaria,402305008,1781466012,,32
63796016,400000,M280,M280.00,Allergic urticaria,40178009,63796016,,32
68871010,70000,SN51-1,SN51.11,Angioedema,41291007,68871010,,15
70518019,90000,M281,M281.00,Idiopathic urticaria,42265009,70518019,,32
81555016,2000000,M28,M28..00,Urticaria,126485001,81555016,,32
85377012,400,M284,M284.00,Vibratory urticaria,51247001,85377012,,32
103389013,10000,M2821,M282100,Thermal urticaria,62211002,103389013,,32
106893016,4000,M28y-1,M28y.11,Nettle rash,126485001,81555016,,32
121407011,10000,M285,M285.00,Cholinergic urticaria,73098005,121407011,,32
130662013,8000,PH321,PH32100,Urticaria pigmentosa,78745000,130662013,,32
309192011,1000,M282,M282.00,Urticaria due to cold and heat,201261003,309192011,,32
309193018,900,M282z,M282z00,Urticaria due to cold and heat NOS,201261003,309192011,,32
309203019,300,M28y0,M28y000,Urticaria geographica,201268009,309203019,,32
309204013,60,M28y1,M28y100,Menstrual urticaria,201269001,309204013,,32
309206010,1000,M28yz,M28yz00,Other specified urticaria NOS,126485001,81555016,,32
309337013,2000,Myu4,Myu4.00,[X]Urticaria and erythema,462821000000106,938921000000110,,32
309338015,4000,Myu40,Myu4000,[X]Other urticaria,126485001,81555016,,32
325222010,300,SP354,SP35400,Urticaria due to serum,213325008,325222010,,5
369546013,30000,M28z-1,M28z.11,Hives,247472004,369546013,,32
399942012,6000,M28y,M28y.00,Other specified urticaria,126485001,81555016,,32
399943019,100000,M28z,M28z.00,Urticaria NOS,126485001,81555016,,32
492950015,200000,SN51,SN51.00,Angioneurotic oedema,41291007,492950015,,15
502810013,9000,M2820,M282000,Cold urticaria,74774004,502810013,,32
1216998013,7000,C3760,C376000,Hereditary angio-oedema,82966003,1216998013,,32
1773646011,90,ESCTAN4,,Angio-oedema due to disorder of C1 esterase inhibitor,402602000,1773646011,,32
1773745017,700,ESCTAN5,,Angio-oedema due to angiotensin-converting-enzyme inhibitor,403607004,1773745017,,32
71051000006113,400,M28y2,M28y200,Urticaria perstans,123584008,192073011,,32
221431000000110,5000,M280-1,M280.11,Drug-induced urticaria,89322006,148117010,,5
369541000000116,6,7P163,7P16300,Passive transfer test for solar urticaria,230181000000106,369541000000116,,32
369561000000115,30,7P164,7P16400,Reverse passive transfer test for solar urticaria,230191000000108,369561000000115,,32
369601000000115,100,7P166,7P16600,Physical challenge tests for urticaria,230211000000107,369601000000115,,32
819121000006110,7000,M2821-1,M282111,Heat urticaria,62211002,103389013,,32
1808441000006116,1,JHCAN15,,Anticipatory OTC medication for hives given,1808441000006100,1808441000006116,,32
1846681000006117,1,C3734-2,C373412,Amyloid nephropathy with deafness and urticaria,15123008,477144012,,32
2621341000006115,2000,^ESCTDE262134,,Dermatographic urticaria,7632005,13601014,,32
2621381000006114,1,^ESCTAU262138,,Autographism,7632005,13606016,,32
2621431000006118,1,^ESCTDE262143,,Dermatography,7632005,13611019,,32
2621441000006111,70,^ESCTDE262144,,Dermographism,7632005,13613016,,32
2621461000006110,7,^ESCTDE262146,,Dermatographism,7632005,2920613016,,32
2664581000006113,2,^ESCTSU266458,,Sunlight-induced angio-oedema-urticaria,10347006,264056017,,32
2807381000006115,3,^ESCTCO280738,,Contact urticaria,19364004,32639018,,15
3165261000006113,9000,^ESCTAN316526,,Angio-oedema,41291007,492949015,,15
3165311000006118,4,^ESCTQU316531,,Quincke's oedema,41291007,492951016,,15
3165331000006112,70,^ESCTAN316533,,Angio-oedema-urticaria,41291007,1216609010,,15
3165341000006119,1,^ESCTAN316534,,Angioedema-urticaria,41291007,1218098019,,15
3165351000006117,20,^ESCTUR316535,,Urticaria-angioedema,41291007,1218099010,,15
3181121000006113,80,^ESCTID318112,,Idiopathic angio-oedema-urticaria,42265009,1216612013,,32
3181131000006111,6,^ESCTID318113,,Idiopathic angioedema-urticaria,42265009,1218102010,,32
3336341000006114,200,^ESCTCH333634,,Chronic urticaria,51611005,85951014,,31
3402991000006116,10,^ESCTPA340299,,Papular urticaria,55608001,92441011,,32
3510681000006118,90,^ESCTUR351068,,Urticaria due to heat,62211002,103388017,,32
3546001000006113,600,^ESCTUR354600,,Urticaria,64305001,106889010,,31
3688951000006113,1,^ESCTCH368895,,Cholinergic angio-oedema-urticaria,73098005,1216905018,,32
