"searchterms","exclusionterms","searched_in_column","searchmethod"
"[X]Other urticaria","not present","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"[X]Urticaria and erythema","Familial febrile urticaria",,
"Allergic urticaria","skin test",,
"Allergic urticaria due to drug",,,
"Angio-oedema",,,
"Angio-oedema-urticaria",,,
"Angioedema",,,
"Angioedema-urticaria",,,
"Angioneurotic oedema",,,
"Autographism",,,
"Cholinergic angio-oedema-urticaria",,,
"Cholinergic urticaria",,,
"Cold urticaria",,,
"Cold-induced angio-oedema-urticaria",,,
"Contact urticaria",,,
"Dermatographic urticaria",,,
"Dermatographism",,,
"Dermatography",,,
"Dermographia",,,
"Dermographic urticaria",,,
"Dermographism",,,
"Drug-induced urticaria",,,
"Factitial urticaria",,,
"Heat urticaria",,,
"Hives",,,
"Idiopathic angio-oedema-urticaria",,,
"Idiopathic angioedema-urticaria",,,
"Idiopathic urticaria",,,
"Menstrual urticaria",,,
"Nettle rash",,,
"Non-immunological contact urticaria",,,
"Other specified urticaria",,,
"Other specified urticaria NOS",,,
"Physical urticaria",,,
"Quincke's oedema",,,
"Solar urticaria",,,
"Sunlight-induced angio-oedema-urticaria",,,
"Symptomatic dermographism",,,
"Thermal urticaria",,,
"Urticaria",,,
"Urticaria caused by cold",,,
"Urticaria due to cold",,,
"Urticaria due to cold and heat",,,
"Urticaria due to cold and heat NOS",,,
"Urticaria due to drug allergy",,,
"Urticaria due to heat",,,
"Urticaria due to serum",,,
"Urticaria geographica",,,
"Urticaria medicamentosa",,,
"Urticaria NOS",,,
"Urticaria perstans",,,
"Urticaria-angioedema",,,
"Urticarial rash",,,
"Vibratory urticaria",,,
"Wheal",,,
