MedCodeId,Observations,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId
61333016,500,761A3,761A300,Reduction of volvulus of stomach,36767002,61333016,,32
132422010,50,J1732,J173200,Volvulus of duodenum,79812002,132422010,,32
269753015,700,771D1,771D100,Open reduction of volvulus of caecum,174150007,269753015,,32
269755010,800,771D2,771D200,Open reduction of volvulus of sigmoid colon,174151006,269755010,,32
269756011,300,771D3,771D300,Open reduction of volvulus of colon NEC,235399004,352849014,,32
269902011,1000,771R2,771R200,Passage of flatus tube to reduce volvulus of sigmoid colon,174226004,269902011,,32
303083015,2000,J5021,J502100,Volvulus of the small bowel,197058003,303083015,,32
303084014,700,J5022,J502200,Volvulus of the ileocaecum,197059006,303084014,,32
303088012,700,J502z,J502z00,Volvulus NOS,9707006,16967016,,32
377871010,200,PB5z-1,PB5z.11,Congenital volvulus,253786009,377871010,,32
512704011,10000,J502,J502.00,Volvulus,9707006,512704011,,32
512705012,200,J502-1,J502.11,Torsion of bowel,9707006,512705012,,32
1228712013,20,761A3-99,761A399,Gastric volvulus reduction,36767002,1228712013,,32
63191000006114,10000,J5023,J502300,Volvulus of sigmoid colon,197060001,303086011,,32
63211000006110,2000,J5020,J502000,Volvulus of stomach,71851009,1233430013,,32
863691000006119,70,771D-99,771D.99,Bowel volvulus manipulation,174148004,863691000006119,,32
2602671000006118,2,^ESCTVO260267,,Volvulus of colon,6441003,11683019,,31
2654551000006113,50,^ESCTIN265455,,Intestinal volvulus,9707006,16967016,,32
2685811000006119,1,^ESCTOR268581,,Organoaxial gastric volvulus,11672007,20167013,,31
3120431000006116,7,^ESCTIN312043,,Infection by Onchocerca volvulus,38539003,64898017,,32
3668721000006115,300,^ESCTGA366872,,Gastric volvulus,71851009,119375015,,32
4785971000006118,2000,^ESCTSI478597,,Sigmoid volvulus,197060001,303087019,,32
5079011000006110,3,^ESCTDE507901,,Decompression of sigmoid volvulus using flatus tube,235356009,352773013,,31
5079741000006112,1,^ESCTMA507974,,Manual reduction of bowel volvulus,235399004,352849014,,32
5085761000006115,20,^ESCTCA508576,,Caecal volvulus,235811005,353487016,,31
6195781000006119,2,^ESCTLA619578,,Ladd procedure for correction of volvulus,351477007,472372016,,31
7392711000006111,1,^ESCTVO739271,,Volvulus of midgut,458422009,2957000010,,31
