ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
26041000033115	4.02201E+15	Alcoderm cream (Galderma (UK) Ltd)	Alcoderm cream	Cream	Cutaneous				3000
32441000033111	3.06241E+15	Alcoderm lotion (Galderma (UK) Ltd)	Alcoderm lotion	Liquid	Cutaneous	Liquid paraffin	160.000mg/1.000ml		2000
76541000033114	1.46079E+16	Aqueous cream	Aqueous cream	Cream	Cutaneous	Emulsifying wax/ Liquid paraffin/ Phenoxyethanol/ Purified water/ White soft paraffin	90.000mg/1.000gram + 60.000mg/1.000gram + 10.000mg/1.000gram + 690.000mg/1.000gram + 150.000mg/1.000gram	13020101	10000000
83341000033118	3.77411E+15	Ashbourne Emollient Medicinal bath oil (Ashbourne Pharmaceuticals Ltd)	Ashbourne Emollient Medicinal bath oil	Bath additive	Cutaneous	Acetylated wool alcohols/ Liquid paraffin	50.000mg/1.000gram + 650.000mg/1.000gram		10000
95341000033118	8.31211E+14	Aveeno bath oil (Johnson & Johnson Ltd)	Aveeno bath oil	Bath additive					800000
95441000033112		Aveeno Oilated  Bath additive							8000
95541000033113		Aveeno Regular  Bath additive  65 %							3000
95841000033110	8.92711E+14	Aveeno cream (Johnson & Johnson Ltd)	Aveeno cream	Not applicable					4000000
96141000033111		Aveeno Oilated  Sachets							10000
100541000033113	8.62311E+14	E45 emollient bath oil (Karo Pharma)	E45 emollient bath oil	Not applicable					300000
165141000033113	1.46136E+16	Buffered cream	Buffered cream	Cream	Cutaneous	Chlorocresol/ Citric acid monohydrate/ Disodium hydrogen phosphate dodecahydrate/ Emulsifying wax/ Liquid paraffin/ Purified water/ White soft paraffin	1.000mg/1.000gram + 5.000mg/1.000gram + 25.000mg/1.000gram + 90.000mg/1.000gram + 60.000mg/1.000gram + 669.000mg/1.000gram + 150.000mg/1.000gram	13020100	600
221641000033114	1.46548E+16	Cetomacrogol cream (Formula A)	Cetomacrogol cream (Formula A)	Cream	Cutaneous	Cetostearyl alcohol/ Chlorocresol/ Liquid paraffin/ Macrogol cetostearyl ether 22/ Purified water/ White soft paraffin	72.000mg/1.000gram + 1.000mg/1.000gram + 60.000mg/1.000gram + 18.000mg/1.000gram + 699.000mg/1.000gram + 150.000mg/1.000gram	13010100	400000
221741000033117	1.46138E+16	Cetomacrogol cream (Formula B)	Cetomacrogol cream (Formula B)	Cream	Cutaneous	Cetostearyl alcohol/ Liquid paraffin/ Macrogol cetostearyl ether 22/ Methyl hydroxybenzoate/ Propyl hydroxybenzoate/ Purified water/ Thiomersal/ White soft paraffin	72.000mg/1.000gram + 60.000mg/1.000gram + 18.000mg/1.000gram + 1.500mg/1.000gram + 800.000microgram/1.000gram + 697.680mg/1.000gram + 20.000microgram/1.000gram + 150.000mg/1.000gram	13010100	2000
221841000033110	2.96261E+15	Cetraben cream (Thornton & Ross Ltd)	Cetraben cream	Cream	Cutaneous	Liquid paraffin light/ White soft paraffin	105.000mg/1.000gram + 132.000mg/1.000gram		3000000
221941000033119		Cetomacrogol  Cream							5000
228341000033112		Cetomacrogol Emulsifying  Ointment							3000
424541000033110	5.53611E+14	Dermol 500 lotion (Dermal Laboratories Ltd)	Dermol 500 lotion	Liquid	Cutaneous	Benzalkonium chloride/ Chlorhexidine hydrochloride/ Isopropyl myristate/ Liquid paraffin	1.000mg/1.000gram + 1.000mg/1.000gram + 25.000mg/1.000gram + 25.000mg/1.000gram		5000000
441341000033115	3.46821E+15	Diprobase cream (Bayer Plc)	Diprobase cream	Cream	Cutaneous				9000000
443841000033113	3.04541E+15	Diprobath bath emollient (Organon Pharma (UK) Ltd)	Diprobath bath emollient	Bath additive	Cutaneous	Isopropyl myristate/ Liquid paraffin light	390.000mg/1.000gram + 460.000mg/1.000gram		400000
