"ProdCodeId","dmdid","Term from EMIS","ProductName","Formulation","RouteOfAdministration","DrugSubstanceName","SubstanceStrength","BNFChapter","DrugIssues"
"2158341000033112","3334411000001104","Aveeno bath additive colloidal powder 50g sachets (Johnson & Johnson Ltd)","Aveeno bath additive colloidal powder 50g sachets","Not applicable","","","",,"8000"
"2754041000033112","3333311000001109","Aveeno baby bath additive colloidal powder 15g sachets (Johnson & Johnson Ltd)","Aveeno baby bath additive colloidal powder 15g sachets","Not applicable","","","",,"4000"
"2873841000033119","7845411000001107","Biotene Moisturising mouthwash (GlaxoSmithKline Consumer Healthcare UK Ltd)","Biotene Moisturising mouthwash","Mouthwash","","Glucose oxidase/ Lactoferrin/ Lactoperoxidase/ Muramidase","4000.000unit + 4000.000unit + 6.000mg + 4000.000unit + 4000.000unit + 6.000mg",,"70000"
"3301341000033111",,"Replens Md  Vaginal Moisturiser  3 dose pack","","","","","",,"2000"
"3301441000033117",,"Replens Md  Vaginal Moisturiser  6 dose pack","","","","","",,"80000"
"3301541000033116","35821811000001107","ReplensMD vaginal moisturiser tube (Church & Dwight UK Ltd)","ReplensMD vaginal moisturiser tube","","","","",,"300000"
"4060441000033110","11176111000001101","Biotene Oralbalance dry mouth moisturising liquid (GlaxoSmithKline Consumer Healthcare UK Ltd)","Biotene Oralbalance dry mouth moisturising liquid","Not applicable","","","",,"6000"
"4385141000033110","12765411000001103","Sylk vaginal moisturiser (Sylk Ltd)","Sylk vaginal moisturiser","","","","",,"200000"
"4434041000033110","27887511000001105","Elave shampoo (Ovelle Pharmaceuticals)","Elave shampoo","Shampoo","","","",,"600"
"5011541000033112","15223411000001103","Salicylic acid 10% in Aqueous cream","Salicylic acid 10% in Aqueous cream","Cream","Route of administration not applicable","Salicylic acid","100.000mg/1.000gram","13050200","1000"
"5093741000033118","15224011000001109","Salicylic acid 2% in Aqueous cream","Salicylic acid 2% in Aqueous cream","Cream","Route of administration not applicable","Salicylic acid","20.000mg/1.000gram","13050200","2000"
"5292141000033118","15160611000001103","Coal tar 12% in White soft paraffin","Coal tar 12% in White soft paraffin","Ointment","Route of administration not applicable","Coal tar","120.000mg/1.000gram","13050200","300"
"5439841000033114",,"Replens Md  Vaginal Moisturiser","","","","","",,"100000"
"5997841000033110","18083511000001106","Coal tar 6% / Salicylic acid 1% in Emulsifying ointment","Coal tar 6% / Salicylic acid 1% in Emulsifying ointment","Ointment","Route of administration not applicable","Coal tar/ Salicylic acid","60.000mg/1.000gram + 10.000mg/1.000gram","13050200","400"
"6012841000033115","39934611000001108","Salicylic acid 5% in Aqueous cream","Salicylic acid 5% in Aqueous cream","Cream","Route of administration not applicable","Salicylic acid","50.000mg/1.000gram","13050200","400"
"6364141000033119","19258911000001108","Hyalofemme vaginal moisturiser (Purple Orchid Pharma Ltd)","Hyalofemme vaginal moisturiser","","","","",,"10000"
"6528641000033110","18650211000001102","Coal tar solution strong 5% in Emulsifying ointment","Coal tar solution strong 5% in Emulsifying ointment","Ointment","Route of administration not applicable","Coal tar solution strong","50.000mg/1.000gram","13050200","400"
"6529141000033111","15224611000001102","Salicylic acid 20% in Emulsifying ointment","Salicylic acid 20% in Emulsifying ointment","Ointment","Route of administration not applicable","Salicylic acid","200.000mg/1.000gram","13070000","600"
"7688241000033111","17870511000001104","Coal tar solution 6% / Salicylic acid 2% in Emulsifying ointment","Coal tar solution 6% / Salicylic acid 2% in Emulsifying ointment","Ointment","Cutaneous","Coal tar solution/ Salicylic acid","60.000mg/1.000gram + 20.000mg/1.000gram","13050200","500"
"7727041000033117","20418811000001107","Coal tar solution strong 2.5% in Emulsifying ointment","Coal tar solution strong 2.5% in Emulsifying ointment","Ointment","Route of administration not applicable","Coal tar solution strong","25.000mg/1.000gram","13050200","80"
"8582541000033111","20329711000001108","Salicylic acid 1% in Aqueous cream","Salicylic acid 1% in Aqueous cream","Cream","Cutaneous","Salicylic acid","10.000mg/1.000gram","13050200","80"
"8867741000033116","23323011000001107","Regelle vaginal moisturiser (KoRa Healthcare)","Regelle vaginal moisturiser","","","","",,"8000"
"8961841000033111","15225411000001104","Salicylic acid 5% in Emulsifying ointment","Salicylic acid 5% in Emulsifying ointment","Ointment","Route of administration not applicable","Salicylic acid","50.000mg/1.000gram","13050200","400"
"9117941000033110","15226711000001102","Coal tar solution 5% in White soft paraffin","Coal tar solution 5% in White soft paraffin","Ointment","Route of administration not applicable","Coal tar solution","50.000mg/1.000gram","13050200","60"
"9119041000033117","15224511000001101","Salicylic acid 20% in White soft paraffin","Salicylic acid 20% in White soft paraffin","Ointment","Route of administration not applicable","Salicylic acid","200.000mg/1.000gram","13070000","200"
"9161241000033113","24442911000001109","Oralieve moisturising mouth gel (Oralieve UK)","Oralieve moisturising mouth gel","","","","",,"20000"
"9295341000033117","24630611000001102","Gynomunal vaginal moisturiser (Cederberg GmbH)","Gynomunal vaginal moisturiser","","","","",,"1000"
"9400241000033116","25747511000001103","Coal tar solution strong 1% in Emulsifying ointment","Coal tar solution strong 1% in Emulsifying ointment","Ointment","Route of administration not applicable","Coal tar solution strong","10.000mg/1.000gram","13050200","80"
"10331241000033113","15223811000001101","Salicylic acid 2% / Sulfur 2% in Aqueous cream","Salicylic acid 2% / Sulfur 2% in Aqueous cream","Cream","Route of administration not applicable","Salicylic acid/ Sulfur","20.000mg/1.000gram + 20.000mg/1.000gram","13060100","90"
"10616041000033111","22655411000001103","Monobenzone 40% in Cetomacrogol cream (Formula A)","Monobenzone 40% in Cetomacrogol cream (Formula A)","Cream","Cutaneous","Monobenzone","400.000mg/1.000gram","13150000","70"
"10925941000033114","21385711000001106","Salicylic acid 5% in Unguentum M cream (Special Order)","Salicylic acid 5% in Unguentum M cream","Cream","","Salicylic acid","50.000mg/1.000gram",,"20"
"12038341000033118","20353111000001105","Glycopyrronium bromide 2% in Cetomacrogol cream (Formula A)","Glycopyrronium bromide 2% in Cetomacrogol cream (Formula A)","Cream","Route of administration not applicable","Glycopyrronium bromide","20.000mg/1.000gram","13120000","40"
"12169941000033113","20948311000001107","Glycopyrronium bromide 0.5% in Cetomacrogol cream (Formula A)","Glycopyrronium bromide 0.5% in Cetomacrogol cream (Formula A)","Cream","Route of administration not applicable","Glycopyrronium bromide","5.000mg/1.000gram","13120000","8"
