dmdid	DISPLAY
35278611000001109	A-Derma Exomega cleansing oil (Pierre Fabre Dermo-Cosmetique)
35278211000001107	A-Derma Exomega emollient cream (Pierre Fabre Dermo-Cosmetique)
35278911000001103	A-Derma soothing foaming gel (Pierre Fabre Dermo-Cosmetique)
34766311000001106	Adex gel (Dermal Laboratories Ltd)
4022011000001102	Alcoderm cream (Galderma (UK) Ltd)
24492511000001105	Alhydran cream (Espere Healthcare Ltd)
32555711000001104	Alhydran SPF 30 cream (Espere Healthcare Ltd)
4277611000001100	Allergenics emollient cream (Optima Consumer Health Ltd)
17845511000001105	Almond oil + Lanolin anhydrous
17844011000001101	Almond oil 5% / Lanolin anhydrous 1% cream
31342311000001108	AproDerm Colloidal Oat cream (Fontus Health Ltd)
28390111000001105	AproDerm emollient cream (Fontus Health Ltd)
34976811000001104	AproDerm ointment (Fontus Health Ltd)
7523411000001107	AquaBar (Strides Pharma UK Ltd)
33532811000001107	AquaDerm Aqueous cream (Impectron Ltd)
33533411000001101	AquaDerm Cetomacrogol cream (Formula A) (Impectron Ltd)
33532611000001108	AquaDerm Hydrous ointment (Impectron Ltd)
19270111000001105	Aquamax cream (Intrapharm Laboratories Ltd)
19270411000001100	Aquamax wash (Intrapharm Laboratories Ltd)
18005711000001104	Aquamol cream (Thornton & Ross Ltd)
9721801000001102	Aqueous cream
14607911000001101	Aqueous cream
396911000001102	Aqueous cream (A A H Pharmaceuticals Ltd)
372111000001108	Aqueous cream (Actavis UK Ltd)
772411000001102	Aqueous cream (Alliance Healthcare (Distribution) Ltd)
9787511000001102	Aqueous cream (Almus Pharmaceuticals Ltd)
38565311000001103	Aqueous cream (Crescent Pharma Ltd)
13584411000001109	Aqueous cream (DE Pharmaceuticals)
13114111000001107	Aqueous cream (Dowelhurst Ltd)
334111000001102	Aqueous cream (Ecolab Healthcare Division)
172211000001107	Aqueous cream (J M Loveridge Ltd)
260811000001103	Aqueous cream (Kent Pharmaceuticals Ltd)
7930411000001109	Aqueous cream (Lloyds Pharmacy Ltd)
29994711000001107	Aqueous cream (Mawdsley-Brooks & Company Ltd)
38789311000001102	Aqueous cream (Medihealth (Northern) Ltd)
17783111000001107	Aqueous cream (Phoenix Healthcare Distribution Ltd)
18954011000001101	Aqueous cream (Pinewood Healthcare)
14783911000001100	Aqueous cream (Rusco Ltd)
49311000001101	Aqueous cream (Sandoz Ltd)
15066511000001106	Aqueous cream (Sigma Pharmaceuticals Plc)
17337111000001109	Aqueous cream (Strides Pharma UK Ltd)
916011000001107	Aqueous cream (Teva UK Ltd)
781111000001109	Aqueous cream (The Boots Company Plc)
659311000001108	Aqueous cream (Thornton & Ross Ltd)
19710811000001104	Aqueous cream (Vantage)
24449811000001109	Aqueous cream 50% / Emulsifying ointment 50% cream
24450011000001108	Aqueous cream 50% / Emulsifying ointment 50% cream (Special Order)
19556211000001105	AriPro mousse (Meadow Laboratories Ltd)
3774111000001107	Ashbourne Emollient Medicinal bath oil (Ashbourne Pharmaceuticals Ltd)
3333311000001109	Aveeno baby bath additive colloidal powder 15g sachets (Johnson & Johnson Ltd)
3334411000001104	Aveeno bath additive colloidal powder 50g sachets (Johnson & Johnson Ltd)
13834211000001100	Aveeno bath oil (DE Pharmaceuticals)
831211000001108	Aveeno bath oil (Johnson & Johnson Ltd)
16273811000001103	Aveeno bath oil (Mawdsley-Brooks & Company Ltd)
10920211000001101	Aveeno bath oil (Waymade Healthcare Plc)
18348811000001109	Aveeno body wash (Johnson & Johnson Ltd)
37364811000001103	Aveeno body wash (Mawdsley-Brooks & Company Ltd)
13834611000001103	Aveeno cream (DE Pharmaceuticals)
892711000001100	Aveeno cream (Johnson & Johnson Ltd)
16274311000001109	Aveeno cream (Mawdsley-Brooks & Company Ltd)
10920411000001102	Aveeno cream (Waymade Healthcare Plc)
34156011000001106	Aveeno Daily moisturising body cleansing oil (Johnson & Johnson Ltd)
39084911000001103	Aveeno Daily moisturising hand cream (Johnson & Johnson Ltd)
17512511000001107	Aveeno Intense Relief hand cream (Johnson & Johnson Ltd)
450211000001109	Aveeno lotion (Johnson & Johnson Ltd)
16274711000001108	Aveeno lotion (Mawdsley-Brooks & Company Ltd)
15504211000001104	Aveeno lotion (Waymade Healthcare Plc)
18349111000001109	Aveeno moisturising creamy oil (Johnson & Johnson Ltd)
30934211000001105	Aveeno Skin Relief Soothing shampoo (Johnson & Johnson Ltd)
27486911000001108	Avene XeraCalm A.D Lipid-Replenishing balm (Pierre Fabre Dermo-Cosmetique)
27484511000001107	Avene XeraCalm A.D Lipid-Replenishing Cleansing oil (Pierre Fabre Dermo-Cosmetique)
27486211000001104	Avene XeraCalm A.D Lipid-Replenishing cream (Pierre Fabre Dermo-Cosmetique)
34672311000001108	Balmonds Natural Shampoo & Body Wash (Balmonds Skincare Ltd)
16327811000001103	Balneum cream (Almirall Ltd)
