"searchterms","exclusionterms","searched_in_column","searchmethod"
"advantan","^(?!.*tablet|.*capsule|.*oral|.*granule|.* gel|.*topical)","Term from EMIS","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"alkindi","fludrocortisone",,
"beclometasone",,,
"beclomethasone",,,
"betamethasone",,,
"betnelan",,,
"betnesol",,,
"budenofalk",,,
"budesonide",,,
"calcort",,,
"cortisone",,,
"decadron",,,
"decortin",,,
"deflazacort",,,
"dehydroepiandrosterone",,,
"deltacortril",,,
"dexamethasone",,,
"dexsol",,,
"dilacort",,,
"efcortesol",,,
"glensoludex",,,
"hydrocortisone",,,
"hydrocortone",,,
"hydventia",,,
"lodotra",,,
"martapan",,,
"medrone",,,
"methylprednisolone",,,
"neofordex",,,
"pevanti",,,
"plenadren",,,
"prednisolone",,,
"prednisone",,,
"solu-cortef",,,
"solu-medrone",,,
"triamcinolone",,,
