ProdCodeId,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,DrugIssues
97241000033118,327072003,Azathioprine 50mg powder for solution for injection vials,Azathioprine 50mg powder for solution for injection vials,Powder for solution for injection,Intravenous,Azathioprine,50.000mg,8020100,200
98641000033119,327071005,Azathioprine 25mg tablets,Azathioprine 25mg tablets,Tablet,Oral,Azathioprine,25.000mg,8020100,1000000
98741000033111,327070006,Azathioprine 50mg tablets,Azathioprine 50mg tablets,Tablet,Oral,Azathioprine,50.000mg,8020100,4000000
98841000033118,,Azathioprine  Tablets  10 mg,,,,,,,3000
220041000033112,3659911000001102,CellCept 250mg capsules (Roche Products Ltd),CellCept 250mg capsules,Capsule,Oral,Mycophenolate mofetil,250.000mg,,30000
234041000033115,3661611000001102,CellCept 500mg tablets (Roche Products Ltd),CellCept 500mg tablets,Tablet,Oral,Mycophenolate mofetil,500.000mg,,60000
389641000033114,,Cyclosporin  Capsules  25 mg,,,,,,,200
391041000033115,,Cyclosporin  Intravenous infusion  50 mg/ml,,,,,,,20
752841000033111,906711000001106,Imuran 50mg powder for solution for injection vials (Aspen Pharma Trading Ltd),Imuran 50mg powder for solution for injection vials,Powder for solution for injection,Intravenous,Azathioprine,50.000mg,,20
754441000033119,675711000001108,Imuran 50mg tablets (Aspen Pharma Trading Ltd),Imuran 50mg tablets,Tablet,Oral,Azathioprine,50.000mg,,100000
755241000033116,,Imuran  Tablets  10 mg,,,,,,,90
755441000033115,284711000001102,Imuran 25mg tablets (Aspen Pharma Trading Ltd),Imuran 25mg tablets,Tablet,Oral,Azathioprine,25.000mg,,30000
755741000033110,318611000001108,Immunoprin 50mg tablets (Ashbourne Pharmaceuticals Ltd),Immunoprin 50mg tablets,Tablet,Oral,Azathioprine,50.000mg,,2000
860741000033110,,Maxtrex  Injection  2.5 mg,,,,,,,2
860841000033117,,Maxtrex  Injection  25 mg,,,,,,,1
870241000033113,322011000001106,Maxtrex 10mg tablets (Pfizer Ltd),Maxtrex 10mg tablets,Tablet,Oral,Methotrexate,10.000mg,,9000
870341000033115,644711000001108,Maxtrex 2.5mg tablets (Pfizer Ltd),Maxtrex 2.5mg tablets,Tablet,Oral,Methotrexate,2.500mg,,50000
878841000033114,36033011000001100,Methotrexate 1g/40ml solution for injection vials,Methotrexate 1g/40ml solution for injection vials,Solution for injection,Intravenous/ Intramuscular/ Intraarterial,Methotrexate sodium,25.000mg/1.000ml,8010300,200
878941000033118,,Methotrexate  Injection  100 mg/4 ml,,,,,,,70
879041000033110,36033111000001104,Methotrexate 200mg/8ml solution for injection vials,Methotrexate 200mg/8ml solution for injection vials,Solution for injection,Intrathecal/ Intravenous/ Intraarterial/ Intramuscular,Methotrexate sodium,25.000mg/1.000ml,8010300,400
879141000033114,36033411000001109,Methotrexate 5g/200ml solution for infusion vials,Methotrexate 5g/200ml solution for infusion vials,Solution for infusion,Intravenous/ Intraarterial/ Intramuscular,Methotrexate sodium,25.000mg/1.000ml,8010300,20
879241000033119,36033611000001107,Methotrexate 5mg/2ml solution for injection vials,Methotrexate 5mg/2ml solution for injection vials,Solution for injection,Intraarterial/ Intramuscular/ Intravenous/ Intrathecal,Methotrexate sodium,2.500mg/1.000ml,8010300,5000
879341000033112,36033311000001102,Methotrexate 50mg/2ml solution for injection vials,Methotrexate 50mg/2ml solution for injection vials,Solution for injection,Intrathecal/ Intravenous/ Intraventricular cardiac/ Intramuscular/ Intraarterial,Methotrexate sodium,25.000mg/1.000ml,8010300,20000
879441000033118,36033211000001105,Methotrexate 500mg/20ml solution for injection vials,Methotrexate 500mg/20ml solution for injection vials,Solution for injection,Intraarterial/ Intramuscular/ Intravenous,Methotrexate sodium,25.000mg/1.000ml,8010300,60
884741000033118,,Methotrexate  Injection  2.5 mg/1 ml,,,,,,,1000
884841000033111,,Methotrexate  Injection  25 mg/1 ml,,,,,,,4000
884941000033115,,Methotrexate  Injection  500 mg/vial,,,,,,,2
900241000033114,326874007,Methotrexate 2.5mg tablets,Methotrexate 2.5mg tablets,Tablet,Oral,Methotrexate,2.500mg,10010300,9000000
902541000033110,326875008,Methotrexate 10mg tablets,Methotrexate 10mg tablets,Tablet,Oral,Methotrexate,10.000mg,10010300,800000
904041000033112,,Methotrexate  Tablets  25 mg,,,,,,,8
