"searchterms","exclusionterms","searched_in_column","searchmethod"
"azathioprine","eye drops","Term from EMIS","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"mycophenolate","paraffin",,
"Mycophenolic acid","ointment",,
"cyclosporin","cream",,
"ciclosporin","lotion",,
"cyclosporine","mouthwash",,
"azathioprin",,,
"Imuran",,,
"Immunoprin",,,
"Azapress",,,
"Neoral",,,
"Vanquoral",,,
"Sandimmun",,,
"Deximune",,,
"Capimune",,,
"Capsorin",,,
"Perixis",,,
"CellCept",,,
"Myfenax",,,
"Arzip",,,
"Myfortic",,,
"Ceptava",,,
"Maxtrex",,,
"Methotrexate",,,
"Metoject",,,
"Ebetrex",,,
"Zlatal",,,
"Nordimet",,,
"Methofill",,,
"Jylamvo",,,
